UniProtID	UniProtID	score
DBNL_HUMAN	SYNJ1_HUMAN	0.8
DBNL_HUMAN	LYN_HUMAN	0.8
DBNL_HUMAN	ESR1_HUMAN	2.4000000000000004
DBNL_HUMAN	SYUA_HUMAN	0.8
DBNL_HUMAN	UBQL1_HUMAN	2.4000000000000004
DBNL_HUMAN	ADA10_HUMAN	0.8
DBNL_HUMAN	FYB1_HUMAN	3.2
DBNL_HUMAN	3BP2_HUMAN	10.8
DBNL_HUMAN	COBL_HUMAN	0.8
DBNL_HUMAN	FGD1_HUMAN	3.2
DBNL_HUMAN	KCC2D_HUMAN	1.6
DBNL_HUMAN	KCC2A_HUMAN	1.6
DBNL_HUMAN	FGD5_HUMAN	1.6
DBNL_HUMAN	VPS35_HUMAN	0.8
DBNL_HUMAN	1433G_HUMAN	1.6
DBNL_HUMAN	1433F_HUMAN	1.6
DBNL_HUMAN	CFTR_HUMAN	9.6
DBNL_HUMAN	SHAN3_HUMAN	3.2
DBNL_HUMAN	SHAN2_HUMAN	1.6
DBNL_HUMAN	ACD_HUMAN	2.4000000000000004
DBNL_HUMAN	PHAG1_HUMAN	0.64
DBNL_HUMAN	CDK4_HUMAN	3.2
DBNL_HUMAN	DBNL_HUMAN	1.6
DBNL_HUMAN	NEUL4_HUMAN	3.2
DBNL_HUMAN	HERC2_HUMAN	4.0
DBNL_HUMAN	CP4F8_HUMAN	1.6
DBNL_HUMAN	E2AK2_HUMAN	1.6
DBNL_HUMAN	DNPEP_HUMAN	1.6
DBNL_HUMAN	RBCC1_HUMAN	1.6
DBNL_HUMAN	ANS1B_HUMAN	0.64
DBNL_HUMAN	SH24A_HUMAN	7.999999999999999
DBNL_HUMAN	FGFR3_HUMAN	2.4000000000000004
DBNL_HUMAN	NMDE3_HUMAN	2.4000000000000004
DBNL_HUMAN	GELS_HUMAN	2.4000000000000004
DBNL_HUMAN	IDLC_HUMAN	2.4000000000000004
DBNL_HUMAN	KLF11_HUMAN	2.4000000000000004
DBNL_HUMAN	HD_HUMAN	2.4000000000000004
DBNL_HUMAN	TERF1_HUMAN	1.6
DBNL_HUMAN	TE2IP_HUMAN	1.6
DBNL_HUMAN	POTE1_HUMAN	1.6
DBNL_HUMAN	SWAP1_HUMAN	0.8
DBNL_HUMAN	GPS2_HUMAN	0.8
DBNL_HUMAN	ZAP70_HUMAN	4
DBNL_HUMAN	M4K1_HUMAN	2
DBNL_HUMAN	KDM5B_HUMAN	0.8
DBNL_HUMAN	1433E_HUMAN	0.64
DBNL_HUMAN	CBL_HUMAN	1.6400000000000001
DBNL_HUMAN	CUL1_HUMAN	0.8
DBNL_HUMAN	FOXP3_HUMAN	0.64
DBNL_HUMAN	BAG3_HUMAN	1.6
DBNL_HUMAN	RBM23_HUMAN	2.4000000000000004
DBNL_HUMAN	FGD6_HUMAN	3.2
DBNL_HUMAN	ECI2_HUMAN	2.4000000000000004
DBNL_HUMAN	NEUA_HUMAN	2.4000000000000004
DBNL_HUMAN	UBP20_HUMAN	2.4000000000000004
