UniProtID	UniProtID	score
DC1I2_HUMAN	CKAP5_HUMAN	0.6
DC1I2_HUMAN	DECR_HUMAN	0.8
DC1I2_HUMAN	TBA4A_HUMAN	0.6
DC1I2_HUMAN	ACTZ_HUMAN	1.4
DC1I2_HUMAN	KC1D_HUMAN	0.6
DC1I2_HUMAN	TMED3_HUMAN	0.6
DC1I2_HUMAN	ARF3_HUMAN	0.6
DC1I2_HUMAN	TCPZ_HUMAN	1.6
DC1I2_HUMAN	KLC2_HUMAN	0.6
DC1I2_HUMAN	TCPB_HUMAN	1.6
DC1I2_HUMAN	CLAP1_HUMAN	0.6
DC1I2_HUMAN	2AAA_HUMAN	0.6
DC1I2_HUMAN	KC1E_HUMAN	0.6
DC1I2_HUMAN	RS5_HUMAN	1.44
DC1I2_HUMAN	HS90B_HUMAN	1.4
DC1I2_HUMAN	CAZA2_HUMAN	0.6
DC1I2_HUMAN	ARF4_HUMAN	0.6
DC1I2_HUMAN	MTAP2_HUMAN	1.44
DC1I2_HUMAN	DC1L1_HUMAN	8.759999999999998
DC1I2_HUMAN	AKA12_HUMAN	0.8
DC1I2_HUMAN	COPB2_HUMAN	0.6
DC1I2_HUMAN	KIFA3_HUMAN	0.6
DC1I2_HUMAN	MK03_HUMAN	0.8
DC1I2_HUMAN	COPA_HUMAN	0.6
DC1I2_HUMAN	RAB18_HUMAN	0.6
DC1I2_HUMAN	FKBP4_HUMAN	1.4
DC1I2_HUMAN	NDUS6_HUMAN	0.8
DC1I2_HUMAN	COG3_HUMAN	0.6
DC1I2_HUMAN	NBEA_HUMAN	0.64
DC1I2_HUMAN	LIS1_HUMAN	4.4399999999999995
DC1I2_HUMAN	KIF2C_HUMAN	0.6
DC1I2_HUMAN	EIF3A_HUMAN	0.8
DC1I2_HUMAN	ANK2_HUMAN	0.6
DC1I2_HUMAN	SMC3_HUMAN	0.6
DC1I2_HUMAN	DC1I1_HUMAN	3.0000000000000004
DC1I2_HUMAN	RB11A_HUMAN	0.6
DC1I2_HUMAN	SPTB2_HUMAN	0.6
DC1I2_HUMAN	RS26_HUMAN	1.44
DC1I2_HUMAN	UBE3C_HUMAN	0.8
DC1I2_HUMAN	ACTY_HUMAN	1.4
DC1I2_HUMAN	GSK3B_HUMAN	0.8
DC1I2_HUMAN	ARF5_HUMAN	0.6
DC1I2_HUMAN	CDC42_HUMAN	0.6
DC1I2_HUMAN	XPO1_HUMAN	0.6
DC1I2_HUMAN	FLII_HUMAN	0.8
DC1I2_HUMAN	CAZA1_HUMAN	0.6
DC1I2_HUMAN	LIPA1_HUMAN	0.8
DC1I2_HUMAN	UBC_HUMAN	0.8
DC1I2_HUMAN	DCTN1_HUMAN	5.44
DC1I2_HUMAN	ADDG_HUMAN	0.8
DC1I2_HUMAN	DNJA1_HUMAN	0.8
DC1I2_HUMAN	DLRB2_HUMAN	1.4
DC1I2_HUMAN	TCPG_HUMAN	0.8
DC1I2_HUMAN	SPTN4_HUMAN	0.6
DC1I2_HUMAN	ODPX_HUMAN	0.8
DC1I2_HUMAN	TBG1_HUMAN	0.6
DC1I2_HUMAN	ARFG2_HUMAN	0.6
DC1I2_HUMAN	ERLN1_HUMAN	0.8
DC1I2_HUMAN	GCR_HUMAN	0.6
DC1I2_HUMAN	TAOK1_HUMAN	0.6
DC1I2_HUMAN	RL15_HUMAN	0.8
DC1I2_HUMAN	PP2AA_HUMAN	0.6
DC1I2_HUMAN	TBA1A_HUMAN	0.6
DC1I2_HUMAN	CD59_HUMAN	0.6
DC1I2_HUMAN	RAB1A_HUMAN	0.6
DC1I2_HUMAN	1433T_HUMAN	0.8
DC1I2_HUMAN	1433E_HUMAN	0.6
DC1I2_HUMAN	CUL3_HUMAN	1.6
DC1I2_HUMAN	TCPW_HUMAN	0.8
DC1I2_HUMAN	ANK1_HUMAN	0.6
DC1I2_HUMAN	DCTN3_HUMAN	1.4
DC1I2_HUMAN	DNJA2_HUMAN	1.6
DC1I2_HUMAN	PP1G_HUMAN	0.6
DC1I2_HUMAN	DDX1_HUMAN	1.44
DC1I2_HUMAN	KAPCA_HUMAN	0.6
DC1I2_HUMAN	GOSR1_HUMAN	1.4
DC1I2_HUMAN	AIP_HUMAN	0.8
DC1I2_HUMAN	1433B_HUMAN	0.64
DC1I2_HUMAN	RAB1B_HUMAN	0.6
DC1I2_HUMAN	CLIP1_HUMAN	0.6
DC1I2_HUMAN	RAB6B_HUMAN	0.6
DC1I2_HUMAN	COPD_HUMAN	0.6
DC1I2_HUMAN	DC1L2_HUMAN	9.48
DC1I2_HUMAN	ARF1_HUMAN	0.6
DC1I2_HUMAN	USO1_HUMAN	0.6
DC1I2_HUMAN	AL7A1_HUMAN	0.8
DC1I2_HUMAN	KIF2B_HUMAN	0.6
DC1I2_HUMAN	PPID_HUMAN	0.8
DC1I2_HUMAN	SPTN1_HUMAN	0.6
DC1I2_HUMAN	RBGPR_HUMAN	0.6
DC1I2_HUMAN	PRUN2_HUMAN	1.44
DC1I2_HUMAN	DCTN4_HUMAN	2.2
DC1I2_HUMAN	BCKD_HUMAN	0.8
DC1I2_HUMAN	RL28_HUMAN	0.8
DC1I2_HUMAN	SPTN2_HUMAN	0.6
DC1I2_HUMAN	RAGP1_HUMAN	0.6
DC1I2_HUMAN	TCPQ_HUMAN	1.6
DC1I2_HUMAN	CLAP2_HUMAN	0.6
DC1I2_HUMAN	HOOK3_HUMAN	1.6
DC1I2_HUMAN	ELMO2_HUMAN	0.8
DC1I2_HUMAN	SH3G2_HUMAN	0.8
DC1I2_HUMAN	EZRI_HUMAN	0.8
DC1I2_HUMAN	CHIP_HUMAN	0.8
DC1I2_HUMAN	DYL1_HUMAN	9.159999999999998
DC1I2_HUMAN	SIR2_HUMAN	0.8
DC1I2_HUMAN	MYL6B_HUMAN	0.8
DC1I2_HUMAN	ZWINT_HUMAN	0.6
DC1I2_HUMAN	TBG2_HUMAN	0.6
DC1I2_HUMAN	XPO7_HUMAN	0.64
DC1I2_HUMAN	RB6I2_HUMAN	0.8
DC1I2_HUMAN	TCPE_HUMAN	1.6
DC1I2_HUMAN	KIF2A_HUMAN	0.6
DC1I2_HUMAN	TCPD_HUMAN	0.8
DC1I2_HUMAN	DYL2_HUMAN	3.8000000000000003
DC1I2_HUMAN	KAP3_HUMAN	1.4
DC1I2_HUMAN	DLRB1_HUMAN	14.76
DC1I2_HUMAN	HS90A_HUMAN	0.6
DC1I2_HUMAN	TSC1_HUMAN	0.64
DC1I2_HUMAN	TCPA_HUMAN	0.8
DC1I2_HUMAN	RB3GP_HUMAN	0.6
DC1I2_HUMAN	RS13_HUMAN	0.8
DC1I2_HUMAN	PLCE_HUMAN	0.8
DC1I2_HUMAN	MCR_HUMAN	0.6
DC1I2_HUMAN	RAB8A_HUMAN	0.6
DC1I2_HUMAN	RAB7A_HUMAN	0.6
DC1I2_HUMAN	MARE1_HUMAN	1.4
DC1I2_HUMAN	MLF1_HUMAN	0.8
DC1I2_HUMAN	ARFG3_HUMAN	0.6
DC1I2_HUMAN	NDRG1_HUMAN	0.8
DC1I2_HUMAN	NPM_HUMAN	1.6
DC1I2_HUMAN	TERA_HUMAN	0.8
DC1I2_HUMAN	AKAP9_HUMAN	0.6
DC1I2_HUMAN	CSN3_HUMAN	0.64
DC1I2_HUMAN	GOGB1_HUMAN	0.6
DC1I2_HUMAN	2A5D_HUMAN	0.6
DC1I2_HUMAN	GNL1_HUMAN	0.8
DC1I2_HUMAN	DYHC1_HUMAN	13.200000000000003
DC1I2_HUMAN	1433G_HUMAN	0.6
DC1I2_HUMAN	TCPH_HUMAN	0.8
DC1I2_HUMAN	DCTN2_HUMAN	2.2
DC1I2_HUMAN	VPS29_HUMAN	0.8
DC1I2_HUMAN	KIF5A_HUMAN	0.6
DC1I2_HUMAN	NDEL1_HUMAN	0.6
DC1I2_HUMAN	PSDE_HUMAN	0.8
DC1I2_HUMAN	SEC13_HUMAN	0.6
DC1I2_HUMAN	ADDA_HUMAN	0.8
DC1I2_HUMAN	DC1I2_HUMAN	7.76
DC1I2_HUMAN	AURKA_HUMAN	0.6
DC1I2_HUMAN	EIF3C_HUMAN	0.64
DC1I2_HUMAN	KINH_HUMAN	0.6
DC1I2_HUMAN	RAB6A_HUMAN	0.6
DC1I2_HUMAN	KLC1_HUMAN	0.6
DC1I2_HUMAN	ANK3_HUMAN	0.6
CKAP5_HUMAN	CKAP5_HUMAN	9.36
CKAP5_HUMAN	TBA4A_HUMAN	0.6
CKAP5_HUMAN	ACTZ_HUMAN	0.6
CKAP5_HUMAN	KC1D_HUMAN	0.6
CKAP5_HUMAN	CLAP1_HUMAN	2.04
CKAP5_HUMAN	2AAA_HUMAN	0.6
CKAP5_HUMAN	KC1E_HUMAN	0.6
CKAP5_HUMAN	DC1L1_HUMAN	1.24
CKAP5_HUMAN	LIS1_HUMAN	1.24
CKAP5_HUMAN	KIF2C_HUMAN	0.6
CKAP5_HUMAN	SMC3_HUMAN	1.4
CKAP5_HUMAN	DC1I1_HUMAN	1.24
CKAP5_HUMAN	RB11A_HUMAN	0.6
CKAP5_HUMAN	CDC42_HUMAN	0.6
CKAP5_HUMAN	XPO1_HUMAN	0.6
CKAP5_HUMAN	DCTN1_HUMAN	0.64
CKAP5_HUMAN	TBG1_HUMAN	0.6
CKAP5_HUMAN	ERLN1_HUMAN	1.28
CKAP5_HUMAN	TAOK1_HUMAN	0.6
CKAP5_HUMAN	PP2AA_HUMAN	0.6
CKAP5_HUMAN	TBA1A_HUMAN	3.8000000000000003
CKAP5_HUMAN	1433E_HUMAN	0.6
CKAP5_HUMAN	DCTN3_HUMAN	0.6
CKAP5_HUMAN	PP1G_HUMAN	0.6
CKAP5_HUMAN	KAPCA_HUMAN	0.6
CKAP5_HUMAN	CLIP1_HUMAN	0.6
CKAP5_HUMAN	DC1L2_HUMAN	0.6
CKAP5_HUMAN	KIF2B_HUMAN	0.6
CKAP5_HUMAN	RAGP1_HUMAN	1.24
CKAP5_HUMAN	CLAP2_HUMAN	1.24
CKAP5_HUMAN	DYL1_HUMAN	1.24
CKAP5_HUMAN	ZWINT_HUMAN	0.6
CKAP5_HUMAN	TBG2_HUMAN	0.6
CKAP5_HUMAN	RB6I2_HUMAN	1.28
CKAP5_HUMAN	KIF2A_HUMAN	0.6
CKAP5_HUMAN	DYL2_HUMAN	0.6
CKAP5_HUMAN	KAP3_HUMAN	0.6
CKAP5_HUMAN	HS90A_HUMAN	0.6
CKAP5_HUMAN	RAB8A_HUMAN	0.6
CKAP5_HUMAN	MARE1_HUMAN	3.0000000000000004
CKAP5_HUMAN	AKAP9_HUMAN	0.6
CKAP5_HUMAN	2A5D_HUMAN	0.6
CKAP5_HUMAN	DYHC1_HUMAN	1.88
CKAP5_HUMAN	1433G_HUMAN	1.4
CKAP5_HUMAN	DCTN2_HUMAN	1.24
CKAP5_HUMAN	NDEL1_HUMAN	0.6
CKAP5_HUMAN	SEC13_HUMAN	1.24
CKAP5_HUMAN	AURKA_HUMAN	1.6
DECR_HUMAN	DECR_HUMAN	36.0
DECR_HUMAN	1433B_HUMAN	0.64
DECR_HUMAN	NPM_HUMAN	1.6
TBA4A_HUMAN	ACTZ_HUMAN	0.6
TBA4A_HUMAN	KC1D_HUMAN	0.6
TBA4A_HUMAN	TCPZ_HUMAN	1.4
TBA4A_HUMAN	TCPB_HUMAN	1.4
TBA4A_HUMAN	CLAP1_HUMAN	0.6
TBA4A_HUMAN	2AAA_HUMAN	0.6
TBA4A_HUMAN	KC1E_HUMAN	0.6
TBA4A_HUMAN	DC1L1_HUMAN	0.8
TBA4A_HUMAN	MK03_HUMAN	0.64
TBA4A_HUMAN	FKBP4_HUMAN	0.8
TBA4A_HUMAN	NBEA_HUMAN	0.64
TBA4A_HUMAN	LIS1_HUMAN	1.24
TBA4A_HUMAN	RB11A_HUMAN	0.6
TBA4A_HUMAN	XPO1_HUMAN	1.44
TBA4A_HUMAN	UBC_HUMAN	1.28
TBA4A_HUMAN	TCPG_HUMAN	1.4
TBA4A_HUMAN	TBG1_HUMAN	1.4
