UniProtID	UniProtID	score
DCAKD_HUMAN	COMT_HUMAN	1.6
DCAKD_HUMAN	ELAV1_HUMAN	0.8
DCAKD_HUMAN	UBC_HUMAN	0.8
DCAKD_HUMAN	ESYT1_HUMAN	1.6
DCAKD_HUMAN	SRPRB_HUMAN	2.4000000000000004
DCAKD_HUMAN	TIP_HUMAN	0.8
DCAKD_HUMAN	PTN5_HUMAN	0.8
DCAKD_HUMAN	SAM50_HUMAN	0.64
COMT_HUMAN	COMT_HUMAN	187.2000000000004
COMT_HUMAN	ESYT1_HUMAN	1.6
ELAV1_HUMAN	ELAV1_HUMAN	46.8
ELAV1_HUMAN	UBC_HUMAN	4.0
ELAV1_HUMAN	SRPRB_HUMAN	0.8
ELAV1_HUMAN	TIP_HUMAN	0.8
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	ESYT1_HUMAN	0.64
UBC_HUMAN	SRPRB_HUMAN	0.8
UBC_HUMAN	PTN5_HUMAN	2.0
UBC_HUMAN	SAM50_HUMAN	0.64
ESYT1_HUMAN	ESYT1_HUMAN	4.0
SRPRB_HUMAN	SRPRB_HUMAN	5.199999999999999
TIP_HUMAN	TIP_HUMAN	1.6
PTN5_HUMAN	PTN5_HUMAN	1.6
