UniProtID	UniProtID	score
DCTN3_HUMAN	PACN3_HUMAN	1.28
DCTN3_HUMAN	DCTN1_HUMAN	12.320000000000002
DCTN3_HUMAN	CLH1_HUMAN	0.64
DCTN3_HUMAN	RIN1_HUMAN	0.8
DCTN3_HUMAN	FLNB_HUMAN	0.8
DCTN3_HUMAN	BCAR1_HUMAN	1.28
DCTN3_HUMAN	TRY1_HUMAN	0.64
DCTN3_HUMAN	TAU_HUMAN	0.64
DCTN3_HUMAN	TF65_HUMAN	0.8
DCTN3_HUMAN	HSP7C_HUMAN	0.8
DCTN3_HUMAN	DYL1_HUMAN	0.8
DCTN3_HUMAN	RYBP_HUMAN	0.8
DCTN3_HUMAN	DNMT1_HUMAN	0.64
DCTN3_HUMAN	LMNB1_HUMAN	0.8
DCTN3_HUMAN	S61A1_HUMAN	1.28
DCTN3_HUMAN	FHL2_HUMAN	0.8
DCTN3_HUMAN	KSR1_HUMAN	1.6
DCTN3_HUMAN	RIPK1_HUMAN	0.8
DCTN3_HUMAN	EGFR_HUMAN	0.8
DCTN3_HUMAN	MARE1_HUMAN	0.8
DCTN3_HUMAN	NDEL1_HUMAN	0.64
DCTN3_HUMAN	LIS1_HUMAN	0.64
DCTN3_HUMAN	ATX1_HUMAN	1.6
DCTN3_HUMAN	TRIPC_HUMAN	0.8
DCTN3_HUMAN	PBX2_HUMAN	0.8
DCTN3_HUMAN	GSK3B_HUMAN	2.24
DCTN3_HUMAN	US6NL_HUMAN	1.28
DCTN3_HUMAN	UBP1_HUMAN	1.28
DCTN3_HUMAN	DCTN2_HUMAN	12.480000000000002
DCTN3_HUMAN	RT09_HUMAN	1.28
DCTN3_HUMAN	ABC3B_HUMAN	1.28
DCTN3_HUMAN	ACTZ_HUMAN	6.88
DCTN3_HUMAN	MTNB_HUMAN	1.28
DCTN3_HUMAN	DCTN5_HUMAN	4.0
DCTN3_HUMAN	DCTN4_HUMAN	4.640000000000001
DCTN3_HUMAN	CAZA2_HUMAN	5.12
DCTN3_HUMAN	CATC_HUMAN	1.28
