UniProtID	UniProtID	score
DDX3X_HUMAN	CRK_HUMAN	0.8
DDX3X_HUMAN	DOCK4_HUMAN	0.8
DDX3X_HUMAN	ESR1_HUMAN	4.0
DDX3X_HUMAN	IF4B_HUMAN	2.6
DDX3X_HUMAN	SYUA_HUMAN	0.8
DDX3X_HUMAN	CTNB1_HUMAN	0.8
DDX3X_HUMAN	DCNL1_HUMAN	2.24
DDX3X_HUMAN	KIF1B_HUMAN	0.8
DDX3X_HUMAN	ACTN1_HUMAN	0.8
DDX3X_HUMAN	NEDD8_HUMAN	1.6
DDX3X_HUMAN	HNRPM_HUMAN	1.6
DDX3X_HUMAN	CBL_HUMAN	1.28
DDX3X_HUMAN	PABP1_HUMAN	10.24
DDX3X_HUMAN	LAR4B_HUMAN	0.8
DDX3X_HUMAN	PICAL_HUMAN	0.8
DDX3X_HUMAN	TRI25_HUMAN	3.4000000000000004
DDX3X_HUMAN	NEDD4_HUMAN	0.8
DDX3X_HUMAN	YAP1_HUMAN	1.6
DDX3X_HUMAN	DUX4_HUMAN	2.4000000000000004
DDX3X_HUMAN	PIAS1_HUMAN	0.8
DDX3X_HUMAN	SMRCD_HUMAN	0.8
DDX3X_HUMAN	CLH1_HUMAN	0.8
DDX3X_HUMAN	ARRB2_HUMAN	2.4000000000000004
DDX3X_HUMAN	P53_HUMAN	1.6
DDX3X_HUMAN	UBP7_HUMAN	0.8
DDX3X_HUMAN	MLP3B_HUMAN	0.8
DDX3X_HUMAN	MLP3A_HUMAN	0.8
DDX3X_HUMAN	SP1_HUMAN	2
DDX3X_HUMAN	SQSTM_HUMAN	0.8
DDX3X_HUMAN	ZKSC4_HUMAN	0.8
DDX3X_HUMAN	HNRL1_HUMAN	1.44
DDX3X_HUMAN	AP2M1_HUMAN	0.8
DDX3X_HUMAN	GBRAP_HUMAN	0.8
DDX3X_HUMAN	GBRL1_HUMAN	0.8
DDX3X_HUMAN	GBRL2_HUMAN	0.8
DDX3X_HUMAN	CDC37_HUMAN	0.8
DDX3X_HUMAN	NPM_HUMAN	2.4000000000000004
DDX3X_HUMAN	MAVS_HUMAN	6
DDX3X_HUMAN	SMAD3_HUMAN	0.8
DDX3X_HUMAN	RBM14_HUMAN	0.8
DDX3X_HUMAN	TERA_HUMAN	1.6
DDX3X_HUMAN	HNRPR_HUMAN	1.6
DDX3X_HUMAN	CENPA_HUMAN	1.6
DDX3X_HUMAN	SHAN3_HUMAN	0.64
DDX3X_HUMAN	RIMS1_HUMAN	0.8
DDX3X_HUMAN	RIN3_HUMAN	0.8
DDX3X_HUMAN	G3BP2_HUMAN	0.8
DDX3X_HUMAN	CUL7_HUMAN	0.8
DDX3X_HUMAN	BRD4_HUMAN	0.8
DDX3X_HUMAN	EIF3D_HUMAN	3.2
DDX3X_HUMAN	CUL9_HUMAN	0.8
DDX3X_HUMAN	HDAC6_HUMAN	1.6
DDX3X_HUMAN	FUBP3_HUMAN	0.8
DDX3X_HUMAN	RIT1_HUMAN	0.8
DDX3X_HUMAN	TNIK_HUMAN	1.28
