UniProtID	UniProtID	score
DHE3_HUMAN	CH60_HUMAN	1.6
DHE3_HUMAN	DCE1_HUMAN	0.6
DHE3_HUMAN	LPPRC_HUMAN	0.8
DHE3_HUMAN	TRAP1_HUMAN	0.8
DHE3_HUMAN	ERBB2_HUMAN	0.64
DHE3_HUMAN	CTRO_HUMAN	0.8
DHE3_HUMAN	CDK5_HUMAN	1.6
DHE3_HUMAN	PHB_HUMAN	0.8
DHE3_HUMAN	TFAM_HUMAN	0.8
DHE3_HUMAN	MDHM_HUMAN	1.4
DHE3_HUMAN	SFXN1_HUMAN	0.8
DHE3_HUMAN	1433Z_HUMAN	0.64
DHE3_HUMAN	AL4A1_HUMAN	0.6
DHE3_HUMAN	HSPB1_HUMAN	0.8
DHE3_HUMAN	C1QBP_HUMAN	0.8
DHE3_HUMAN	TIP_HUMAN	0.8
DHE3_HUMAN	TAU_HUMAN	0.64
DHE3_HUMAN	NNTM_HUMAN	0.8
DHE3_HUMAN	ANS1B_HUMAN	0.64
DHE3_HUMAN	2AAA_HUMAN	1.28
DHE3_HUMAN	PTN23_HUMAN	1.6
DHE3_HUMAN	ARF6_HUMAN	0.8
DHE3_HUMAN	IDH3B_HUMAN	0.6
DHE3_HUMAN	GLSL_HUMAN	0.6
DHE3_HUMAN	IDH3G_HUMAN	0.6
DHE3_HUMAN	DLG4_HUMAN	0.64
DHE3_HUMAN	DHE3_HUMAN	90.0
DHE3_HUMAN	SSBP_HUMAN	0.8
DHE3_HUMAN	KCMA1_HUMAN	1.28
DHE3_HUMAN	TERA_HUMAN	0.8
DHE3_HUMAN	RHG39_HUMAN	0.8
DHE3_HUMAN	TBG1_HUMAN	1.28
DHE3_HUMAN	OGT1_HUMAN	0.8
DHE3_HUMAN	SRC8_HUMAN	0.8
DHE3_HUMAN	NDUS3_HUMAN	1.6
DHE3_HUMAN	CISY_HUMAN	2.2
DHE3_HUMAN	RSSA_HUMAN	0.8
DHE3_HUMAN	CNDP2_HUMAN	0.6
DHE3_HUMAN	NGEF_HUMAN	0.8
DHE3_HUMAN	RHG01_HUMAN	1.28
DHE3_HUMAN	RAB21_HUMAN	0.64
DHE3_HUMAN	GLSK_HUMAN	0.6
DHE3_HUMAN	FUS_HUMAN	0.8
DHE3_HUMAN	DLDH_HUMAN	0.6
DHE3_HUMAN	AATC_HUMAN	0.6
DHE3_HUMAN	ODO1_HUMAN	0.6
DHE3_HUMAN	ATD3A_HUMAN	0.8
DHE3_HUMAN	PRIO_HUMAN	0.8
DHE3_HUMAN	NEB2_HUMAN	0.64
DHE3_HUMAN	DYL1_HUMAN	1.28
DHE3_HUMAN	ODPA_HUMAN	0.8
DHE3_HUMAN	AIFM1_HUMAN	2.4000000000000004
DHE3_HUMAN	MGST3_HUMAN	0.8
DHE3_HUMAN	SH3G3_HUMAN	1.6
DHE3_HUMAN	CUL3_HUMAN	1.6
DHE3_HUMAN	AATM_HUMAN	0.6
DHE3_HUMAN	IDHP_HUMAN	0.6
DHE3_HUMAN	OGDHL_HUMAN	0.6
DHE3_HUMAN	ACLY_HUMAN	0.6
DHE3_HUMAN	AKAP1_HUMAN	0.8
DHE3_HUMAN	EFTU_HUMAN	0.8
DHE3_HUMAN	IDH3A_HUMAN	0.6
DHE3_HUMAN	FLOT1_HUMAN	0.8
DHE3_HUMAN	SODM_HUMAN	0.6
DHE3_HUMAN	AUHM_HUMAN	0.8
DHE3_HUMAN	ELAV1_HUMAN	0.8
DHE3_HUMAN	PI42A_HUMAN	0.8
DHE3_HUMAN	1433B_HUMAN	0.64
DHE3_HUMAN	HCD2_HUMAN	0.8
DHE3_HUMAN	PYC_HUMAN	0.6
DHE3_HUMAN	GLNA_HUMAN	0.6
DHE3_HUMAN	COX41_HUMAN	0.8
CH60_HUMAN	CH60_HUMAN	151.2
CH60_HUMAN	LPPRC_HUMAN	1.6
CH60_HUMAN	TRAP1_HUMAN	2.04
CH60_HUMAN	ERBB2_HUMAN	1.6
CH60_HUMAN	CTRO_HUMAN	0.8
CH60_HUMAN	PHB_HUMAN	1.6
CH60_HUMAN	TFAM_HUMAN	1.6
CH60_HUMAN	MDHM_HUMAN	2.4000000000000004
CH60_HUMAN	SFXN1_HUMAN	1.6
