UniProtID	UniProtID	score
DISC1_HUMAN	TRI37_HUMAN	0.8
DISC1_HUMAN	CALM1_HUMAN	1.6
DISC1_HUMAN	CTRO_HUMAN	2.6
DISC1_HUMAN	SYNE1_HUMAN	8.84
DISC1_HUMAN	SEPT7_HUMAN	0.8
DISC1_HUMAN	CALD1_HUMAN	1.6
DISC1_HUMAN	USP9X_HUMAN	0.64
DISC1_HUMAN	SACS_HUMAN	0.8
DISC1_HUMAN	TRAF3_HUMAN	0.8
DISC1_HUMAN	SNX6_HUMAN	3.2
DISC1_HUMAN	CNTN1_HUMAN	0.8
DISC1_HUMAN	ATRX_HUMAN	0.8
DISC1_HUMAN	TPM3_HUMAN	1.6
DISC1_HUMAN	NRP2_HUMAN	0.8
DISC1_HUMAN	PPM1E_HUMAN	2.4000000000000004
DISC1_HUMAN	ARF3_HUMAN	0.64
DISC1_HUMAN	ADA23_HUMAN	0.8
DISC1_HUMAN	CLAP1_HUMAN	0.8
DISC1_HUMAN	FLOT2_HUMAN	1.6
DISC1_HUMAN	STX1B_HUMAN	0.8
DISC1_HUMAN	DDX6_HUMAN	0.8
DISC1_HUMAN	RS25_HUMAN	1.6
DISC1_HUMAN	LIMA1_HUMAN	1.6
DISC1_HUMAN	DTD1_HUMAN	0.8
DISC1_HUMAN	FSD1_HUMAN	0.64
DISC1_HUMAN	ARRB1_HUMAN	0.8
DISC1_HUMAN	MPRIP_HUMAN	0.8
DISC1_HUMAN	OGT1_HUMAN	0.8
DISC1_HUMAN	RSSA_HUMAN	0.8
DISC1_HUMAN	RPN1_HUMAN	0.64
DISC1_HUMAN	E41L3_HUMAN	2.4000000000000004
DISC1_HUMAN	KIFA3_HUMAN	2.4000000000000004
DISC1_HUMAN	FRYL_HUMAN	3.2
DISC1_HUMAN	RNF10_HUMAN	0.8
DISC1_HUMAN	GDIA_HUMAN	0.8
DISC1_HUMAN	PGAM5_HUMAN	0.64
DISC1_HUMAN	MTMRD_HUMAN	0.8
DISC1_HUMAN	MLF2_HUMAN	0.64
DISC1_HUMAN	COPA_HUMAN	0.64
DISC1_HUMAN	GELS_HUMAN	3.2
DISC1_HUMAN	PSMD1_HUMAN	0.8
DISC1_HUMAN	LIS1_HUMAN	6.039999999999999
DISC1_HUMAN	SMC3_HUMAN	2.24
DISC1_HUMAN	DC1I1_HUMAN	0.8
DISC1_HUMAN	ROGDI_HUMAN	3.2
DISC1_HUMAN	IPO7_HUMAN	1.44
DISC1_HUMAN	ZO2_HUMAN	1.6
DISC1_HUMAN	STXB1_HUMAN	0.8
DISC1_HUMAN	UBA1_HUMAN	0.8
DISC1_HUMAN	SNX4_HUMAN	0.8
DISC1_HUMAN	UTRN_HUMAN	2.4000000000000004
DISC1_HUMAN	SPTB2_HUMAN	6.24
DISC1_HUMAN	IF4G1_HUMAN	0.8
DISC1_HUMAN	PDPK1_HUMAN	0.8
DISC1_HUMAN	GSK3B_HUMAN	5.28
DISC1_HUMAN	ESYT2_HUMAN	0.64
DISC1_HUMAN	PBIP1_HUMAN	1.6
DISC1_HUMAN	LRP4_HUMAN	1.6
DISC1_HUMAN	KCRB_HUMAN	0.8
DISC1_HUMAN	DOCK7_HUMAN	0.8
DISC1_HUMAN	FLII_HUMAN	1.6
DISC1_HUMAN	DNJA3_HUMAN	0.64
DISC1_HUMAN	CAZA1_HUMAN	1.6
DISC1_HUMAN	MINK1_HUMAN	0.8
DISC1_HUMAN	ARPC4_HUMAN	1.6
DISC1_HUMAN	KALRN_HUMAN	3.2
DISC1_HUMAN	CAP1_HUMAN	0.8
DISC1_HUMAN	RS15A_HUMAN	1.6
DISC1_HUMAN	DCTN1_HUMAN	3.04
DISC1_HUMAN	CTND2_HUMAN	0.8
DISC1_HUMAN	LIPA4_HUMAN	0.8
DISC1_HUMAN	FMNL2_HUMAN	0.8
DISC1_HUMAN	IF4A3_HUMAN	0.8
DISC1_HUMAN	DREB_HUMAN	1.6
DISC1_HUMAN	ACTN1_HUMAN	2.4000000000000004
DISC1_HUMAN	DNJA1_HUMAN	1.6
DISC1_HUMAN	DCC_HUMAN	0.8
DISC1_HUMAN	STRN_HUMAN	0.8
DISC1_HUMAN	MYO5A_HUMAN	0.8
DISC1_HUMAN	MAP1A_HUMAN	4.840000000000001
DISC1_HUMAN	TRIO_HUMAN	4.8
DISC1_HUMAN	UBR4_HUMAN	0.8
DISC1_HUMAN	VPS8_HUMAN	0.8
DISC1_HUMAN	EF1A1_HUMAN	0.64
DISC1_HUMAN	STK38_HUMAN	0.64
DISC1_HUMAN	SPTN4_HUMAN	4.2
DISC1_HUMAN	ACTG_HUMAN	2.4000000000000004
DISC1_HUMAN	TCPG_HUMAN	0.64
DISC1_HUMAN	AT131_HUMAN	1.6
DISC1_HUMAN	DLG4_HUMAN	1.6
DISC1_HUMAN	MRCKB_HUMAN	0.8
DISC1_HUMAN	SSBP_HUMAN	1.6
DISC1_HUMAN	ATX10_HUMAN	0.8
DISC1_HUMAN	AGRL1_HUMAN	0.8
DISC1_HUMAN	HNRPK_HUMAN	1.6
DISC1_HUMAN	AP1M1_HUMAN	0.8
DISC1_HUMAN	ANK3_HUMAN	0.8
DISC1_HUMAN	TBG1_HUMAN	2.0
DISC1_HUMAN	DDX17_HUMAN	0.8
DISC1_HUMAN	ERLN1_HUMAN	1.6
DISC1_HUMAN	PPP5_HUMAN	2.4000000000000004
DISC1_HUMAN	DEMA_HUMAN	0.8
DISC1_HUMAN	FBX41_HUMAN	2.4000000000000004
DISC1_HUMAN	PLCD3_HUMAN	1.6
DISC1_HUMAN	EXOC4_HUMAN	1.6
DISC1_HUMAN	DYN3_HUMAN	0.8
DISC1_HUMAN	COR1C_HUMAN	1.6
DISC1_HUMAN	BAIP2_HUMAN	0.8
DISC1_HUMAN	TBA1A_HUMAN	0.8
DISC1_HUMAN	GRB2_HUMAN	0.64
DISC1_HUMAN	GBB1_HUMAN	3.04
DISC1_HUMAN	ACTB_HUMAN	1.44
DISC1_HUMAN	1433T_HUMAN	2.4000000000000004
DISC1_HUMAN	VPS16_HUMAN	1.6
DISC1_HUMAN	1433E_HUMAN	3.84
DISC1_HUMAN	LYRIC_HUMAN	1.6
DISC1_HUMAN	PSMD2_HUMAN	0.8
DISC1_HUMAN	DJC11_HUMAN	0.64
DISC1_HUMAN	AIFM1_HUMAN	0.64
DISC1_HUMAN	SRR_HUMAN	3.4000000000000004
DISC1_HUMAN	SYGP1_HUMAN	0.8
DISC1_HUMAN	LRC8A_HUMAN	1.6
DISC1_HUMAN	CTNA1_HUMAN	0.8
DISC1_HUMAN	MRCKA_HUMAN	0.8
DISC1_HUMAN	CLH1_HUMAN	0.8
DISC1_HUMAN	GIT1_HUMAN	0.8
DISC1_HUMAN	DDX1_HUMAN	1.6
DISC1_HUMAN	DLGP4_HUMAN	0.8
DISC1_HUMAN	SNX5_HUMAN	0.8
DISC1_HUMAN	WDR47_HUMAN	0.8
DISC1_HUMAN	NCDN_HUMAN	0.64
DISC1_HUMAN	1433B_HUMAN	0.8
DISC1_HUMAN	CLUS_HUMAN	4.8
DISC1_HUMAN	ERG24_HUMAN	1.6
DISC1_HUMAN	PDLI5_HUMAN	1.44
DISC1_HUMAN	LMTK2_HUMAN	0.8
DISC1_HUMAN	KCAB2_HUMAN	0.8
DISC1_HUMAN	PKN1_HUMAN	0.8
DISC1_HUMAN	CKAP4_HUMAN	1.6
DISC1_HUMAN	CALM3_HUMAN	0.8
DISC1_HUMAN	LIPA3_HUMAN	0.8
DISC1_HUMAN	KAP1_HUMAN	0.8
DISC1_HUMAN	PSD11_HUMAN	0.8
DISC1_HUMAN	NCK2_HUMAN	0.8
DISC1_HUMAN	NFL_HUMAN	0.8
DISC1_HUMAN	MYL6_HUMAN	1.6
DISC1_HUMAN	FLNA_HUMAN	1.6
DISC1_HUMAN	EXOC1_HUMAN	3.2
DISC1_HUMAN	MTMR2_HUMAN	0.8
DISC1_HUMAN	TNIK_HUMAN	6.3999999999999995
DISC1_HUMAN	SPTN1_HUMAN	6.24
DISC1_HUMAN	1433Z_HUMAN	3.2
DISC1_HUMAN	IMB1_HUMAN	1.44
DISC1_HUMAN	SC31A_HUMAN	0.8
DISC1_HUMAN	TLN1_HUMAN	0.8
DISC1_HUMAN	SFXN1_HUMAN	0.64
DISC1_HUMAN	RS7_HUMAN	1.6
DISC1_HUMAN	R7BP_HUMAN	0.8
DISC1_HUMAN	FAK1_HUMAN	0.8
DISC1_HUMAN	SYNEM_HUMAN	1.6400000000000001
DISC1_HUMAN	DLG1_HUMAN	1.6
DISC1_HUMAN	NDUV1_HUMAN	0.8
DISC1_HUMAN	DCLK1_HUMAN	0.8
DISC1_HUMAN	VPS35_HUMAN	0.8
DISC1_HUMAN	EXOC7_HUMAN	3.04
DISC1_HUMAN	CSPG2_HUMAN	0.8
DISC1_HUMAN	DNJB6_HUMAN	0.64
DISC1_HUMAN	DTBP1_HUMAN	0.6
DISC1_HUMAN	KIF5C_HUMAN	0.8
DISC1_HUMAN	NFM_HUMAN	1.6
DISC1_HUMAN	CTND1_HUMAN	0.8
DISC1_HUMAN	RAGP1_HUMAN	2.4000000000000004
DISC1_HUMAN	ACTN2_HUMAN	5.0
DISC1_HUMAN	PP2BA_HUMAN	0.8
DISC1_HUMAN	SPTN2_HUMAN	0.8
DISC1_HUMAN	CRYAB_HUMAN	1.6
DISC1_HUMAN	GRAP1_HUMAN	8.48
DISC1_HUMAN	RUFY3_HUMAN	0.8
DISC1_HUMAN	RGRF2_HUMAN	0.8
DISC1_HUMAN	DRP2_HUMAN	0.8
DISC1_HUMAN	SRPK2_HUMAN	0.64
DISC1_HUMAN	TNPO1_HUMAN	1.44
DISC1_HUMAN	PGK1_HUMAN	2.4000000000000004
DISC1_HUMAN	HS105_HUMAN	0.8
DISC1_HUMAN	CYFP2_HUMAN	0.8
DISC1_HUMAN	TPM2_HUMAN	1.6
DISC1_HUMAN	PYR1_HUMAN	0.64
DISC1_HUMAN	DMXL2_HUMAN	0.8
DISC1_HUMAN	MVP_HUMAN	0.8
DISC1_HUMAN	KAP0_HUMAN	0.8
DISC1_HUMAN	TBG2_HUMAN	0.8
DISC1_HUMAN	HNRPQ_HUMAN	1.6
DISC1_HUMAN	FLOT1_HUMAN	1.6
DISC1_HUMAN	GBB2_HUMAN	0.64
DISC1_HUMAN	MACF1_HUMAN	6.3999999999999995
DISC1_HUMAN	RB6I2_HUMAN	0.8
DISC1_HUMAN	IMA1_HUMAN	0.64
DISC1_HUMAN	SRGP2_HUMAN	2.4000000000000004
DISC1_HUMAN	LANC2_HUMAN	0.8
DISC1_HUMAN	TBB2A_HUMAN	3.6799999999999997
DISC1_HUMAN	GASP2_HUMAN	2.4000000000000004
DISC1_HUMAN	CATA_HUMAN	1.6
DISC1_HUMAN	GLNA_HUMAN	0.8
DISC1_HUMAN	KAD3_HUMAN	1.6
DISC1_HUMAN	APCL_HUMAN	0.8
DISC1_HUMAN	TSC1_HUMAN	0.8
DISC1_HUMAN	DIP2B_HUMAN	0.8
DISC1_HUMAN	DDX5_HUMAN	0.8
DISC1_HUMAN	BAG2_HUMAN	1.44
