UniProtID	UniProtID	score
DJC13_HUMAN	HSP76_HUMAN	0.8
DJC13_HUMAN	HS71A_HUMAN	0.8
DJC13_HUMAN	CALM1_HUMAN	0.8
DJC13_HUMAN	BAG5_HUMAN	1.6
DJC13_HUMAN	MLF1_HUMAN	1.6
DJC13_HUMAN	HS71L_HUMAN	0.8
DJC13_HUMAN	TCPG_HUMAN	1.6
DJC13_HUMAN	VPS35_HUMAN	0.6
DJC13_HUMAN	CYLD_HUMAN	0.8
DJC13_HUMAN	NPM_HUMAN	0.8
DJC13_HUMAN	HSP7C_HUMAN	6.3999999999999995
DJC13_HUMAN	OST48_HUMAN	0.6
DJC13_HUMAN	VAPA_HUMAN	0.6
DJC13_HUMAN	AT8A1_HUMAN	0.6
DJC13_HUMAN	GRP75_HUMAN	1.6
DJC13_HUMAN	PSN1_HUMAN	0.6
DJC13_HUMAN	RAB4A_HUMAN	0.8
DJC13_HUMAN	CHIP_HUMAN	0.8
DJC13_HUMAN	VATA_HUMAN	1.6
DJC13_HUMAN	STOM_HUMAN	0.6
DJC13_HUMAN	LTOR1_HUMAN	1.4
DJC13_HUMAN	CALM2_HUMAN	0.8
DJC13_HUMAN	CUL3_HUMAN	1.6
DJC13_HUMAN	RAB5C_HUMAN	0.6
DJC13_HUMAN	SNG1_HUMAN	0.6
DJC13_HUMAN	PPAC_HUMAN	0.8
DJC13_HUMAN	RAP1B_HUMAN	0.6
DJC13_HUMAN	MUSK_HUMAN	0.8
DJC13_HUMAN	VAMP2_HUMAN	1.28
DJC13_HUMAN	RB11A_HUMAN	0.8
DJC13_HUMAN	HS71B_HUMAN	0.8
DJC13_HUMAN	PI42A_HUMAN	1.6
DJC13_HUMAN	GSK3B_HUMAN	1.6
DJC13_HUMAN	RAB37_HUMAN	0.6
DJC13_HUMAN	SNX1_HUMAN	1.6
DJC13_HUMAN	CKAP4_HUMAN	0.6
DJC13_HUMAN	CALM3_HUMAN	0.8
DJC13_HUMAN	AP1G1_HUMAN	0.8
DJC13_HUMAN	KPCZ_HUMAN	0.8
DJC13_HUMAN	PROF1_HUMAN	0.8
HSP76_HUMAN	HSP76_HUMAN	4.0
HSP76_HUMAN	HS71A_HUMAN	3.6000000000000005
HSP76_HUMAN	BAG5_HUMAN	1.4
HSP76_HUMAN	HS71L_HUMAN	1.4
HSP76_HUMAN	CYLD_HUMAN	0.8
HSP76_HUMAN	HSP7C_HUMAN	3.0000000000000004
HSP76_HUMAN	GRP75_HUMAN	0.6
HSP76_HUMAN	CHIP_HUMAN	1.0
HSP76_HUMAN	HS71B_HUMAN	3.6000000000000005
HSP76_HUMAN	KPCZ_HUMAN	1.6
HS71A_HUMAN	HS71A_HUMAN	40.2
HS71A_HUMAN	BAG5_HUMAN	12.64
HS71A_HUMAN	HS71L_HUMAN	2.2
HS71A_HUMAN	CYLD_HUMAN	0.8
HS71A_HUMAN	NPM_HUMAN	0.8
HS71A_HUMAN	HSP7C_HUMAN	3.8000000000000003
HS71A_HUMAN	GRP75_HUMAN	0.6
HS71A_HUMAN	CHIP_HUMAN	21.400000000000006
HS71A_HUMAN	LTOR1_HUMAN	0.8
HS71A_HUMAN	CUL3_HUMAN	1.6
HS71A_HUMAN	RB11A_HUMAN	1.6
HS71A_HUMAN	HS71B_HUMAN	2.2
HS71A_HUMAN	GSK3B_HUMAN	1.8
HS71A_HUMAN	CKAP4_HUMAN	0.8
HS71A_HUMAN	KPCZ_HUMAN	1.6
HS71A_HUMAN	PROF1_HUMAN	0.64
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	BAG5_HUMAN	0.8
CALM1_HUMAN	CYLD_HUMAN	0.8
CALM1_HUMAN	CHIP_HUMAN	0.64
CALM1_HUMAN	STOM_HUMAN	0.8
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	CUL3_HUMAN	2.4000000000000004
CALM1_HUMAN	VAMP2_HUMAN	2.4000000000000004
CALM1_HUMAN	RAB37_HUMAN	0.64
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	PROF1_HUMAN	0.8
BAG5_HUMAN	BAG5_HUMAN	3.6
BAG5_HUMAN	HS71L_HUMAN	1.4
BAG5_HUMAN	TCPG_HUMAN	0.8
BAG5_HUMAN	HSP7C_HUMAN	11.8
BAG5_HUMAN	VAPA_HUMAN	0.8
BAG5_HUMAN	GRP75_HUMAN	0.6
BAG5_HUMAN	CHIP_HUMAN	4.88
BAG5_HUMAN	CALM2_HUMAN	0.8
BAG5_HUMAN	CUL3_HUMAN	1.6
BAG5_HUMAN	HS71B_HUMAN	8.239999999999998
BAG5_HUMAN	CKAP4_HUMAN	0.8
BAG5_HUMAN	CALM3_HUMAN	0.8
MLF1_HUMAN	MLF1_HUMAN	1.6
MLF1_HUMAN	PSN1_HUMAN	1.6
MLF1_HUMAN	CHIP_HUMAN	0.8
HS71L_HUMAN	HSP7C_HUMAN	3.8000000000000003
HS71L_HUMAN	GRP75_HUMAN	0.6
HS71L_HUMAN	PSN1_HUMAN	1.92
HS71L_HUMAN	CHIP_HUMAN	4.0
HS71L_HUMAN	CUL3_HUMAN	1.6
HS71L_HUMAN	RB11A_HUMAN	0.8
HS71L_HUMAN	HS71B_HUMAN	2.8000000000000003
TCPG_HUMAN	TCPG_HUMAN	23.68000000000001
TCPG_HUMAN	CYLD_HUMAN	1.6
TCPG_HUMAN	HSP7C_HUMAN	0.6
TCPG_HUMAN	STOM_HUMAN	0.8
TCPG_HUMAN	CUL3_HUMAN	1.6
TCPG_HUMAN	RAP1B_HUMAN	0.64
VPS35_HUMAN	VPS35_HUMAN	22.16
VPS35_HUMAN	CYLD_HUMAN	0.8
VPS35_HUMAN	RAB4A_HUMAN	0.64
VPS35_HUMAN	RAB5C_HUMAN	0.64
VPS35_HUMAN	GSK3B_HUMAN	0.8
VPS35_HUMAN	SNX1_HUMAN	4.64
CYLD_HUMAN	CYLD_HUMAN	12.8
CYLD_HUMAN	NPM_HUMAN	0.8
CYLD_HUMAN	HSP7C_HUMAN	0.8
CYLD_HUMAN	GRP75_HUMAN	0.8
CYLD_HUMAN	CHIP_HUMAN	0.8
CYLD_HUMAN	CALM2_HUMAN	0.8
CYLD_HUMAN	CUL3_HUMAN	0.8
CYLD_HUMAN	HS71B_HUMAN	0.8
CYLD_HUMAN	CKAP4_HUMAN	0.8
CYLD_HUMAN	CALM3_HUMAN	0.8
CYLD_HUMAN	PROF1_HUMAN	0.8
NPM_HUMAN	NPM_HUMAN	155.2
NPM_HUMAN	CUL3_HUMAN	1.6
NPM_HUMAN	HS71B_HUMAN	0.8
NPM_HUMAN	KPCZ_HUMAN	4.8
HSP7C_HUMAN	HSP7C_HUMAN	64.88000000000001
HSP7C_HUMAN	GRP75_HUMAN	3.0000000000000004
HSP7C_HUMAN	PSN1_HUMAN	2.88
HSP7C_HUMAN	CHIP_HUMAN	57.080000000000005
HSP7C_HUMAN	LTOR1_HUMAN	0.8
HSP7C_HUMAN	CUL3_HUMAN	1.6
HSP7C_HUMAN	RAB5C_HUMAN	0.6
HSP7C_HUMAN	VAMP2_HUMAN	1.4
HSP7C_HUMAN	HS71B_HUMAN	4.4
HSP7C_HUMAN	GSK3B_HUMAN	0.8
HSP7C_HUMAN	AP1G1_HUMAN	0.6
HSP7C_HUMAN	KPCZ_HUMAN	1.6
HSP7C_HUMAN	PROF1_HUMAN	0.64
OST48_HUMAN	VAPA_HUMAN	1.4
OST48_HUMAN	AT8A1_HUMAN	0.6
OST48_HUMAN	PSN1_HUMAN	2.2
OST48_HUMAN	VATA_HUMAN	0.8
OST48_HUMAN	STOM_HUMAN	0.6
OST48_HUMAN	LTOR1_HUMAN	0.6
OST48_HUMAN	RAB5C_HUMAN	0.6
OST48_HUMAN	SNG1_HUMAN	0.6
OST48_HUMAN	RAP1B_HUMAN	0.6
OST48_HUMAN	RAB37_HUMAN	0.6
OST48_HUMAN	CKAP4_HUMAN	0.6
VAPA_HUMAN	VAPA_HUMAN	23.600000000000005
VAPA_HUMAN	AT8A1_HUMAN	0.6
VAPA_HUMAN	PSN1_HUMAN	0.6
VAPA_HUMAN	VATA_HUMAN	2.4000000000000004
VAPA_HUMAN	STOM_HUMAN	1.4
VAPA_HUMAN	LTOR1_HUMAN	0.6
VAPA_HUMAN	RAB5C_HUMAN	2.2
VAPA_HUMAN	SNG1_HUMAN	0.6
VAPA_HUMAN	RAP1B_HUMAN	0.6
VAPA_HUMAN	VAMP2_HUMAN	3.04
VAPA_HUMAN	RB11A_HUMAN	0.8
VAPA_HUMAN	RAB37_HUMAN	0.6
VAPA_HUMAN	CKAP4_HUMAN	3.8000000000000003
AT8A1_HUMAN	PSN1_HUMAN	0.6
AT8A1_HUMAN	STOM_HUMAN	0.6
AT8A1_HUMAN	LTOR1_HUMAN	1.4
AT8A1_HUMAN	RAB5C_HUMAN	0.6
AT8A1_HUMAN	SNG1_HUMAN	0.6
AT8A1_HUMAN	RAP1B_HUMAN	0.6
AT8A1_HUMAN	RAB37_HUMAN	0.6
AT8A1_HUMAN	CKAP4_HUMAN	0.6
AT8A1_HUMAN	AP1G1_HUMAN	0.64
GRP75_HUMAN	GRP75_HUMAN	14.0
GRP75_HUMAN	PSN1_HUMAN	1.92
GRP75_HUMAN	CHIP_HUMAN	2.8
GRP75_HUMAN	CUL3_HUMAN	1.6
GRP75_HUMAN	HS71B_HUMAN	1.2
GRP75_HUMAN	GSK3B_HUMAN	0.8
GRP75_HUMAN	KPCZ_HUMAN	0.8
PSN1_HUMAN	PSN1_HUMAN	17.200000000000003
PSN1_HUMAN	STOM_HUMAN	0.6
PSN1_HUMAN	LTOR1_HUMAN	1.4
PSN1_HUMAN	RAB5C_HUMAN	0.6
PSN1_HUMAN	SNG1_HUMAN	0.6
PSN1_HUMAN	RAP1B_HUMAN	0.6
PSN1_HUMAN	GSK3B_HUMAN	7.4799999999999995
PSN1_HUMAN	RAB37_HUMAN	0.6
PSN1_HUMAN	CKAP4_HUMAN	0.6
RAB4A_HUMAN	RAB4A_HUMAN	12.0
RAB4A_HUMAN	LTOR1_HUMAN	0.8
RAB4A_HUMAN	RAB5C_HUMAN	0.6
RAB4A_HUMAN	VAMP2_HUMAN	0.8
RAB4A_HUMAN	RB11A_HUMAN	0.6
RAB4A_HUMAN	PI42A_HUMAN	1.0
RAB4A_HUMAN	RAB37_HUMAN	0.6
RAB4A_HUMAN	SNX1_HUMAN	0.8
RAB4A_HUMAN	CKAP4_HUMAN	0.8
CHIP_HUMAN	CHIP_HUMAN	82.79999999999994
CHIP_HUMAN	LTOR1_HUMAN	0.8
CHIP_HUMAN	CALM2_HUMAN	0.64
CHIP_HUMAN	CUL3_HUMAN	0.6
CHIP_HUMAN	HS71B_HUMAN	19.600000000000005
CHIP_HUMAN	CALM3_HUMAN	0.64
CHIP_HUMAN	KPCZ_HUMAN	3.8
CHIP_HUMAN	PROF1_HUMAN	2.0
VATA_HUMAN	STOM_HUMAN	1.6
VATA_HUMAN	LTOR1_HUMAN	1.44
VATA_HUMAN	CUL3_HUMAN	1.6
VATA_HUMAN	RAB5C_HUMAN	2.8800000000000003
STOM_HUMAN	STOM_HUMAN	41.999999999999986
STOM_HUMAN	LTOR1_HUMAN	1.4
STOM_HUMAN	CALM2_HUMAN	1.6
STOM_HUMAN	RAB5C_HUMAN	1.24
STOM_HUMAN	SNG1_HUMAN	0.6
STOM_HUMAN	RAP1B_HUMAN	0.6
STOM_HUMAN	RAB37_HUMAN	0.6
STOM_HUMAN	CKAP4_HUMAN	0.6
STOM_HUMAN	CALM3_HUMAN	0.8
LTOR1_HUMAN	LTOR1_HUMAN	6.0
LTOR1_HUMAN	RAB5C_HUMAN	1.4
LTOR1_HUMAN	SNG1_HUMAN	0.6
LTOR1_HUMAN	RAP1B_HUMAN	0.6
LTOR1_HUMAN	VAMP2_HUMAN	0.8
LTOR1_HUMAN	RB11A_HUMAN	1.6
LTOR1_HUMAN	HS71B_HUMAN	0.8
LTOR1_HUMAN	RAB37_HUMAN	0.6
LTOR1_HUMAN	SNX1_HUMAN	0.8
LTOR1_HUMAN	CKAP4_HUMAN	0.6
LTOR1_HUMAN	AP1G1_HUMAN	0.8
CALM2_HUMAN	CALM2_HUMAN	1.2
CALM2_HUMAN	CUL3_HUMAN	2.4000000000000004
CALM2_HUMAN	VAMP2_HUMAN	2.4000000000000004
CALM2_HUMAN	RAB37_HUMAN	0.64
CALM2_HUMAN	CALM3_HUMAN	1.2
CALM2_HUMAN	PROF1_HUMAN	0.8
CUL3_HUMAN	CUL3_HUMAN	23.040000000000003
CUL3_HUMAN	HS71B_HUMAN	1.6
CUL3_HUMAN	CKAP4_HUMAN	1.6
CUL3_HUMAN	CALM3_HUMAN	2.4000000000000004
CUL3_HUMAN	PROF1_HUMAN	1.6
RAB5C_HUMAN	RAB5C_HUMAN	4.16
RAB5C_HUMAN	SNG1_HUMAN	0.6
RAB5C_HUMAN	RAP1B_HUMAN	1.4
RAB5C_HUMAN	VAMP2_HUMAN	1.4
RAB5C_HUMAN	RB11A_HUMAN	3.8000000000000003
RAB5C_HUMAN	RAB37_HUMAN	1.24
RAB5C_HUMAN	CKAP4_HUMAN	4.28
RAB5C_HUMAN	AP1G1_HUMAN	0.6
SNG1_HUMAN	RAP1B_HUMAN	0.6
SNG1_HUMAN	RAB37_HUMAN	0.6
SNG1_HUMAN	SNX1_HUMAN	0.8
SNG1_HUMAN	CKAP4_HUMAN	0.6
PPAC_HUMAN	PPAC_HUMAN	13.200000000000001
RAP1B_HUMAN	RAP1B_HUMAN	10.0
RAP1B_HUMAN	RAB37_HUMAN	0.6
RAP1B_HUMAN	CKAP4_HUMAN	0.6
RAP1B_HUMAN	KPCZ_HUMAN	0.6
MUSK_HUMAN	MUSK_HUMAN	12.800000000000002
MUSK_HUMAN	RB11A_HUMAN	0.8
VAMP2_HUMAN	VAMP2_HUMAN	12.800000000000002
VAMP2_HUMAN	RB11A_HUMAN	0.8
VAMP2_HUMAN	CALM3_HUMAN	2.4000000000000004
VAMP2_HUMAN	AP1G1_HUMAN	0.6
VAMP2_HUMAN	KPCZ_HUMAN	0.6
RB11A_HUMAN	RB11A_HUMAN	46.480000000000004
RB11A_HUMAN	HS71B_HUMAN	0.8
RB11A_HUMAN	RAB37_HUMAN	0.6
RB11A_HUMAN	CKAP4_HUMAN	0.8
HS71B_HUMAN	HS71B_HUMAN	2.2
HS71B_HUMAN	GSK3B_HUMAN	1.8
HS71B_HUMAN	CKAP4_HUMAN	0.8
HS71B_HUMAN	KPCZ_HUMAN	0.8
HS71B_HUMAN	PROF1_HUMAN	0.64
PI42A_HUMAN	PI42A_HUMAN	27.28
PI42A_HUMAN	CKAP4_HUMAN	0.8
GSK3B_HUMAN	GSK3B_HUMAN	131.2
GSK3B_HUMAN	KPCZ_HUMAN	3.8000000000000003
GSK3B_HUMAN	PROF1_HUMAN	1.6
RAB37_HUMAN	CKAP4_HUMAN	0.6
RAB37_HUMAN	CALM3_HUMAN	0.64
SNX1_HUMAN	SNX1_HUMAN	10.0
CKAP4_HUMAN	CKAP4_HUMAN	3.2
CKAP4_HUMAN	KPCZ_HUMAN	0.8
CALM3_HUMAN	CALM3_HUMAN	65.1999999999999
CALM3_HUMAN	PROF1_HUMAN	0.8
AP1G1_HUMAN	AP1G1_HUMAN	6.8
KPCZ_HUMAN	KPCZ_HUMAN	24.00000000000001
PROF1_HUMAN	PROF1_HUMAN	6.0
