UniProtID	UniProtID	score
DLG2_HUMAN	KCNJ4_HUMAN	1.0
DLG2_HUMAN	DLGP3_HUMAN	3.8000000000000003
DLG2_HUMAN	PP1A_HUMAN	0.8
DLG2_HUMAN	SHAN2_HUMAN	0.6
DLG2_HUMAN	RS8_HUMAN	3.2
DLG2_HUMAN	NOS1_HUMAN	1.0
DLG2_HUMAN	FMR1_HUMAN	0.64
DLG2_HUMAN	GRID2_HUMAN	5.6
DLG2_HUMAN	HOME3_HUMAN	0.6
DLG2_HUMAN	SLIK2_HUMAN	0.8
DLG2_HUMAN	SI1L1_HUMAN	0.6
DLG2_HUMAN	AT2B4_HUMAN	1.8
DLG2_HUMAN	NRX3A_HUMAN	0.6
DLG2_HUMAN	SEM4C_HUMAN	1.0
DLG2_HUMAN	FYN_HUMAN	1.6
DLG2_HUMAN	SHSA9_HUMAN	0.8
DLG2_HUMAN	ERBB4_HUMAN	2.0
DLG2_HUMAN	SHAN1_HUMAN	1.24
DLG2_HUMAN	RASK_HUMAN	0.8
DLG2_HUMAN	KALRN_HUMAN	0.64
DLG2_HUMAN	RGS14_HUMAN	0.64
DLG2_HUMAN	TJAP1_HUMAN	0.6
DLG2_HUMAN	GRM1_HUMAN	0.6
DLG2_HUMAN	UBC_HUMAN	0.64
DLG2_HUMAN	NMDE3_HUMAN	0.6
DLG2_HUMAN	GRM5_HUMAN	0.6
DLG2_HUMAN	MAP1A_HUMAN	4.8
DLG2_HUMAN	TANC1_HUMAN	1.6
DLG2_HUMAN	DLG2_HUMAN	11.6
DLG2_HUMAN	DLG4_HUMAN	6.92
DLG2_HUMAN	PTPRZ_HUMAN	0.8
DLG2_HUMAN	HOME2_HUMAN	0.6
DLG2_HUMAN	AGAP2_HUMAN	0.64
DLG2_HUMAN	NLGN3_HUMAN	1.4
DLG2_HUMAN	TANC2_HUMAN	1.6
DLG2_HUMAN	DBNL_HUMAN	0.6
DLG2_HUMAN	CCG3_HUMAN	0.8
DLG2_HUMAN	PRIO_HUMAN	1.6
DLG2_HUMAN	SYGP1_HUMAN	3.2
DLG2_HUMAN	DLGP4_HUMAN	0.6
DLG2_HUMAN	SHAN3_HUMAN	3.8400000000000003
DLG2_HUMAN	1433B_HUMAN	0.64
DLG2_HUMAN	PDLI5_HUMAN	0.6
DLG2_HUMAN	DLGP2_HUMAN	1.4
DLG2_HUMAN	DGKZ_HUMAN	3.2
DLG2_HUMAN	HOME1_HUMAN	0.6
DLG2_HUMAN	SC6A4_HUMAN	0.64
DLG2_HUMAN	AT2B2_HUMAN	3.4000000000000004
DLG2_HUMAN	NRX2A_HUMAN	0.6
DLG2_HUMAN	TNIK_HUMAN	1.28
DLG2_HUMAN	GRIA2_HUMAN	0.6
DLG2_HUMAN	DLG1_HUMAN	1.4
DLG2_HUMAN	NMDE1_HUMAN	3.64
DLG2_HUMAN	GCYA2_HUMAN	1.8
DLG2_HUMAN	DLG3_HUMAN	1.24
DLG2_HUMAN	GRIA3_HUMAN	0.6
DLG2_HUMAN	DYL1_HUMAN	0.8
DLG2_HUMAN	IQEC2_HUMAN	0.8
DLG2_HUMAN	NLGN2_HUMAN	2.04
DLG2_HUMAN	NRX1A_HUMAN	0.6
DLG2_HUMAN	DLGP1_HUMAN	5.559999999999999
DLG2_HUMAN	DYL2_HUMAN	0.8
DLG2_HUMAN	DGKI_HUMAN	2.4000000000000004
DLG2_HUMAN	NMDE2_HUMAN	7.199999999999999
DLG2_HUMAN	CYFP1_HUMAN	1.28
DLG2_HUMAN	BEGIN_HUMAN	0.6
DLG2_HUMAN	ZDHC5_HUMAN	0.64
DLG2_HUMAN	CNKR2_HUMAN	1.28
DLG2_HUMAN	GRIA1_HUMAN	0.6
DLG2_HUMAN	NLGNX_HUMAN	0.6
DLG2_HUMAN	NLGN1_HUMAN	2.04
DLG2_HUMAN	MYCB2_HUMAN	1.28
DLG2_HUMAN	L2GL1_HUMAN	0.6
DLG2_HUMAN	NMDZ1_HUMAN	5.08
DLG2_HUMAN	NEB2_HUMAN	0.64
DLG2_HUMAN	NETO1_HUMAN	0.8
DLG2_HUMAN	KCNA4_HUMAN	2.24
DLG2_HUMAN	GRID1_HUMAN	0.8
DLG2_HUMAN	PSDE_HUMAN	0.8
DLG2_HUMAN	NMDE4_HUMAN	0.6
DLG2_HUMAN	GRIA4_HUMAN	0.6
DLG2_HUMAN	SCRIB_HUMAN	0.6
KCNJ4_HUMAN	DLG4_HUMAN	5.72
KCNJ4_HUMAN	DLG1_HUMAN	4.04
KCNJ4_HUMAN	DLGP1_HUMAN	0.64
KCNJ4_HUMAN	SCRIB_HUMAN	1.6
DLGP3_HUMAN	SHAN2_HUMAN	1.6
DLGP3_HUMAN	FMR1_HUMAN	0.64
DLGP3_HUMAN	HOME3_HUMAN	0.6
DLGP3_HUMAN	NRX3A_HUMAN	0.6
DLGP3_HUMAN	FYN_HUMAN	0.8
DLGP3_HUMAN	SHAN1_HUMAN	0.6
DLGP3_HUMAN	RGS14_HUMAN	0.64
DLGP3_HUMAN	GRM1_HUMAN	0.6
DLGP3_HUMAN	GRM5_HUMAN	0.6
DLGP3_HUMAN	DLG4_HUMAN	5.64
DLGP3_HUMAN	HOME2_HUMAN	0.6
DLGP3_HUMAN	AGAP2_HUMAN	0.64
DLGP3_HUMAN	NLGN3_HUMAN	0.6
DLGP3_HUMAN	DBNL_HUMAN	0.6
DLGP3_HUMAN	SYGP1_HUMAN	2.56
DLGP3_HUMAN	DLGP4_HUMAN	0.6
DLGP3_HUMAN	SHAN3_HUMAN	9.32
DLGP3_HUMAN	DLGP2_HUMAN	0.6
DLGP3_HUMAN	HOME1_HUMAN	0.6
DLGP3_HUMAN	SC6A4_HUMAN	0.64
DLGP3_HUMAN	NRX2A_HUMAN	0.6
DLGP3_HUMAN	DLG1_HUMAN	0.64
DLGP3_HUMAN	DLG3_HUMAN	1.24
DLGP3_HUMAN	NLGN2_HUMAN	0.6
DLGP3_HUMAN	NRX1A_HUMAN	0.6
DLGP3_HUMAN	DLGP1_HUMAN	2.52
DLGP3_HUMAN	NLGNX_HUMAN	0.6
DLGP3_HUMAN	NLGN1_HUMAN	0.6
DLGP3_HUMAN	NEB2_HUMAN	1.28
PP1A_HUMAN	PP1A_HUMAN	76.88000000000001
PP1A_HUMAN	RS8_HUMAN	0.8
PP1A_HUMAN	FMR1_HUMAN	0.64
PP1A_HUMAN	RGS14_HUMAN	0.64
PP1A_HUMAN	UBC_HUMAN	0.64
PP1A_HUMAN	DLG4_HUMAN	1.92
PP1A_HUMAN	AGAP2_HUMAN	1.28
PP1A_HUMAN	TANC2_HUMAN	1.6
PP1A_HUMAN	1433B_HUMAN	1.24
PP1A_HUMAN	PDLI5_HUMAN	0.8
PP1A_HUMAN	SC6A4_HUMAN	0.64
PP1A_HUMAN	TNIK_HUMAN	1.28
PP1A_HUMAN	NMDE1_HUMAN	0.6
PP1A_HUMAN	DLG3_HUMAN	1.6
PP1A_HUMAN	DLGP1_HUMAN	1.28
PP1A_HUMAN	NMDE2_HUMAN	0.6
PP1A_HUMAN	GRIA1_HUMAN	1.6
PP1A_HUMAN	MYCB2_HUMAN	1.28
PP1A_HUMAN	NEB2_HUMAN	29.440000000000015
PP1A_HUMAN	SCRIB_HUMAN	2.4000000000000004
SHAN2_HUMAN	HOME3_HUMAN	0.6
SHAN2_HUMAN	NRX3A_HUMAN	0.6
SHAN2_HUMAN	SHAN1_HUMAN	0.6
SHAN2_HUMAN	GRM1_HUMAN	0.6
SHAN2_HUMAN	GRM5_HUMAN	0.6
SHAN2_HUMAN	DLG4_HUMAN	3.72
SHAN2_HUMAN	HOME2_HUMAN	0.6
SHAN2_HUMAN	AGAP2_HUMAN	1.28
SHAN2_HUMAN	NLGN3_HUMAN	0.6
SHAN2_HUMAN	DBNL_HUMAN	2.2
SHAN2_HUMAN	SYGP1_HUMAN	2.56
SHAN2_HUMAN	DLGP4_HUMAN	1.6
SHAN2_HUMAN	SHAN3_HUMAN	1.92
SHAN2_HUMAN	1433B_HUMAN	0.64
SHAN2_HUMAN	DLGP2_HUMAN	2.24
SHAN2_HUMAN	HOME1_HUMAN	2.68
SHAN2_HUMAN	NRX2A_HUMAN	0.6
SHAN2_HUMAN	TNIK_HUMAN	1.28
SHAN2_HUMAN	DLG3_HUMAN	0.6
SHAN2_HUMAN	DYL1_HUMAN	0.8
SHAN2_HUMAN	NLGN2_HUMAN	0.6
SHAN2_HUMAN	NRX1A_HUMAN	0.6
SHAN2_HUMAN	DLGP1_HUMAN	8.559999999999999
SHAN2_HUMAN	DYL2_HUMAN	0.8
SHAN2_HUMAN	NMDE2_HUMAN	1.28
SHAN2_HUMAN	NLGNX_HUMAN	0.6
SHAN2_HUMAN	NLGN1_HUMAN	0.6
SHAN2_HUMAN	NMDZ1_HUMAN	3.2
SHAN2_HUMAN	GRIA4_HUMAN	0.64
RS8_HUMAN	UBC_HUMAN	3.24
RS8_HUMAN	1433B_HUMAN	0.64
RS8_HUMAN	DLG3_HUMAN	3.2
RS8_HUMAN	NEB2_HUMAN	0.64
NOS1_HUMAN	NOS1_HUMAN	633.6000000000045
NOS1_HUMAN	AT2B4_HUMAN	3.0000000000000004
NOS1_HUMAN	RASK_HUMAN	0.6
NOS1_HUMAN	UBC_HUMAN	0.8
NOS1_HUMAN	NMDE3_HUMAN	0.6
NOS1_HUMAN	DLG4_HUMAN	9.64
NOS1_HUMAN	PRIO_HUMAN	1.0
NOS1_HUMAN	SC6A4_HUMAN	2.72
NOS1_HUMAN	TNIK_HUMAN	1.28
NOS1_HUMAN	NMDE1_HUMAN	2.8800000000000003
NOS1_HUMAN	GCYA2_HUMAN	0.6
NOS1_HUMAN	DYL1_HUMAN	2.88
NOS1_HUMAN	NMDE2_HUMAN	3.16
NOS1_HUMAN	NMDZ1_HUMAN	4.44
NOS1_HUMAN	NMDE4_HUMAN	0.6
FMR1_HUMAN	FMR1_HUMAN	29.6
FMR1_HUMAN	HOME3_HUMAN	1.44
FMR1_HUMAN	SI1L1_HUMAN	0.8
FMR1_HUMAN	RASK_HUMAN	0.8
FMR1_HUMAN	KALRN_HUMAN	0.8
FMR1_HUMAN	UBC_HUMAN	0.8
FMR1_HUMAN	GRM5_HUMAN	0.6
FMR1_HUMAN	DLG4_HUMAN	1.28
FMR1_HUMAN	AGAP2_HUMAN	1.28
FMR1_HUMAN	SYGP1_HUMAN	0.64
FMR1_HUMAN	SHAN3_HUMAN	0.64
FMR1_HUMAN	TNIK_HUMAN	1.28
FMR1_HUMAN	DLG1_HUMAN	0.64
FMR1_HUMAN	DYL1_HUMAN	0.64
FMR1_HUMAN	IQEC2_HUMAN	0.64
FMR1_HUMAN	DLGP1_HUMAN	0.64
FMR1_HUMAN	CYFP1_HUMAN	12.88
FMR1_HUMAN	MYCB2_HUMAN	1.28
FMR1_HUMAN	SCRIB_HUMAN	0.64
GRID2_HUMAN	GRID2_HUMAN	18.000000000000004
GRID2_HUMAN	DLG4_HUMAN	0.8
GRID2_HUMAN	HOME1_HUMAN	0.8
GRID2_HUMAN	GRIA2_HUMAN	1.0
GRID2_HUMAN	DLG1_HUMAN	0.8
GRID2_HUMAN	NRX1A_HUMAN	0.64
GRID2_HUMAN	NMDE2_HUMAN	0.64
GRID2_HUMAN	GRIA1_HUMAN	2.0
GRID2_HUMAN	GRID1_HUMAN	0.64
HOME3_HUMAN	HOME3_HUMAN	26.400000000000006
HOME3_HUMAN	NRX3A_HUMAN	0.6
HOME3_HUMAN	SHAN1_HUMAN	2.2
HOME3_HUMAN	GRM1_HUMAN	2.8400000000000003
HOME3_HUMAN	GRM5_HUMAN	1.24
HOME3_HUMAN	HOME2_HUMAN	2.04
HOME3_HUMAN	NLGN3_HUMAN	0.6
HOME3_HUMAN	DLGP4_HUMAN	0.6
HOME3_HUMAN	SHAN3_HUMAN	4.0
HOME3_HUMAN	DLGP2_HUMAN	0.6
HOME3_HUMAN	HOME1_HUMAN	19.000000000000007
HOME3_HUMAN	NRX2A_HUMAN	0.6
HOME3_HUMAN	TNIK_HUMAN	1.28
HOME3_HUMAN	DLG3_HUMAN	0.6
HOME3_HUMAN	DYL1_HUMAN	4.8
HOME3_HUMAN	NLGN2_HUMAN	0.6
HOME3_HUMAN	NRX1A_HUMAN	0.6
HOME3_HUMAN	DLGP1_HUMAN	1.88
HOME3_HUMAN	DYL2_HUMAN	5.4399999999999995
HOME3_HUMAN	NLGNX_HUMAN	0.6
HOME3_HUMAN	NLGN1_HUMAN	0.6
SLIK2_HUMAN	RASK_HUMAN	0.8
SLIK2_HUMAN	DLG4_HUMAN	4.8
SLIK2_HUMAN	DLG3_HUMAN	0.8
SI1L1_HUMAN	RASK_HUMAN	0.8
SI1L1_HUMAN	KALRN_HUMAN	0.64
SI1L1_HUMAN	UBC_HUMAN	0.8
SI1L1_HUMAN	NMDE3_HUMAN	0.6
SI1L1_HUMAN	DLG4_HUMAN	4.6
SI1L1_HUMAN	TANC2_HUMAN	1.6
SI1L1_HUMAN	PDLI5_HUMAN	0.6
SI1L1_HUMAN	SC6A4_HUMAN	0.64
SI1L1_HUMAN	TNIK_HUMAN	1.28
SI1L1_HUMAN	NMDE1_HUMAN	0.6
SI1L1_HUMAN	DLG3_HUMAN	0.6
SI1L1_HUMAN	NLGN2_HUMAN	0.64
SI1L1_HUMAN	NRX1A_HUMAN	1.6
SI1L1_HUMAN	NMDE2_HUMAN	0.6
SI1L1_HUMAN	NLGN1_HUMAN	0.64
SI1L1_HUMAN	NMDZ1_HUMAN	0.6
SI1L1_HUMAN	NMDE4_HUMAN	0.6
AT2B4_HUMAN	RASK_HUMAN	2.4000000000000004
AT2B4_HUMAN	UBC_HUMAN	0.64
AT2B4_HUMAN	DLG4_HUMAN	1.44
AT2B4_HUMAN	AT2B2_HUMAN	0.8
AT2B4_HUMAN	DLG1_HUMAN	1.8
AT2B4_HUMAN	DLG3_HUMAN	1.0
NRX3A_HUMAN	NRX3A_HUMAN	4.8
NRX3A_HUMAN	SHAN1_HUMAN	0.6
NRX3A_HUMAN	GRM1_HUMAN	0.6
NRX3A_HUMAN	GRM5_HUMAN	0.6
NRX3A_HUMAN	HOME2_HUMAN	0.6
NRX3A_HUMAN	NLGN3_HUMAN	0.6
NRX3A_HUMAN	DBNL_HUMAN	0.6
NRX3A_HUMAN	DLGP4_HUMAN	0.6
NRX3A_HUMAN	DLGP2_HUMAN	0.6
NRX3A_HUMAN	HOME1_HUMAN	0.6
NRX3A_HUMAN	NRX2A_HUMAN	0.6
NRX3A_HUMAN	DLG3_HUMAN	0.6
NRX3A_HUMAN	NLGN2_HUMAN	0.6
NRX3A_HUMAN	NRX1A_HUMAN	0.6
NRX3A_HUMAN	DLGP1_HUMAN	0.6
NRX3A_HUMAN	NLGNX_HUMAN	0.6
NRX3A_HUMAN	NLGN1_HUMAN	0.6
SEM4C_HUMAN	RASK_HUMAN	2.4000000000000004
SEM4C_HUMAN	DLG4_HUMAN	4.6
SEM4C_HUMAN	DLG3_HUMAN	1.0
FYN_HUMAN	FYN_HUMAN	37.2
FYN_HUMAN	ERBB4_HUMAN	3.6
FYN_HUMAN	RASK_HUMAN	0.6
FYN_HUMAN	KALRN_HUMAN	1.0
FYN_HUMAN	GRM1_HUMAN	2.8
FYN_HUMAN	UBC_HUMAN	0.8
FYN_HUMAN	DLG4_HUMAN	3.0
FYN_HUMAN	PTPRZ_HUMAN	2.0
FYN_HUMAN	PRIO_HUMAN	0.6
FYN_HUMAN	DLGP4_HUMAN	1.6
FYN_HUMAN	SHAN3_HUMAN	0.8
FYN_HUMAN	1433B_HUMAN	0.64
FYN_HUMAN	DLGP2_HUMAN	0.8
FYN_HUMAN	NMDE1_HUMAN	7.3999999999999995
FYN_HUMAN	DLGP1_HUMAN	0.8
FYN_HUMAN	NMDE2_HUMAN	3.4
FYN_HUMAN	NMDZ1_HUMAN	1.6
FYN_HUMAN	KCNA4_HUMAN	1.0
SHSA9_HUMAN	DLG4_HUMAN	1.6
SHSA9_HUMAN	GRIA2_HUMAN	0.6
SHSA9_HUMAN	DLG1_HUMAN	0.8
SHSA9_HUMAN	DLG3_HUMAN	1.6
SHSA9_HUMAN	GRIA3_HUMAN	0.6
SHSA9_HUMAN	GRIA1_HUMAN	0.6
ERBB4_HUMAN	ERBB4_HUMAN	53.2
ERBB4_HUMAN	KALRN_HUMAN	1.0
ERBB4_HUMAN	DLG4_HUMAN	14.8
ERBB4_HUMAN	PTPRZ_HUMAN	2.4000000000000004
ERBB4_HUMAN	DLG1_HUMAN	1.8
ERBB4_HUMAN	DLG3_HUMAN	2.0
ERBB4_HUMAN	NMDE2_HUMAN	0.6
ERBB4_HUMAN	NMDZ1_HUMAN	1.0
SHAN1_HUMAN	SHAN1_HUMAN	41.20000000000002
SHAN1_HUMAN	RGS14_HUMAN	0.64
SHAN1_HUMAN	GRM1_HUMAN	0.6
SHAN1_HUMAN	GRM5_HUMAN	0.6
SHAN1_HUMAN	DLG4_HUMAN	6.92
SHAN1_HUMAN	HOME2_HUMAN	0.6
SHAN1_HUMAN	AGAP2_HUMAN	1.28
SHAN1_HUMAN	NLGN3_HUMAN	0.6
SHAN1_HUMAN	DBNL_HUMAN	0.6
SHAN1_HUMAN	SYGP1_HUMAN	2.56
SHAN1_HUMAN	DLGP4_HUMAN	0.6
SHAN1_HUMAN	SHAN3_HUMAN	4.5200000000000005
SHAN1_HUMAN	DLGP2_HUMAN	1.4
SHAN1_HUMAN	HOME1_HUMAN	5.08
SHAN1_HUMAN	NRX2A_HUMAN	0.6
SHAN1_HUMAN	TNIK_HUMAN	1.28
SHAN1_HUMAN	DLG3_HUMAN	0.6
SHAN1_HUMAN	NLGN2_HUMAN	1.24
SHAN1_HUMAN	NRX1A_HUMAN	0.6
SHAN1_HUMAN	DLGP1_HUMAN	12.520000000000001
SHAN1_HUMAN	NMDE2_HUMAN	0.6
SHAN1_HUMAN	CYFP1_HUMAN	1.28
SHAN1_HUMAN	GRIA1_HUMAN	1.4
SHAN1_HUMAN	NLGNX_HUMAN	0.6
SHAN1_HUMAN	NLGN1_HUMAN	1.24
RASK_HUMAN	RASK_HUMAN	676.0
RASK_HUMAN	UBC_HUMAN	3.04
RASK_HUMAN	NMDE3_HUMAN	0.6
RASK_HUMAN	TANC1_HUMAN	1.6
RASK_HUMAN	SYGP1_HUMAN	0.6
RASK_HUMAN	DLGP4_HUMAN	1.6
RASK_HUMAN	SHAN3_HUMAN	0.8
RASK_HUMAN	1433B_HUMAN	1.4
RASK_HUMAN	TNIK_HUMAN	1.6
RASK_HUMAN	DLG1_HUMAN	2.4000000000000004
RASK_HUMAN	NMDE1_HUMAN	0.6
RASK_HUMAN	DLG3_HUMAN	1.6
RASK_HUMAN	DYL2_HUMAN	0.8
RASK_HUMAN	NMDE2_HUMAN	0.6
RASK_HUMAN	CYFP1_HUMAN	1.6
RASK_HUMAN	ZDHC5_HUMAN	2.4000000000000004
RASK_HUMAN	CNKR2_HUMAN	0.6
RASK_HUMAN	NLGN1_HUMAN	0.8
RASK_HUMAN	L2GL1_HUMAN	3.2
RASK_HUMAN	NMDZ1_HUMAN	0.6
RASK_HUMAN	PSDE_HUMAN	0.8
RASK_HUMAN	NMDE4_HUMAN	0.6
RASK_HUMAN	SCRIB_HUMAN	1.6
KALRN_HUMAN	GRM1_HUMAN	0.6
KALRN_HUMAN	GRM5_HUMAN	0.6
KALRN_HUMAN	DLG4_HUMAN	3.2
KALRN_HUMAN	AGAP2_HUMAN	1.92
KALRN_HUMAN	SYGP1_HUMAN	5.12
KALRN_HUMAN	SHAN3_HUMAN	3.2
KALRN_HUMAN	1433B_HUMAN	0.64
KALRN_HUMAN	HOME1_HUMAN	1.28
KALRN_HUMAN	TNIK_HUMAN	1.28
KALRN_HUMAN	GRIA2_HUMAN	0.64
KALRN_HUMAN	GRIA3_HUMAN	0.64
KALRN_HUMAN	IQEC2_HUMAN	0.64
KALRN_HUMAN	NLGN2_HUMAN	0.64
KALRN_HUMAN	DLGP1_HUMAN	2.56
KALRN_HUMAN	NMDE2_HUMAN	1.28
KALRN_HUMAN	CNKR2_HUMAN	0.64
KALRN_HUMAN	NLGN1_HUMAN	0.8
KALRN_HUMAN	NMDZ1_HUMAN	0.64
RGS14_HUMAN	RGS14_HUMAN	1.28
RGS14_HUMAN	DLG4_HUMAN	0.64
RGS14_HUMAN	AGAP2_HUMAN	0.64
RGS14_HUMAN	SYGP1_HUMAN	0.64
RGS14_HUMAN	SHAN3_HUMAN	0.64
RGS14_HUMAN	HOME1_HUMAN	0.64
RGS14_HUMAN	DLGP1_HUMAN	0.64
RGS14_HUMAN	DYL2_HUMAN	0.64
RGS14_HUMAN	NEB2_HUMAN	0.64
TJAP1_HUMAN	DLG4_HUMAN	2.08
TJAP1_HUMAN	1433B_HUMAN	0.64
TJAP1_HUMAN	DLG1_HUMAN	2.0
TJAP1_HUMAN	DLG3_HUMAN	1.28
GRM1_HUMAN	GRM1_HUMAN	23.200000000000006
GRM1_HUMAN	UBC_HUMAN	0.8
GRM1_HUMAN	GRM5_HUMAN	1.24
GRM1_HUMAN	DLG4_HUMAN	0.8
GRM1_HUMAN	HOME2_HUMAN	2.8400000000000003
GRM1_HUMAN	AGAP2_HUMAN	2.24
GRM1_HUMAN	NLGN3_HUMAN	0.6
GRM1_HUMAN	DLGP4_HUMAN	0.6
GRM1_HUMAN	1433B_HUMAN	0.64
GRM1_HUMAN	DLGP2_HUMAN	0.6
GRM1_HUMAN	HOME1_HUMAN	8.159999999999998
GRM1_HUMAN	NRX2A_HUMAN	0.6
GRM1_HUMAN	DLG3_HUMAN	0.6
GRM1_HUMAN	NLGN2_HUMAN	0.6
GRM1_HUMAN	NRX1A_HUMAN	0.6
GRM1_HUMAN	DLGP1_HUMAN	0.6
GRM1_HUMAN	NMDE2_HUMAN	1.92
GRM1_HUMAN	NLGNX_HUMAN	0.6
GRM1_HUMAN	NLGN1_HUMAN	0.6
GRM1_HUMAN	NMDZ1_HUMAN	3.2
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	MAP1A_HUMAN	0.64
UBC_HUMAN	DLG4_HUMAN	1.44
UBC_HUMAN	DLGP4_HUMAN	0.8
UBC_HUMAN	1433B_HUMAN	2.8800000000000003
UBC_HUMAN	DLGP2_HUMAN	0.64
UBC_HUMAN	HOME1_HUMAN	0.64
UBC_HUMAN	AT2B2_HUMAN	0.64
UBC_HUMAN	NRX2A_HUMAN	0.64
UBC_HUMAN	GRIA2_HUMAN	0.64
UBC_HUMAN	DLG1_HUMAN	1.44
UBC_HUMAN	DLG3_HUMAN	0.64
UBC_HUMAN	GRIA3_HUMAN	0.64
UBC_HUMAN	DYL1_HUMAN	0.64
UBC_HUMAN	NLGN2_HUMAN	0.64
UBC_HUMAN	DLGP1_HUMAN	0.64
UBC_HUMAN	NMDE2_HUMAN	0.64
UBC_HUMAN	BEGIN_HUMAN	0.64
UBC_HUMAN	CNKR2_HUMAN	0.64
UBC_HUMAN	GRIA1_HUMAN	0.8
UBC_HUMAN	MYCB2_HUMAN	1.8
UBC_HUMAN	L2GL1_HUMAN	0.64
UBC_HUMAN	NMDZ1_HUMAN	1.44
UBC_HUMAN	KCNA4_HUMAN	0.64
UBC_HUMAN	PSDE_HUMAN	5.08
