UniProtID	UniProtID	score
DLRB2_HUMAN	BCAR1_HUMAN	0.8
DLRB2_HUMAN	A4_HUMAN	0.8
DLRB2_HUMAN	CALM3_HUMAN	0.64
DLRB2_HUMAN	LIS1_HUMAN	2.4000000000000004
DLRB2_HUMAN	BCL2_HUMAN	0.8
DLRB2_HUMAN	DYLT1_HUMAN	2.4000000000000004
DLRB2_HUMAN	CALM2_HUMAN	0.64
DLRB2_HUMAN	DC1I2_HUMAN	0.8
DLRB2_HUMAN	CALM1_HUMAN	0.64
DLRB2_HUMAN	DYT2B_HUMAN	2.4000000000000004
DLRB2_HUMAN	PRD16_HUMAN	0.64
DLRB2_HUMAN	MYH9_HUMAN	1.6
DLRB2_HUMAN	DC2I1_HUMAN	2.4000000000000004
DLRB2_HUMAN	T2H2L_HUMAN	2.4000000000000004
DLRB2_HUMAN	KIF7_HUMAN	2.4000000000000004
DLRB2_HUMAN	DC2I2_HUMAN	2.4000000000000004
DLRB2_HUMAN	PKHA4_HUMAN	0.8
DLRB2_HUMAN	TRI67_HUMAN	0.8
