UniProtID	UniProtID	score
DPYL4_HUMAN	CD5R1_HUMAN	0.6
DPYL4_HUMAN	DPYL1_HUMAN	0.6
DPYL4_HUMAN	DPYL3_HUMAN	2.2
DPYL4_HUMAN	CYFP1_HUMAN	0.64
DPYL4_HUMAN	CDK5_HUMAN	0.6
DPYL4_HUMAN	DPYL5_HUMAN	2.2
DPYL4_HUMAN	UBC_HUMAN	0.64
DPYL4_HUMAN	PLXA3_HUMAN	0.6
DPYL4_HUMAN	DPYL2_HUMAN	2.2
DPYL4_HUMAN	NOE2_HUMAN	1.6
DPYL4_HUMAN	PLXA2_HUMAN	0.6
DPYL4_HUMAN	DOCK5_HUMAN	0.8
DPYL4_HUMAN	FES_HUMAN	0.6
DPYL4_HUMAN	SH3G1_HUMAN	1.6
DPYL4_HUMAN	NRP1_HUMAN	0.6
DPYL4_HUMAN	WFS1_HUMAN	2.4000000000000004
DPYL4_HUMAN	TBA1A_HUMAN	2.4000000000000004
DPYL4_HUMAN	SH3G2_HUMAN	1.6
DPYL4_HUMAN	PLXA1_HUMAN	0.6
DPYL4_HUMAN	PTPRO_HUMAN	1.6
DPYL4_HUMAN	SH3G3_HUMAN	1.6
DPYL4_HUMAN	FYN_HUMAN	0.6
DPYL4_HUMAN	PLXA4_HUMAN	0.6
DPYL4_HUMAN	KAPCA_HUMAN	2.4000000000000004
DPYL4_HUMAN	1433B_HUMAN	0.64
DPYL4_HUMAN	GSK3B_HUMAN	0.6
DPYL4_HUMAN	DPYL4_HUMAN	12.0
CD5R1_HUMAN	DPYL1_HUMAN	0.6
CD5R1_HUMAN	DPYL3_HUMAN	0.6
CD5R1_HUMAN	CDK5_HUMAN	45.440000000000005
CD5R1_HUMAN	DPYL5_HUMAN	0.6
CD5R1_HUMAN	UBC_HUMAN	0.8
CD5R1_HUMAN	PLXA3_HUMAN	0.6
CD5R1_HUMAN	DPYL2_HUMAN	0.6
CD5R1_HUMAN	PLXA2_HUMAN	0.6
CD5R1_HUMAN	NRP1_HUMAN	0.6
CD5R1_HUMAN	PLXA1_HUMAN	0.6
CD5R1_HUMAN	FYN_HUMAN	0.6
CD5R1_HUMAN	PLXA4_HUMAN	0.6
CD5R1_HUMAN	GSK3B_HUMAN	4.3999999999999995
DPYL1_HUMAN	DPYL1_HUMAN	21.6
DPYL1_HUMAN	DPYL3_HUMAN	5.239999999999999
DPYL1_HUMAN	CYFP1_HUMAN	1.28
DPYL1_HUMAN	CDK5_HUMAN	0.6
DPYL1_HUMAN	DPYL5_HUMAN	0.6
DPYL1_HUMAN	UBC_HUMAN	0.64
DPYL1_HUMAN	PLXA3_HUMAN	0.6
DPYL1_HUMAN	DPYL2_HUMAN	10.44
DPYL1_HUMAN	PLXA2_HUMAN	0.6
DPYL1_HUMAN	FES_HUMAN	0.6
DPYL1_HUMAN	NRP1_HUMAN	0.6
DPYL1_HUMAN	TBA1A_HUMAN	2.4000000000000004
DPYL1_HUMAN	PLXA1_HUMAN	0.6
DPYL1_HUMAN	FYN_HUMAN	0.6
DPYL1_HUMAN	PLXA4_HUMAN	0.6
DPYL1_HUMAN	1433B_HUMAN	0.64
DPYL1_HUMAN	GSK3B_HUMAN	0.6
DPYL3_HUMAN	DPYL3_HUMAN	48.0
DPYL3_HUMAN	CDK5_HUMAN	0.6
DPYL3_HUMAN	DPYL5_HUMAN	5.239999999999999
DPYL3_HUMAN	UBC_HUMAN	0.64
DPYL3_HUMAN	PLXA3_HUMAN	0.6
DPYL3_HUMAN	DPYL2_HUMAN	9.239999999999998
DPYL3_HUMAN	PLXA2_HUMAN	0.6
DPYL3_HUMAN	FES_HUMAN	0.6
DPYL3_HUMAN	NRP1_HUMAN	0.6
DPYL3_HUMAN	TBA1A_HUMAN	2.4000000000000004
DPYL3_HUMAN	PLXA1_HUMAN	0.6
DPYL3_HUMAN	FYN_HUMAN	0.6
DPYL3_HUMAN	PLXA4_HUMAN	0.6
DPYL3_HUMAN	GSK3B_HUMAN	0.6
CYFP1_HUMAN	DPYL2_HUMAN	1.28
CYFP1_HUMAN	WFS1_HUMAN	2.4000000000000004
CYFP1_HUMAN	1433B_HUMAN	0.64
CYFP1_HUMAN	GSK3B_HUMAN	1.28
CDK5_HUMAN	CDK5_HUMAN	7.6
CDK5_HUMAN	DPYL5_HUMAN	0.6
CDK5_HUMAN	UBC_HUMAN	0.64
CDK5_HUMAN	PLXA3_HUMAN	0.6
CDK5_HUMAN	DPYL2_HUMAN	0.6
CDK5_HUMAN	PLXA2_HUMAN	1.4
CDK5_HUMAN	NRP1_HUMAN	0.6
CDK5_HUMAN	PLXA1_HUMAN	0.6
CDK5_HUMAN	FYN_HUMAN	1.4
CDK5_HUMAN	PLXA4_HUMAN	0.6
CDK5_HUMAN	GSK3B_HUMAN	2.6
DPYL5_HUMAN	DPYL5_HUMAN	38.0
DPYL5_HUMAN	UBC_HUMAN	0.64
DPYL5_HUMAN	PLXA3_HUMAN	0.6
DPYL5_HUMAN	DPYL2_HUMAN	18.040000000000006
DPYL5_HUMAN	PLXA2_HUMAN	0.6
DPYL5_HUMAN	FES_HUMAN	0.6
DPYL5_HUMAN	NRP1_HUMAN	0.6
DPYL5_HUMAN	WFS1_HUMAN	2.4000000000000004
DPYL5_HUMAN	TBA1A_HUMAN	2.4000000000000004
DPYL5_HUMAN	PLXA1_HUMAN	0.6
DPYL5_HUMAN	FYN_HUMAN	0.6
DPYL5_HUMAN	PLXA4_HUMAN	0.6
DPYL5_HUMAN	1433B_HUMAN	0.64
DPYL5_HUMAN	GSK3B_HUMAN	0.6
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	DPYL2_HUMAN	0.64
UBC_HUMAN	SH3G1_HUMAN	1.4
UBC_HUMAN	TBA1A_HUMAN	2.2800000000000002
UBC_HUMAN	SH3G2_HUMAN	1.4
UBC_HUMAN	SH3G3_HUMAN	0.6
UBC_HUMAN	FYN_HUMAN	0.8
UBC_HUMAN	1433B_HUMAN	2.8800000000000003
UBC_HUMAN	GSK3B_HUMAN	1.4
PLXA3_HUMAN	PLXA3_HUMAN	1.6
PLXA3_HUMAN	DPYL2_HUMAN	5.3999999999999995
PLXA3_HUMAN	PLXA2_HUMAN	0.6
PLXA3_HUMAN	FES_HUMAN	0.6
PLXA3_HUMAN	NRP1_HUMAN	0.6
PLXA3_HUMAN	PLXA1_HUMAN	0.6
PLXA3_HUMAN	FYN_HUMAN	0.6
PLXA3_HUMAN	PLXA4_HUMAN	0.6
PLXA3_HUMAN	GSK3B_HUMAN	0.6
DPYL2_HUMAN	DPYL2_HUMAN	150.08
DPYL2_HUMAN	PLXA2_HUMAN	0.6
DPYL2_HUMAN	FES_HUMAN	0.6
DPYL2_HUMAN	NRP1_HUMAN	0.6
DPYL2_HUMAN	TBA1A_HUMAN	5.12
DPYL2_HUMAN	PLXA1_HUMAN	0.6
DPYL2_HUMAN	FYN_HUMAN	0.6
DPYL2_HUMAN	PLXA4_HUMAN	0.6
DPYL2_HUMAN	1433B_HUMAN	0.64
DPYL2_HUMAN	GSK3B_HUMAN	3.4
PLXA2_HUMAN	PLXA2_HUMAN	16.000000000000004
PLXA2_HUMAN	FES_HUMAN	0.6
PLXA2_HUMAN	NRP1_HUMAN	6.3999999999999995
PLXA2_HUMAN	PLXA1_HUMAN	0.6
PLXA2_HUMAN	FYN_HUMAN	3.0000000000000004
PLXA2_HUMAN	PLXA4_HUMAN	0.6
PLXA2_HUMAN	1433B_HUMAN	0.64
PLXA2_HUMAN	GSK3B_HUMAN	0.6
FES_HUMAN	FES_HUMAN	6.0
FES_HUMAN	NRP1_HUMAN	0.6
FES_HUMAN	PLXA1_HUMAN	0.6
FES_HUMAN	FYN_HUMAN	0.6
FES_HUMAN	PLXA4_HUMAN	0.6
FES_HUMAN	1433B_HUMAN	0.64
SH3G1_HUMAN	SH3G1_HUMAN	19.600000000000005
SH3G1_HUMAN	SH3G2_HUMAN	8.6
SH3G1_HUMAN	PTPRO_HUMAN	1.6
SH3G1_HUMAN	SH3G3_HUMAN	9.6
SH3G1_HUMAN	FYN_HUMAN	0.6
SH3G1_HUMAN	KAPCA_HUMAN	0.8
NRP1_HUMAN	NRP1_HUMAN	30.4
NRP1_HUMAN	PLXA1_HUMAN	8.4
NRP1_HUMAN	FYN_HUMAN	0.6
NRP1_HUMAN	PLXA4_HUMAN	2.2
NRP1_HUMAN	GSK3B_HUMAN	0.6
TBA1A_HUMAN	TBA1A_HUMAN	23.480000000000004
TBA1A_HUMAN	KAPCA_HUMAN	0.6
TBA1A_HUMAN	1433B_HUMAN	1.44
TBA1A_HUMAN	GSK3B_HUMAN	2.4000000000000004
SH3G2_HUMAN	SH3G2_HUMAN	35.60000000000001
SH3G2_HUMAN	SH3G3_HUMAN	10.0
SH3G2_HUMAN	FYN_HUMAN	0.8
PLXA1_HUMAN	PLXA1_HUMAN	10.400000000000002
PLXA1_HUMAN	FYN_HUMAN	0.6
PLXA1_HUMAN	PLXA4_HUMAN	0.6
PLXA1_HUMAN	1433B_HUMAN	0.64
PLXA1_HUMAN	GSK3B_HUMAN	0.6
PTPRO_HUMAN	PTPRO_HUMAN	9.2
PTPRO_HUMAN	SH3G3_HUMAN	1.6
SH3G3_HUMAN	SH3G3_HUMAN	14.000000000000002
SH3G3_HUMAN	FYN_HUMAN	0.8
FYN_HUMAN	FYN_HUMAN	37.2
FYN_HUMAN	PLXA4_HUMAN	0.6
FYN_HUMAN	KAPCA_HUMAN	0.6
FYN_HUMAN	1433B_HUMAN	0.64
FYN_HUMAN	GSK3B_HUMAN	0.6
PLXA4_HUMAN	PLXA4_HUMAN	6.8
PLXA4_HUMAN	GSK3B_HUMAN	0.6
KAPCA_HUMAN	KAPCA_HUMAN	37.20000000000001
KAPCA_HUMAN	GSK3B_HUMAN	13.000000000000002
1433B_HUMAN	1433B_HUMAN	60.40000000000001
GSK3B_HUMAN	GSK3B_HUMAN	131.2
