UniProtID	UniProtID	score
DRD2_HUMAN	SH3G2_HUMAN	0.8
DRD2_HUMAN	DLG4_HUMAN	1.6
DRD2_HUMAN	KCNJ3_HUMAN	1
DRD2_HUMAN	RHBD2_HUMAN	1.6
DRD2_HUMAN	PP6R1_HUMAN	0.8
DRD2_HUMAN	CLH1_HUMAN	1
DRD2_HUMAN	ARRB2_HUMAN	4
DRD2_HUMAN	MDM2_HUMAN	1
DRD2_HUMAN	DYN1_HUMAN	1.8
DRD2_HUMAN	DYN2_HUMAN	1.8
DRD2_HUMAN	GABR1_HUMAN	1.6
DRD2_HUMAN	RTN4_HUMAN	1.6
DRD2_HUMAN	GASR_HUMAN	1.6
DRD2_HUMAN	FLNA_HUMAN	1
DRD2_HUMAN	SH3K1_HUMAN	2.4000000000000004
DRD2_HUMAN	ARRB1_HUMAN	1.92
DRD2_HUMAN	GABR2_HUMAN	1.6
DRD2_HUMAN	CALM3_HUMAN	4.6
DRD2_HUMAN	EGFR_HUMAN	0.8
DRD2_HUMAN	GRIA2_HUMAN	0.8
DRD2_HUMAN	NEB2_HUMAN	4.6
DRD2_HUMAN	DISC1_HUMAN	4.6
DRD2_HUMAN	AA2AR_HUMAN	10.4
DRD2_HUMAN	GP143_HUMAN	2
DRD2_HUMAN	VDAC2_HUMAN	1.6
DRD2_HUMAN	SC6A3_HUMAN	4.8
DRD2_HUMAN	DRD1_HUMAN	0.8
DRD2_HUMAN	SGMR1_HUMAN	8.6
DRD2_HUMAN	GBB1_HUMAN	2
DRD2_HUMAN	GHITM_HUMAN	1.6
DRD2_HUMAN	APH1A_HUMAN	1.6
DRD2_HUMAN	RTN3_HUMAN	1.6
DRD2_HUMAN	LPAR1_HUMAN	1.6
DRD2_HUMAN	ZDHC4_HUMAN	1.6
DRD2_HUMAN	BAP29_HUMAN	1.6
DRD2_HUMAN	SNG2_HUMAN	1.6
DRD2_HUMAN	CERS1_HUMAN	1.6
DRD2_HUMAN	YIPF3_HUMAN	1.6
DRD2_HUMAN	AR6P6_HUMAN	1.6
DRD2_HUMAN	S35B1_HUMAN	1.6
DRD2_HUMAN	TRAM1_HUMAN	1.6
DRD2_HUMAN	S22AH_HUMAN	1.6
DRD2_HUMAN	ABCA2_HUMAN	1.6
DRD2_HUMAN	CLDN1_HUMAN	1.6
DRD2_HUMAN	TTYH1_HUMAN	1.6
DRD2_HUMAN	GPR37_HUMAN	1.6
DRD2_HUMAN	WLS_HUMAN	1.6
DRD2_HUMAN	B3A3_HUMAN	1.6
DRD2_HUMAN	CHPT1_HUMAN	1.6
DRD2_HUMAN	BAP31_HUMAN	1.6
DRD2_HUMAN	VATL_HUMAN	1.6
DRD2_HUMAN	ARL1_HUMAN	1.6
DRD2_HUMAN	VPP2_HUMAN	1.6
DRD2_HUMAN	LFG1_HUMAN	1.6
DRD2_HUMAN	AGRB1_HUMAN	1.6
DRD2_HUMAN	G137A_HUMAN	1.6
DRD2_HUMAN	AGRG1_HUMAN	1.6
DRD2_HUMAN	GDPD2_HUMAN	1.6
DRD2_HUMAN	CERS2_HUMAN	1.6
DRD2_HUMAN	NDUV1_HUMAN	1.6
DRD2_HUMAN	PIGG_HUMAN	1.6
DRD2_HUMAN	PLLP_HUMAN	1.6
DRD2_HUMAN	PLPR3_HUMAN	1.6
DRD2_HUMAN	PAQR6_HUMAN	1.6
DRD2_HUMAN	RTN1_HUMAN	1.6
DRD2_HUMAN	OSTP_HUMAN	1.6
DRD2_HUMAN	SERC3_HUMAN	1.6
DRD2_HUMAN	S15A4_HUMAN	1.6
DRD2_HUMAN	SC6A1_HUMAN	1.6
DRD2_HUMAN	TSN3_HUMAN	1.6
DRD2_HUMAN	TSN7_HUMAN	1.6
DRD2_HUMAN	SMIM7_HUMAN	1.6
DRD2_HUMAN	CREL1_HUMAN	1.6
DRD2_HUMAN	TRFE_HUMAN	1.6
DRD2_HUMAN	TM101_HUMAN	1.6
DRD2_HUMAN	TMM11_HUMAN	1.6
DRD2_HUMAN	CSCL1_HUMAN	1.6
DRD2_HUMAN	TEFF2_HUMAN	1.6
DRD2_HUMAN	WFS1_HUMAN	1.6
DRD2_HUMAN	NTR1_HUMAN	6
DRD2_HUMAN	OXYR_HUMAN	2.8
DRD2_HUMAN	5HT2A_HUMAN	2
DRD2_HUMAN	CNR1_HUMAN	6.3999999999999995
DRD2_HUMAN	DRD2_HUMAN	31.6
DRD2_HUMAN	DRD4_HUMAN	5
DRD2_HUMAN	GNAI1_HUMAN	1.6
DRD2_HUMAN	CLIC6_HUMAN	1
DRD2_HUMAN	NCS1_HUMAN	10.200000000000001
DRD2_HUMAN	E41L1_HUMAN	2
DRD2_HUMAN	PAWR_HUMAN	3.6
DRD2_HUMAN	NFM_HUMAN	2
DRD2_HUMAN	TRPC1_HUMAN	3.8
DRD2_HUMAN	CALM2_HUMAN	2.6
DRD2_HUMAN	CALM1_HUMAN	2.6
DRD2_HUMAN	KBTB7_HUMAN	3
DRD2_HUMAN	KCNJ6_HUMAN	1
DRD2_HUMAN	KCNJ5_HUMAN	1
DRD2_HUMAN	GRIA1_HUMAN	0.8
DRD2_HUMAN	NSF_HUMAN	1.6
DRD2_HUMAN	MSRA_HUMAN	1.6
DRD2_HUMAN	COL12_HUMAN	1.6
DRD2_HUMAN	WIPI4_HUMAN	0.8
DRD2_HUMAN	NFIP1_HUMAN	0.8
DRD2_HUMAN	KPCB_HUMAN	1
DRD2_HUMAN	SSR2_HUMAN	3.8
DRD2_HUMAN	S39A1_HUMAN	0.8
DRD2_HUMAN	S39A3_HUMAN	0.8
DRD2_HUMAN	OPRM_HUMAN	4
DRD2_HUMAN	KBTB6_HUMAN	2
DRD2_HUMAN	CAV1_HUMAN	1
DRD2_HUMAN	NCHL1_HUMAN	4.0
DRD2_HUMAN	SNX4_HUMAN	0.8
DRD2_HUMAN	ANR28_HUMAN	0.8
DRD2_HUMAN	FACD2_HUMAN	0.8
DRD2_HUMAN	SKP2_HUMAN	0.8
DRD2_HUMAN	TRPC4_HUMAN	1
DRD2_HUMAN	TRPC5_HUMAN	1
DRD2_HUMAN	HRH3_HUMAN	1
DRD2_HUMAN	GNB5_HUMAN	2
