UniProtID	UniProtID	score
DUS3_HUMAN	CSKP_HUMAN	1.6
DUS3_HUMAN	VASP_HUMAN	0.64
DUS3_HUMAN	A4_HUMAN	0.8
DUS3_HUMAN	MK03_HUMAN	3
DUS3_HUMAN	MK01_HUMAN	4.4399999999999995
DUS3_HUMAN	AGO2_HUMAN	0.8
DUS3_HUMAN	EGFR_HUMAN	1
DUS3_HUMAN	IMA1_HUMAN	0.64
DUS3_HUMAN	ELAV1_HUMAN	0.8
DUS3_HUMAN	FAS_HUMAN	0.8
DUS3_HUMAN	PTN11_HUMAN	0.64
DUS3_HUMAN	TAXB1_HUMAN	0.8
DUS3_HUMAN	HLAB_HUMAN	0.8
DUS3_HUMAN	BNI3L_HUMAN	1.6
DUS3_HUMAN	PRIO_HUMAN	0.8
DUS3_HUMAN	PRKN_HUMAN	0.8
DUS3_HUMAN	ROA2_HUMAN	0.64
DUS3_HUMAN	ETFA_HUMAN	0.8
DUS3_HUMAN	VRK3_HUMAN	1.6
DUS3_HUMAN	CRCM_HUMAN	0.8
DUS3_HUMAN	GNA13_HUMAN	0.8
DUS3_HUMAN	RFA3_HUMAN	0.8
DUS3_HUMAN	CACO2_HUMAN	0.8
DUS3_HUMAN	RPIA_HUMAN	0.8
DUS3_HUMAN	FIBB_HUMAN	1.6
DUS3_HUMAN	CXCL2_HUMAN	0.8
DUS3_HUMAN	UBQL2_HUMAN	0.8
DUS3_HUMAN	MMSA_HUMAN	0.64
DUS3_HUMAN	KIF2C_HUMAN	0.8
DUS3_HUMAN	GPX1_HUMAN	0.8
DUS3_HUMAN	RL35A_HUMAN	0.8
DUS3_HUMAN	EED_HUMAN	0.64
DUS3_HUMAN	SNR27_HUMAN	1.6
DUS3_HUMAN	DOC11_HUMAN	0.8
DUS3_HUMAN	ROA3_HUMAN	0.64
DUS3_HUMAN	MTR1A_HUMAN	1.92
DUS3_HUMAN	PSMD2_HUMAN	0.8
DUS3_HUMAN	MTR1B_HUMAN	1.92
DUS3_HUMAN	HSC20_HUMAN	1.6
DUS3_HUMAN	ANS1B_HUMAN	0.64
DUS3_HUMAN	HOOK3_HUMAN	0.8
DUS3_HUMAN	ZRAN1_HUMAN	0.8
DUS3_HUMAN	BORG4_HUMAN	0.64
DUS3_HUMAN	ARF5_HUMAN	0.8
DUS3_HUMAN	LPPRC_HUMAN	0.8
DUS3_HUMAN	EFTU_HUMAN	1.6
DUS3_HUMAN	CPSF2_HUMAN	0.8
DUS3_HUMAN	FACD2_HUMAN	0.64
DUS3_HUMAN	ERLN2_HUMAN	2.4000000000000004
DUS3_HUMAN	COPG1_HUMAN	0.8
DUS3_HUMAN	STING_HUMAN	0.64
DUS3_HUMAN	DACT3_HUMAN	0.8
DUS3_HUMAN	NDUF3_HUMAN	0.64
DUS3_HUMAN	ERLN1_HUMAN	2.4000000000000004
DUS3_HUMAN	EI2BG_HUMAN	0.8
DUS3_HUMAN	SOAT1_HUMAN	0.8
DUS3_HUMAN	CF120_HUMAN	0.8
DUS3_HUMAN	CCD32_HUMAN	0.8
DUS3_HUMAN	T2EB_HUMAN	1.6
DUS3_HUMAN	IFT22_HUMAN	0.8
DUS3_HUMAN	ARFG2_HUMAN	0.64
DUS3_HUMAN	KAD1_HUMAN	0.64
DUS3_HUMAN	TMUB1_HUMAN	0.8
DUS3_HUMAN	DAAF8_HUMAN	2.4000000000000004
DUS3_HUMAN	AR6P6_HUMAN	2.4000000000000004
DUS3_HUMAN	CDV3_HUMAN	0.64
DUS3_HUMAN	GDAH_HUMAN	0.64
DUS3_HUMAN	RGN_HUMAN	0.64
DUS3_HUMAN	COASY_HUMAN	0.64
DUS3_HUMAN	NDF1_HUMAN	1.6
DUS3_HUMAN	MEOX1_HUMAN	3.2
DUS3_HUMAN	DUS1_HUMAN	0.8
DUS3_HUMAN	DUS12_HUMAN	0.8
DUS3_HUMAN	DS13A_HUMAN	0.8
DUS3_HUMAN	DUS2_HUMAN	0.8
DUS3_HUMAN	DUS3_HUMAN	1.6
DUS3_HUMAN	CLC1B_HUMAN	0.8
DUS3_HUMAN	5NTC_HUMAN	0.8
DUS3_HUMAN	CGT_HUMAN	0.8
DUS3_HUMAN	DUS14_HUMAN	0.8
DUS3_HUMAN	PKHA4_HUMAN	0.8
DUS3_HUMAN	CRGN_HUMAN	0.8
DUS3_HUMAN	RPB1B_HUMAN	0.8
DUS3_HUMAN	SPXN4_HUMAN	0.8
DUS3_HUMAN	GSX1_HUMAN	0.8
DUS3_HUMAN	TMUB2_HUMAN	0.8
DUS3_HUMAN	PO3F1_HUMAN	0.8
DUS3_HUMAN	BI1_HUMAN	0.8
DUS3_HUMAN	RN170_HUMAN	0.8
DUS3_HUMAN	CART_HUMAN	0.8
DUS3_HUMAN	NTNG1_HUMAN	0.8
DUS3_HUMAN	TRI67_HUMAN	0.8
DUS3_HUMAN	TAGL_HUMAN	0.8
DUS3_HUMAN	TLE3_HUMAN	0.8
DUS3_HUMAN	GLO2_HUMAN	0.8
