UniProtID	UniProtID	score
DVL1_HUMAN	NCK2_HUMAN	0.8
DVL1_HUMAN	SYUA_HUMAN	0.8
DVL1_HUMAN	CTNB1_HUMAN	2.6
DVL1_HUMAN	ARHGJ_HUMAN	1.6400000000000001
DVL1_HUMAN	BUB1_HUMAN	1.6
DVL1_HUMAN	NEDD4_HUMAN	1
DVL1_HUMAN	LATS1_HUMAN	0.8
DVL1_HUMAN	DCTN1_HUMAN	1.6
DVL1_HUMAN	ITCH_HUMAN	1
DVL1_HUMAN	SMAD3_HUMAN	3.04
DVL1_HUMAN	FLNC_HUMAN	0.8
DVL1_HUMAN	SHAN3_HUMAN	0.64
DVL1_HUMAN	DAB2_HUMAN	1.8
DVL1_HUMAN	TAU_HUMAN	0.8
DVL1_HUMAN	ARRB1_HUMAN	1
DVL1_HUMAN	ATN1_HUMAN	1
DVL1_HUMAN	SCYL2_HUMAN	4.8
DVL1_HUMAN	EPS8_HUMAN	3
DVL1_HUMAN	HECW1_HUMAN	2
DVL1_HUMAN	CTBP1_HUMAN	0.8
DVL1_HUMAN	RB_HUMAN	1.6
DVL1_HUMAN	NKD1_HUMAN	2.44
DVL1_HUMAN	NKD2_HUMAN	3.64
DVL1_HUMAN	VANG1_HUMAN	3.2
DVL1_HUMAN	VANG2_HUMAN	4.8
DVL1_HUMAN	PSA3_HUMAN	2.4000000000000004
DVL1_HUMAN	SIPA1_HUMAN	1.6
DVL1_HUMAN	ANXA7_HUMAN	1.6
DVL1_HUMAN	DVL3_HUMAN	10.4
DVL1_HUMAN	AXIN1_HUMAN	19.160000000000007
DVL1_HUMAN	CXXC4_HUMAN	4.8
DVL1_HUMAN	DACT2_HUMAN	0.64
DVL1_HUMAN	DACT1_HUMAN	3.04
DVL1_HUMAN	DACT3_HUMAN	0.64
DVL1_HUMAN	TFDP1_HUMAN	5.3999999999999995
DVL1_HUMAN	KC1E_HUMAN	8.8
DVL1_HUMAN	APC_HUMAN	4.8
DVL1_HUMAN	RASF9_HUMAN	1.6
DVL1_HUMAN	RASFA_HUMAN	1.6
DVL1_HUMAN	DVL1_HUMAN	19.6
DVL1_HUMAN	WWTR1_HUMAN	3.8
DVL1_HUMAN	NXN_HUMAN	1.6
DVL1_HUMAN	ANKR6_HUMAN	0.8
DVL1_HUMAN	DCAF4_HUMAN	2.4000000000000004
DVL1_HUMAN	DVL2_HUMAN	9.8
DVL1_HUMAN	SMAD1_HUMAN	1.44
DVL1_HUMAN	SMAD2_HUMAN	1.44
DVL1_HUMAN	SMAD4_HUMAN	1.44
DVL1_HUMAN	SMAD7_HUMAN	1.44
DVL1_HUMAN	XPO1_HUMAN	1.44
DVL1_HUMAN	PLK1_HUMAN	1.6
DVL1_HUMAN	FAK1_HUMAN	1.44
DVL1_HUMAN	DAAM1_HUMAN	2
DVL1_HUMAN	LRRK2_HUMAN	2.8
DVL1_HUMAN	SIR1_HUMAN	3
DVL1_HUMAN	FBXW7_HUMAN	1.6
DVL1_HUMAN	MLH3_HUMAN	1.6
DVL1_HUMAN	MSH2_HUMAN	1.6
DVL1_HUMAN	UBP13_HUMAN	1.6
DVL1_HUMAN	TMM88_HUMAN	1.6
DVL1_HUMAN	SMUF2_HUMAN	1.28
DVL1_HUMAN	CSK21_HUMAN	2.6
DVL1_HUMAN	MOONR_HUMAN	1.6
DVL1_HUMAN	CE128_HUMAN	1.6
DVL1_HUMAN	TMM17_HUMAN	1.6
DVL1_HUMAN	AHI1_HUMAN	1.6
DVL1_HUMAN	CEP19_HUMAN	1.6
DVL1_HUMAN	ADIP_HUMAN	2.4000000000000004
DVL1_HUMAN	CP110_HUMAN	1.6
DVL1_HUMAN	CETN2_HUMAN	1.6
DVL1_HUMAN	CP135_HUMAN	1.6
DVL1_HUMAN	CEP44_HUMAN	1.6
DVL1_HUMAN	CEP83_HUMAN	1.6
DVL1_HUMAN	PLRKT_HUMAN	0.8
DVL1_HUMAN	TOM20_HUMAN	1.6
DVL1_HUMAN	ROR2_HUMAN	1.6
DVL1_HUMAN	FHI2A_HUMAN	0.8
DVL1_HUMAN	MUSK_HUMAN	3.2
DVL1_HUMAN	BRD7_HUMAN	2.4000000000000004
DVL1_HUMAN	TRI69_HUMAN	1.44
DVL1_HUMAN	SMYD1_HUMAN	0.8
DVL1_HUMAN	KLH12_HUMAN	5.8
DVL1_HUMAN	BAG3_HUMAN	0.8
DVL1_HUMAN	DAPLE_HUMAN	3.4000000000000004
DVL1_HUMAN	FRAT1_HUMAN	1
DVL1_HUMAN	KC1D_HUMAN	1
DVL1_HUMAN	RYK_HUMAN	1.6
DVL1_HUMAN	PRIC1_HUMAN	1.6
DVL1_HUMAN	PRIC2_HUMAN	1.6
DVL1_HUMAN	CYLD_HUMAN	1
DVL1_HUMAN	SDC4_HUMAN	1
DVL1_HUMAN	WWOX_HUMAN	2.4000000000000004
DVL1_HUMAN	HUWE1_HUMAN	1
DVL1_HUMAN	NUMA1_HUMAN	1
DVL1_HUMAN	WWP2_HUMAN	0.8
DVL1_HUMAN	MP2K3_HUMAN	0.8
DVL1_HUMAN	HNRH1_HUMAN	0.8
DVL1_HUMAN	TRIM9_HUMAN	0.64
DVL1_HUMAN	ZNF74_HUMAN	0.8
DVL1_HUMAN	GEPH_HUMAN	0.8
DVL1_HUMAN	ZNRF3_HUMAN	1
DVL1_HUMAN	FZD7_HUMAN	2
DVL1_HUMAN	WWP1_HUMAN	2
DVL1_HUMAN	CLU_HUMAN	0.64
DVL1_HUMAN	MLXPL_HUMAN	0.8
DVL1_HUMAN	TOP3B_HUMAN	1.6
DVL1_HUMAN	WNT7A_HUMAN	0.8
DVL1_HUMAN	GSK3B_HUMAN	0.8
DVL1_HUMAN	GNAI3_HUMAN	1
DVL1_HUMAN	PPM1A_HUMAN	0.64
DVL1_HUMAN	GGCT_HUMAN	0.64
DVL1_HUMAN	FBW1A_HUMAN	0.8
DVL1_HUMAN	ARHG2_HUMAN	0.8
DVL1_HUMAN	PTH2_HUMAN	0.8
DVL1_HUMAN	LTN1_HUMAN	0.8
DVL1_HUMAN	KS6A2_HUMAN	0.8
DVL1_HUMAN	STAU1_HUMAN	1.6
DVL1_HUMAN	RMD3_HUMAN	0.8
DVL1_HUMAN	RNF43_HUMAN	1.8
DVL1_HUMAN	ADAS_HUMAN	0.8
DVL1_HUMAN	ANFY1_HUMAN	0.8
DVL1_HUMAN	CTNA1_HUMAN	0.8
DVL1_HUMAN	E41LA_HUMAN	0.8
DVL1_HUMAN	CXA1_HUMAN	0.8
DVL1_HUMAN	K2C8_HUMAN	0.8
DVL1_HUMAN	MARE3_HUMAN	0.8
DVL1_HUMAN	OCLN_HUMAN	0.8
DVL1_HUMAN	PARD3_HUMAN	0.8
DVL1_HUMAN	PAXI_HUMAN	0.8
DVL1_HUMAN	SEP10_HUMAN	0.8
DVL1_HUMAN	IFM1_HUMAN	0.8
DVL1_HUMAN	PHLP1_HUMAN	0.8
DVL1_HUMAN	KCNQ2_HUMAN	0.64
DVL1_HUMAN	NRX1A_HUMAN	0.64
DVL1_HUMAN	NTRK2_HUMAN	0.64
DVL1_HUMAN	PTEN_HUMAN	0.64
DVL1_HUMAN	TAOK2_HUMAN	0.64
DVL1_HUMAN	KDM1A_HUMAN	0.8
DVL1_HUMAN	HDAC1_HUMAN	0.8
DVL1_HUMAN	PF21A_HUMAN	0.8
DVL1_HUMAN	RCOR1_HUMAN	0.8
DVL1_HUMAN	RICTR_HUMAN	0.8
DVL1_HUMAN	A16L1_HUMAN	0.8
DVL1_HUMAN	CIAO1_HUMAN	0.8
DVL1_HUMAN	DET1_HUMAN	0.8
DVL1_HUMAN	GBB2_HUMAN	0.8
DVL1_HUMAN	NUP43_HUMAN	0.8
DVL1_HUMAN	COP1_HUMAN	0.8
DVL1_HUMAN	SNR40_HUMAN	0.8
DVL1_HUMAN	TLE2_HUMAN	0.8
DVL1_HUMAN	TP4AP_HUMAN	0.8
DVL1_HUMAN	RFA1_HUMAN	0.8
DVL1_HUMAN	RFA2_HUMAN	0.8
DVL1_HUMAN	RFA3_HUMAN	0.8
DVL1_HUMAN	RFA4_HUMAN	0.8
