UniProtID	UniProtID	score
DYL2_HUMAN	CKAP5_HUMAN	0.6
DYL2_HUMAN	ACTZ_HUMAN	0.6
DYL2_HUMAN	TMED3_HUMAN	0.6
DYL2_HUMAN	SHAN2_HUMAN	0.8
DYL2_HUMAN	ARF3_HUMAN	0.6
DYL2_HUMAN	KLC2_HUMAN	0.6
DYL2_HUMAN	CLAP1_HUMAN	0.6
DYL2_HUMAN	2AAA_HUMAN	0.6
DYL2_HUMAN	CAZA2_HUMAN	0.6
DYL2_HUMAN	HS90B_HUMAN	0.6
DYL2_HUMAN	SYUA_HUMAN	1.28
DYL2_HUMAN	ARF4_HUMAN	0.6
DYL2_HUMAN	HOME3_HUMAN	5.4399999999999995
DYL2_HUMAN	DC1L1_HUMAN	0.6
DYL2_HUMAN	COPB2_HUMAN	0.6
DYL2_HUMAN	GLYM_HUMAN	2.4000000000000004
DYL2_HUMAN	KIFA3_HUMAN	0.6
DYL2_HUMAN	MK03_HUMAN	0.64
DYL2_HUMAN	COPA_HUMAN	0.6
DYL2_HUMAN	RAB18_HUMAN	0.6
DYL2_HUMAN	FKBP4_HUMAN	0.6
DYL2_HUMAN	COG3_HUMAN	0.6
DYL2_HUMAN	LIS1_HUMAN	0.6
DYL2_HUMAN	KIF2C_HUMAN	0.6
DYL2_HUMAN	ANK2_HUMAN	0.6
DYL2_HUMAN	SMC3_HUMAN	0.6
DYL2_HUMAN	DC1I1_HUMAN	2.8400000000000003
DYL2_HUMAN	GBRL2_HUMAN	3.2
DYL2_HUMAN	SPTB2_HUMAN	0.6
DYL2_HUMAN	RAF1_HUMAN	1.6
DYL2_HUMAN	ACTY_HUMAN	0.6
DYL2_HUMAN	ARF5_HUMAN	0.6
DYL2_HUMAN	CDC42_HUMAN	0.6
DYL2_HUMAN	XPO1_HUMAN	0.6
DYL2_HUMAN	RASK_HUMAN	0.8
DYL2_HUMAN	CAZA1_HUMAN	0.6
DYL2_HUMAN	RGS14_HUMAN	0.64
DYL2_HUMAN	DLRB2_HUMAN	0.6
DYL2_HUMAN	KANK2_HUMAN	3.2
DYL2_HUMAN	MYO5A_HUMAN	9.0
DYL2_HUMAN	DLG2_HUMAN	0.8
DYL2_HUMAN	SPTN4_HUMAN	0.6
DYL2_HUMAN	DLG4_HUMAN	1.6
DYL2_HUMAN	ARFG2_HUMAN	0.6
DYL2_HUMAN	GCR_HUMAN	0.6
DYL2_HUMAN	TAOK1_HUMAN	0.6
DYL2_HUMAN	PP2AA_HUMAN	0.6
DYL2_HUMAN	CD59_HUMAN	0.6
DYL2_HUMAN	RAB1A_HUMAN	0.6
DYL2_HUMAN	GEPH_HUMAN	6.04
DYL2_HUMAN	PAK1_HUMAN	1.6
DYL2_HUMAN	ANK1_HUMAN	0.6
DYL2_HUMAN	TPPP_HUMAN	2.0
DYL2_HUMAN	DCTN3_HUMAN	0.6
DYL2_HUMAN	PP1G_HUMAN	0.6
DYL2_HUMAN	GOSR1_HUMAN	0.6
DYL2_HUMAN	LRFN4_HUMAN	1.6
DYL2_HUMAN	RAB1B_HUMAN	0.6
DYL2_HUMAN	SC6A4_HUMAN	0.64
DYL2_HUMAN	CLIP1_HUMAN	0.6
DYL2_HUMAN	RAB6B_HUMAN	0.6
DYL2_HUMAN	COPD_HUMAN	0.6
DYL2_HUMAN	DC1L2_HUMAN	0.6
DYL2_HUMAN	ARF1_HUMAN	0.6
DYL2_HUMAN	USO1_HUMAN	0.6
DYL2_HUMAN	KIF2B_HUMAN	0.6
DYL2_HUMAN	SPTN1_HUMAN	0.6
DYL2_HUMAN	RBGPR_HUMAN	0.6
DYL2_HUMAN	HNRH1_HUMAN	0.8
DYL2_HUMAN	DCTN4_HUMAN	0.6
DYL2_HUMAN	SPTN2_HUMAN	0.6
DYL2_HUMAN	RAGP1_HUMAN	0.6
DYL2_HUMAN	CLAP2_HUMAN	0.6
DYL2_HUMAN	DYL1_HUMAN	7.3199999999999985
DYL2_HUMAN	PCBP1_HUMAN	0.8
DYL2_HUMAN	ZWINT_HUMAN	0.6
DYL2_HUMAN	XPO7_HUMAN	0.64
DYL2_HUMAN	SYNPO_HUMAN	0.8
DYL2_HUMAN	KIF2A_HUMAN	0.6
DYL2_HUMAN	DLGP1_HUMAN	5.199999999999999
DYL2_HUMAN	DYL2_HUMAN	13.6
DYL2_HUMAN	DLRB1_HUMAN	1.24
DYL2_HUMAN	HS90A_HUMAN	0.6
DYL2_HUMAN	RB3GP_HUMAN	0.6
DYL2_HUMAN	STRN4_HUMAN	1.4
DYL2_HUMAN	MCR_HUMAN	0.6
DYL2_HUMAN	RAB7A_HUMAN	0.6
DYL2_HUMAN	MARE1_HUMAN	0.6
DYL2_HUMAN	MLF1_HUMAN	0.8
DYL2_HUMAN	ARFG3_HUMAN	0.6
DYL2_HUMAN	GOGB1_HUMAN	0.6
DYL2_HUMAN	2A5D_HUMAN	0.6
DYL2_HUMAN	DYHC1_HUMAN	1.24
DYL2_HUMAN	DCTN2_HUMAN	0.6
DYL2_HUMAN	KIF5A_HUMAN	0.6
DYL2_HUMAN	PP1B_HUMAN	2.4000000000000004
DYL2_HUMAN	NDEL1_HUMAN	0.6
DYL2_HUMAN	SEC13_HUMAN	0.6
DYL2_HUMAN	DC1I2_HUMAN	3.8000000000000003
DYL2_HUMAN	KINH_HUMAN	0.6
DYL2_HUMAN	RAB6A_HUMAN	0.6
DYL2_HUMAN	KLC1_HUMAN	0.6
DYL2_HUMAN	ANK3_HUMAN	0.6
CKAP5_HUMAN	CKAP5_HUMAN	9.36
CKAP5_HUMAN	ACTZ_HUMAN	0.6
CKAP5_HUMAN	CLAP1_HUMAN	2.04
CKAP5_HUMAN	2AAA_HUMAN	0.6
CKAP5_HUMAN	DC1L1_HUMAN	1.24
CKAP5_HUMAN	LIS1_HUMAN	1.24
CKAP5_HUMAN	KIF2C_HUMAN	0.6
CKAP5_HUMAN	SMC3_HUMAN	1.4
CKAP5_HUMAN	DC1I1_HUMAN	1.24
CKAP5_HUMAN	CDC42_HUMAN	0.6
CKAP5_HUMAN	XPO1_HUMAN	0.6
CKAP5_HUMAN	TAOK1_HUMAN	0.6
CKAP5_HUMAN	PP2AA_HUMAN	0.6
CKAP5_HUMAN	DCTN3_HUMAN	0.6
CKAP5_HUMAN	PP1G_HUMAN	0.6
CKAP5_HUMAN	CLIP1_HUMAN	0.6
CKAP5_HUMAN	DC1L2_HUMAN	0.6
CKAP5_HUMAN	KIF2B_HUMAN	0.6
CKAP5_HUMAN	RAGP1_HUMAN	1.24
CKAP5_HUMAN	CLAP2_HUMAN	1.24
CKAP5_HUMAN	DYL1_HUMAN	1.24
CKAP5_HUMAN	ZWINT_HUMAN	0.6
CKAP5_HUMAN	KIF2A_HUMAN	0.6
CKAP5_HUMAN	HS90A_HUMAN	0.6
CKAP5_HUMAN	MARE1_HUMAN	3.0000000000000004
CKAP5_HUMAN	2A5D_HUMAN	0.6
CKAP5_HUMAN	DYHC1_HUMAN	1.88
CKAP5_HUMAN	DCTN2_HUMAN	1.24
CKAP5_HUMAN	NDEL1_HUMAN	0.6
CKAP5_HUMAN	SEC13_HUMAN	1.24
CKAP5_HUMAN	DC1I2_HUMAN	0.6
ACTZ_HUMAN	ACTZ_HUMAN	2.56
ACTZ_HUMAN	TMED3_HUMAN	0.6
ACTZ_HUMAN	ARF3_HUMAN	0.6
ACTZ_HUMAN	KLC2_HUMAN	0.6
ACTZ_HUMAN	CLAP1_HUMAN	0.6
ACTZ_HUMAN	2AAA_HUMAN	0.6
ACTZ_HUMAN	CAZA2_HUMAN	5.239999999999999
ACTZ_HUMAN	HS90B_HUMAN	0.6
ACTZ_HUMAN	SYUA_HUMAN	1.92
ACTZ_HUMAN	ARF4_HUMAN	0.6
ACTZ_HUMAN	DC1L1_HUMAN	2.68
