UniProtID	UniProtID	score
DYST_HUMAN	NFL_HUMAN	0.8
DYST_HUMAN	PACN1_HUMAN	0.8
DYST_HUMAN	CALM1_HUMAN	0.8
DYST_HUMAN	ERBB2_HUMAN	1.6
DYST_HUMAN	EXOC1_HUMAN	2.4000000000000004
DYST_HUMAN	STX7_HUMAN	0.8
DYST_HUMAN	DCTN1_HUMAN	2.0
DYST_HUMAN	TNIK_HUMAN	3.68
DYST_HUMAN	LCK_HUMAN	0.8
DYST_HUMAN	DP13A_HUMAN	4.0
DYST_HUMAN	CTNB1_HUMAN	0.8
DYST_HUMAN	UBC_HUMAN	0.64
DYST_HUMAN	CXA1_HUMAN	0.8
DYST_HUMAN	RL6_HUMAN	0.8
DYST_HUMAN	DREB_HUMAN	0.8
DYST_HUMAN	K1549_HUMAN	1.6
DYST_HUMAN	MARE1_HUMAN	23.28
DYST_HUMAN	LYN_HUMAN	0.8
DYST_HUMAN	RAB35_HUMAN	0.8
DYST_HUMAN	UBXN6_HUMAN	0.8
DYST_HUMAN	MYO1C_HUMAN	0.64
DYST_HUMAN	ZDHC5_HUMAN	0.8
DYST_HUMAN	ANM5_HUMAN	0.8
DYST_HUMAN	CAZA2_HUMAN	0.8
DYST_HUMAN	DTBP1_HUMAN	0.8
DYST_HUMAN	LIMA1_HUMAN	0.8
DYST_HUMAN	APC_HUMAN	1.6
DYST_HUMAN	CSKP_HUMAN	0.64
DYST_HUMAN	MYCB2_HUMAN	1.28
DYST_HUMAN	TRPV1_HUMAN	0.64
DYST_HUMAN	AT1A2_HUMAN	1.6
DYST_HUMAN	MIRO2_HUMAN	0.8
DYST_HUMAN	NFH_HUMAN	0.8
DYST_HUMAN	COR1C_HUMAN	0.64
DYST_HUMAN	MYH9_HUMAN	2.24
DYST_HUMAN	GRB2_HUMAN	0.8
DYST_HUMAN	VINC_HUMAN	0.8
DYST_HUMAN	ACTB_HUMAN	1.44
DYST_HUMAN	EZRI_HUMAN	1.6
DYST_HUMAN	RAB4A_HUMAN	0.8
DYST_HUMAN	CADH1_HUMAN	0.8
DYST_HUMAN	LTOR1_HUMAN	0.8
DYST_HUMAN	CALM2_HUMAN	0.8
DYST_HUMAN	TOM20_HUMAN	1.6
DYST_HUMAN	CYFP2_HUMAN	0.64
DYST_HUMAN	ERBIN_HUMAN	2.0
DYST_HUMAN	CLMN_HUMAN	0.64
DYST_HUMAN	TPM1_HUMAN	0.64
DYST_HUMAN	ITB4_HUMAN	1.0
DYST_HUMAN	DISC1_HUMAN	5.6
DYST_HUMAN	ABI1_HUMAN	2.4000000000000004
DYST_HUMAN	MY18A_HUMAN	0.8
DYST_HUMAN	RAB5A_HUMAN	0.8
DYST_HUMAN	FLOT1_HUMAN	1.44
DYST_HUMAN	PAK2_HUMAN	1.6
DYST_HUMAN	STXB1_HUMAN	0.8
DYST_HUMAN	PP1B_HUMAN	0.8
DYST_HUMAN	RB11A_HUMAN	0.8
DYST_HUMAN	SYNPO_HUMAN	1.6
DYST_HUMAN	DOCK4_HUMAN	0.64
DYST_HUMAN	ADDA_HUMAN	0.8
DYST_HUMAN	DYST_HUMAN	14.400000000000004
DYST_HUMAN	GSK3B_HUMAN	1.6
DYST_HUMAN	KTN1_HUMAN	0.64
DYST_HUMAN	PERI_HUMAN	2.4000000000000004
DYST_HUMAN	IQGA1_HUMAN	0.8
DYST_HUMAN	MARE3_HUMAN	0.8
DYST_HUMAN	ARP3_HUMAN	0.8
DYST_HUMAN	RASK_HUMAN	0.8
DYST_HUMAN	RAB6A_HUMAN	0.64
DYST_HUMAN	CALM3_HUMAN	0.8
DYST_HUMAN	ITSN2_HUMAN	0.8
DYST_HUMAN	KPCZ_HUMAN	0.64
NFL_HUMAN	TNIK_HUMAN	0.8
NFL_HUMAN	UBC_HUMAN	0.64
NFL_HUMAN	CXA1_HUMAN	0.64
NFL_HUMAN	NFH_HUMAN	3.24
NFL_HUMAN	DISC1_HUMAN	0.8
NFL_HUMAN	STXB1_HUMAN	0.64
NFL_HUMAN	PERI_HUMAN	0.6
NFL_HUMAN	RASK_HUMAN	0.6
PACN1_HUMAN	PACN1_HUMAN	60.000000000000014
PACN1_HUMAN	UBC_HUMAN	3.04
PACN1_HUMAN	CALM2_HUMAN	0.8
PACN1_HUMAN	CYFP2_HUMAN	1.44
PACN1_HUMAN	RAB5A_HUMAN	0.6
PACN1_HUMAN	ARP3_HUMAN	0.6
PACN1_HUMAN	ITSN2_HUMAN	0.6
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	ERBB2_HUMAN	1.8
CALM1_HUMAN	CTNB1_HUMAN	1.44
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	CXA1_HUMAN	0.64
CALM1_HUMAN	DREB_HUMAN	0.8
CALM1_HUMAN	MARE1_HUMAN	0.8
CALM1_HUMAN	MYO1C_HUMAN	5.24
CALM1_HUMAN	CAZA2_HUMAN	0.64
CALM1_HUMAN	LIMA1_HUMAN	1.44
CALM1_HUMAN	CSKP_HUMAN	0.64
CALM1_HUMAN	MYCB2_HUMAN	2.08
CALM1_HUMAN	TRPV1_HUMAN	4.0
CALM1_HUMAN	COR1C_HUMAN	0.64
CALM1_HUMAN	MYH9_HUMAN	1.44
CALM1_HUMAN	GRB2_HUMAN	0.8
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	DISC1_HUMAN	1.6
CALM1_HUMAN	MY18A_HUMAN	0.8
CALM1_HUMAN	STXB1_HUMAN	0.64
CALM1_HUMAN	PP1B_HUMAN	2.04
CALM1_HUMAN	ADDA_HUMAN	1.6400000000000001
CALM1_HUMAN	IQGA1_HUMAN	6.199999999999999
CALM1_HUMAN	RASK_HUMAN	5.3999999999999995
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
ERBB2_HUMAN	ERBB2_HUMAN	75.19999999999999
ERBB2_HUMAN	LCK_HUMAN	0.8
ERBB2_HUMAN	CTNB1_HUMAN	6.6
ERBB2_HUMAN	UBC_HUMAN	2.4
ERBB2_HUMAN	CXA1_HUMAN	0.8
ERBB2_HUMAN	LYN_HUMAN	1.6
ERBB2_HUMAN	RAB35_HUMAN	0.8
ERBB2_HUMAN	NFH_HUMAN	1.6
ERBB2_HUMAN	GRB2_HUMAN	15.600000000000001
ERBB2_HUMAN	ACTB_HUMAN	10.399999999999999
ERBB2_HUMAN	EZRI_HUMAN	2.8
ERBB2_HUMAN	CADH1_HUMAN	1.4
ERBB2_HUMAN	CALM2_HUMAN	2.6
ERBB2_HUMAN	ERBIN_HUMAN	21.6
ERBB2_HUMAN	ITB4_HUMAN	0.8
ERBB2_HUMAN	FLOT1_HUMAN	0.8
ERBB2_HUMAN	IQGA1_HUMAN	5.0
ERBB2_HUMAN	RASK_HUMAN	1.4
ERBB2_HUMAN	CALM3_HUMAN	1.8
EXOC1_HUMAN	DTBP1_HUMAN	1.6
EXOC1_HUMAN	MYH9_HUMAN	0.6
EXOC1_HUMAN	DISC1_HUMAN	3.2
EXOC1_HUMAN	RB11A_HUMAN	1.4
EXOC1_HUMAN	RASK_HUMAN	1.6
STX7_HUMAN	UBC_HUMAN	0.64
STX7_HUMAN	CXA1_HUMAN	1.6
STX7_HUMAN	K1549_HUMAN	0.8
STX7_HUMAN	LYN_HUMAN	0.8
STX7_HUMAN	RAB35_HUMAN	0.8
STX7_HUMAN	ZDHC5_HUMAN	0.8
STX7_HUMAN	RAB4A_HUMAN	0.8
STX7_HUMAN	LTOR1_HUMAN	1.6
STX7_HUMAN	ERBIN_HUMAN	0.8
STX7_HUMAN	ABI1_HUMAN	0.8
STX7_HUMAN	RAB5A_HUMAN	0.8
STX7_HUMAN	RB11A_HUMAN	1.6
STX7_HUMAN	ADDA_HUMAN	0.8
