UniProtID	UniProtID	score
E41L2_HUMAN	FNBP4_HUMAN	0.8
E41L2_HUMAN	GRB2_HUMAN	1.44
E41L2_HUMAN	PLCG1_HUMAN	0.8
E41L2_HUMAN	LYN_HUMAN	0.8
E41L2_HUMAN	SPN90_HUMAN	0.8
E41L2_HUMAN	ESR1_HUMAN	2.4000000000000004
E41L2_HUMAN	SYUA_HUMAN	0.64
E41L2_HUMAN	DLG1_HUMAN	0.64
E41L2_HUMAN	CSKP_HUMAN	0.64
E41L2_HUMAN	WNK1_HUMAN	1.44
E41L2_HUMAN	YAP1_HUMAN	0.8
E41L2_HUMAN	P53_HUMAN	0.8
E41L2_HUMAN	GRM1_HUMAN	2
E41L2_HUMAN	TLN1_HUMAN	0.8
E41L2_HUMAN	SEC62_HUMAN	0.8
E41L2_HUMAN	M3K2_HUMAN	1.6
E41L2_HUMAN	LIN7A_HUMAN	1.6
E41L2_HUMAN	RAF1_HUMAN	0.8
E41L2_HUMAN	E41L3_HUMAN	3.2
E41L2_HUMAN	MYPT1_HUMAN	0.8
E41L2_HUMAN	HDAC6_HUMAN	0.8
E41L2_HUMAN	SYDC_HUMAN	0.8
E41L2_HUMAN	PLCG2_HUMAN	0.64
E41L2_HUMAN	A4_HUMAN	1.6
E41L2_HUMAN	1433S_HUMAN	3.2
E41L2_HUMAN	1433E_HUMAN	3.2
E41L2_HUMAN	PP1G_HUMAN	0.8
E41L2_HUMAN	DYL1_HUMAN	0.8
E41L2_HUMAN	HS90B_HUMAN	1.44
E41L2_HUMAN	1433Z_HUMAN	4.0
E41L2_HUMAN	PRC1_HUMAN	1.6
E41L2_HUMAN	RNPS1_HUMAN	2.4000000000000004
E41L2_HUMAN	RYBP_HUMAN	0.8
E41L2_HUMAN	PAX6_HUMAN	1.6
E41L2_HUMAN	CPSF7_HUMAN	0.8
E41L2_HUMAN	HSPB1_HUMAN	2.4000000000000004
E41L2_HUMAN	BIP_HUMAN	1.6
E41L2_HUMAN	H4_HUMAN	0.8
E41L2_HUMAN	1433F_HUMAN	4.0
E41L2_HUMAN	1433T_HUMAN	5.6
E41L2_HUMAN	RASH_HUMAN	0.8
E41L2_HUMAN	1433B_HUMAN	4.0
E41L2_HUMAN	KSR1_HUMAN	0.8
E41L2_HUMAN	CSN3_HUMAN	1.44
E41L2_HUMAN	CALM3_HUMAN	1.28
E41L2_HUMAN	EGFR_HUMAN	0.8
E41L2_HUMAN	KAP0_HUMAN	1.6
E41L2_HUMAN	MLF1_HUMAN	1.6
E41L2_HUMAN	KCNK3_HUMAN	0.8
E41L2_HUMAN	1433G_HUMAN	10.4
E41L2_HUMAN	GCR_HUMAN	0.8
E41L2_HUMAN	TOLIP_HUMAN	0.8
E41L2_HUMAN	RAC1_HUMAN	0.64
E41L2_HUMAN	CNTP2_HUMAN	0.64
E41L2_HUMAN	CSK22_HUMAN	0.8
E41L2_HUMAN	CSK21_HUMAN	0.8
E41L2_HUMAN	RL5_HUMAN	0.8
E41L2_HUMAN	PML_HUMAN	0.8
E41L2_HUMAN	TCPE_HUMAN	0.8
E41L2_HUMAN	RENT2_HUMAN	0.8
E41L2_HUMAN	STX6_HUMAN	0.8
E41L2_HUMAN	E41L1_HUMAN	2.24
E41L2_HUMAN	PR40A_HUMAN	1.6
E41L2_HUMAN	CHD3_HUMAN	0.8
E41L2_HUMAN	TCPG_HUMAN	0.8
E41L2_HUMAN	CSN6_HUMAN	1.44
E41L2_HUMAN	PTN11_HUMAN	0.8
E41L2_HUMAN	SRC8_HUMAN	0.8
E41L2_HUMAN	CXA1_HUMAN	0.8
E41L2_HUMAN	CSN5_HUMAN	2.24
E41L2_HUMAN	TAXB1_HUMAN	0.8
E41L2_HUMAN	MUC18_HUMAN	0.8
E41L2_HUMAN	CADM1_HUMAN	0.64
E41L2_HUMAN	RS3A_HUMAN	0.8
E41L2_HUMAN	SNIP1_HUMAN	0.8
E41L2_HUMAN	PP1RA_HUMAN	0.8
E41L2_HUMAN	NUMA1_HUMAN	1.8
E41L2_HUMAN	ARF6_HUMAN	1.6
E41L2_HUMAN	RHDF2_HUMAN	0.8
E41L2_HUMAN	BIRC3_HUMAN	0.8
E41L2_HUMAN	RBP2_HUMAN	0.8
E41L2_HUMAN	CTNA1_HUMAN	0.8
E41L2_HUMAN	PACN2_HUMAN	0.8
E41L2_HUMAN	AP3B1_HUMAN	2.4000000000000004
E41L2_HUMAN	KIBRA_HUMAN	2.4000000000000004
E41L2_HUMAN	KLC4_HUMAN	1.6
E41L2_HUMAN	MYH9_HUMAN	2.7199999999999998
E41L2_HUMAN	FAN_HUMAN	1.6
E41L2_HUMAN	WASH1_HUMAN	1.28
E41L2_HUMAN	WRP73_HUMAN	0.64
E41L2_HUMAN	CXB7_HUMAN	1.6
E41L2_HUMAN	SET1A_HUMAN	2.4000000000000004
E41L2_HUMAN	POTEI_HUMAN	2.4000000000000004
E41L2_HUMAN	AF9_HUMAN	2.4000000000000004
E41L2_HUMAN	ICLN_HUMAN	3.2
E41L2_HUMAN	ENL_HUMAN	2.4000000000000004
E41L2_HUMAN	PPIG_HUMAN	2.4000000000000004
E41L2_HUMAN	NKAP_HUMAN	1.6
E41L2_HUMAN	PININ_HUMAN	2.4000000000000004
E41L2_HUMAN	CWC22_HUMAN	2.4000000000000004
E41L2_HUMAN	GPTC8_HUMAN	2.4000000000000004
E41L2_HUMAN	ACINU_HUMAN	2.4000000000000004
E41L2_HUMAN	SRRM2_HUMAN	2.4000000000000004
E41L2_HUMAN	DDAH2_HUMAN	3.2
E41L2_HUMAN	WDR59_HUMAN	2.4000000000000004
