UniProtID	UniProtID	score
EAA2_HUMAN	GRB2_HUMAN	2.24
EAA2_HUMAN	DLG4_HUMAN	3.2
EAA2_HUMAN	SYUA_HUMAN	1.28
EAA2_HUMAN	SUMO1_HUMAN	0.8
EAA2_HUMAN	AJUBA_HUMAN	3
EAA2_HUMAN	NBEA_HUMAN	0.64
EAA2_HUMAN	NFASC_HUMAN	0.64
EAA2_HUMAN	SHAN3_HUMAN	0.64
EAA2_HUMAN	G3BP2_HUMAN	0.64
EAA2_HUMAN	TAU_HUMAN	8.280000000000001
EAA2_HUMAN	4F2_HUMAN	1.44
EAA2_HUMAN	HD_HUMAN	10.24
EAA2_HUMAN	APBB1_HUMAN	0.8
EAA2_HUMAN	CASP3_HUMAN	0.8
EAA2_HUMAN	NEB2_HUMAN	0.64
EAA2_HUMAN	UBC9_HUMAN	0.8
EAA2_HUMAN	MYO16_HUMAN	0.64
EAA2_HUMAN	RL5_HUMAN	0.8
EAA2_HUMAN	PML_HUMAN	1
EAA2_HUMAN	UBC_HUMAN	0.64
EAA2_HUMAN	LRC4C_HUMAN	0.64
EAA2_HUMAN	HERC2_HUMAN	0.64
EAA2_HUMAN	PPP5_HUMAN	0.64
EAA2_HUMAN	SSR3_HUMAN	0.64
EAA2_HUMAN	SHIP2_HUMAN	0.64
EAA2_HUMAN	UBP38_HUMAN	0.64
EAA2_HUMAN	THYN1_HUMAN	0.64
EAA2_HUMAN	HG2A_HUMAN	0.64
EAA2_HUMAN	RL38_HUMAN	0.8
EAA2_HUMAN	FBW1A_HUMAN	0.64
EAA2_HUMAN	GPM6A_HUMAN	0.64
EAA2_HUMAN	RL17_HUMAN	0.8
EAA2_HUMAN	SYPH_HUMAN	0.64
EAA2_HUMAN	RL23A_HUMAN	0.8
EAA2_HUMAN	RL3_HUMAN	0.8
EAA2_HUMAN	LBR_HUMAN	0.64
EAA2_HUMAN	RD23B_HUMAN	0.64
EAA2_HUMAN	ITM2B_HUMAN	2.56
EAA2_HUMAN	OXDA_HUMAN	0.64
EAA2_HUMAN	TIA1_HUMAN	0.64
EAA2_HUMAN	EAA2_HUMAN	15.2
EAA2_HUMAN	IDHC_HUMAN	0.64
EAA2_HUMAN	PRC2C_HUMAN	0.64
EAA2_HUMAN	PGRC2_HUMAN	0.64
EAA2_HUMAN	FBXL2_HUMAN	0.64
EAA2_HUMAN	PPM1L_HUMAN	0.64
EAA2_HUMAN	RASFA_HUMAN	0.64
EAA2_HUMAN	UBP40_HUMAN	0.64
EAA2_HUMAN	PRRT2_HUMAN	0.64
EAA2_HUMAN	UBP48_HUMAN	0.64
EAA2_HUMAN	RL32_HUMAN	0.8
EAA2_HUMAN	SC6A1_HUMAN	0.64
