UniProtID	UniProtID	score
EF2K_HUMAN	XPO7_HUMAN	0.64
EF2K_HUMAN	KPCA_HUMAN	0.6
EF2K_HUMAN	CALM1_HUMAN	1.0
EF2K_HUMAN	KS6B1_HUMAN	1.6
EF2K_HUMAN	ACACA_HUMAN	1.6
EF2K_HUMAN	UBE3C_HUMAN	0.8
EF2K_HUMAN	ELAV1_HUMAN	0.8
EF2K_HUMAN	ARP2_HUMAN	0.8
EF2K_HUMAN	EZRI_HUMAN	1.6
EF2K_HUMAN	IF4A3_HUMAN	1.0
EF2K_HUMAN	XPO1_HUMAN	1.44
EF2K_HUMAN	KPCG_HUMAN	0.6
EF2K_HUMAN	RAGP1_HUMAN	0.8
EF2K_HUMAN	EF2_HUMAN	1.6
EF2K_HUMAN	KAP1_HUMAN	0.8
EF2K_HUMAN	PROF1_HUMAN	0.8
XPO7_HUMAN	ELAV1_HUMAN	0.64
XPO7_HUMAN	IF4A3_HUMAN	0.64
XPO7_HUMAN	XPO1_HUMAN	2.2
XPO7_HUMAN	RAGP1_HUMAN	0.64
KPCA_HUMAN	KPCA_HUMAN	13.200000000000001
KPCA_HUMAN	CALM1_HUMAN	0.64
KPCA_HUMAN	KS6B1_HUMAN	0.6
KPCA_HUMAN	ELAV1_HUMAN	4.3999999999999995
KPCA_HUMAN	EZRI_HUMAN	1.6
KPCA_HUMAN	KPCG_HUMAN	4.6
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	ELAV1_HUMAN	1.6
CALM1_HUMAN	PROF1_HUMAN	0.8
KS6B1_HUMAN	KS6B1_HUMAN	15.2
KS6B1_HUMAN	ELAV1_HUMAN	0.8
KS6B1_HUMAN	XPO1_HUMAN	1.8
KS6B1_HUMAN	EF2_HUMAN	0.6
ACACA_HUMAN	ACACA_HUMAN	26.0
ACACA_HUMAN	XPO1_HUMAN	0.8
UBE3C_HUMAN	UBE3C_HUMAN	10.8
UBE3C_HUMAN	ELAV1_HUMAN	0.8
UBE3C_HUMAN	EF2_HUMAN	0.8
ELAV1_HUMAN	ELAV1_HUMAN	46.8
ELAV1_HUMAN	ARP2_HUMAN	0.8
ELAV1_HUMAN	EZRI_HUMAN	0.8
ELAV1_HUMAN	XPO1_HUMAN	1.4
ELAV1_HUMAN	PROF1_HUMAN	0.8
ARP2_HUMAN	ARP2_HUMAN	3.2
ARP2_HUMAN	XPO1_HUMAN	1.44
ARP2_HUMAN	RAGP1_HUMAN	1.44
EZRI_HUMAN	EZRI_HUMAN	24.000000000000007
EZRI_HUMAN	KPCG_HUMAN	0.6
EZRI_HUMAN	KAP1_HUMAN	0.6
IF4A3_HUMAN	IF4A3_HUMAN	18.16
XPO1_HUMAN	XPO1_HUMAN	10.96
XPO1_HUMAN	RAGP1_HUMAN	1.4
XPO1_HUMAN	EF2_HUMAN	0.8
XPO1_HUMAN	KAP1_HUMAN	1.44
KPCG_HUMAN	KPCG_HUMAN	7.6
RAGP1_HUMAN	RAGP1_HUMAN	27.6
KAP1_HUMAN	KAP1_HUMAN	16.0
PROF1_HUMAN	PROF1_HUMAN	6.0
