UniProtID	UniProtID	score
EFTU_HUMAN	GRB2_HUMAN	0.8
EFTU_HUMAN	DLG4_HUMAN	0.64
EFTU_HUMAN	SH3G3_HUMAN	1.6
EFTU_HUMAN	ESR1_HUMAN	2.4000000000000004
EFTU_HUMAN	CTNB1_HUMAN	0.64
EFTU_HUMAN	LNX1_HUMAN	0.64
EFTU_HUMAN	ACK1_HUMAN	1.6
EFTU_HUMAN	PABP1_HUMAN	0.8
EFTU_HUMAN	RHBD2_HUMAN	0.8
EFTU_HUMAN	YAP1_HUMAN	1.6
EFTU_HUMAN	RM43_HUMAN	0.8
EFTU_HUMAN	CLH1_HUMAN	0.8
EFTU_HUMAN	MLP3B_HUMAN	0.8
EFTU_HUMAN	MLP3A_HUMAN	0.8
EFTU_HUMAN	HNRL1_HUMAN	0.8
EFTU_HUMAN	GBRAP_HUMAN	0.8
EFTU_HUMAN	SYCM_HUMAN	0.8
EFTU_HUMAN	GBRL2_HUMAN	0.8
EFTU_HUMAN	RM49_HUMAN	0.8
EFTU_HUMAN	NPM_HUMAN	0.8
EFTU_HUMAN	TERA_HUMAN	0.8
EFTU_HUMAN	RAF1_HUMAN	0.8
EFTU_HUMAN	NFS1_HUMAN	0.8
EFTU_HUMAN	HNRPR_HUMAN	0.8
EFTU_HUMAN	CKAP5_HUMAN	1.28
EFTU_HUMAN	PRAX_HUMAN	1.6
EFTU_HUMAN	DKKL1_HUMAN	2.4000000000000004
EFTU_HUMAN	CUL7_HUMAN	0.8
EFTU_HUMAN	BRD4_HUMAN	1.6
EFTU_HUMAN	HDAC6_HUMAN	0.8
EFTU_HUMAN	ECT2_HUMAN	0.8
EFTU_HUMAN	ASXL1_HUMAN	0.8
EFTU_HUMAN	KCNQ1_HUMAN	0.64
EFTU_HUMAN	RIT1_HUMAN	0.8
EFTU_HUMAN	F16P1_HUMAN	0.8
EFTU_HUMAN	A4_HUMAN	0.8
EFTU_HUMAN	TAU_HUMAN	2.08
EFTU_HUMAN	MK03_HUMAN	0.64
EFTU_HUMAN	MK01_HUMAN	0.64
EFTU_HUMAN	BAG1_HUMAN	0.8
EFTU_HUMAN	HSP7C_HUMAN	2.4000000000000004
EFTU_HUMAN	HS90B_HUMAN	0.8
EFTU_HUMAN	1433Z_HUMAN	1.28
EFTU_HUMAN	ARAF_HUMAN	0.8
EFTU_HUMAN	GAB1_HUMAN	1.6
EFTU_HUMAN	PTBP1_HUMAN	0.8
EFTU_HUMAN	PRC1_HUMAN	0.8
EFTU_HUMAN	DPOG1_HUMAN	0.8
EFTU_HUMAN	FGD5_HUMAN	0.8
EFTU_HUMAN	EZH2_HUMAN	0.8
EFTU_HUMAN	MPPA_HUMAN	0.8
EFTU_HUMAN	SNW1_HUMAN	0.8
EFTU_HUMAN	RS6_HUMAN	0.8
EFTU_HUMAN	FMNL1_HUMAN	0.8
EFTU_HUMAN	HCD2_HUMAN	0.8
EFTU_HUMAN	TM10C_HUMAN	2.24
EFTU_HUMAN	PCBP1_HUMAN	1.6
EFTU_HUMAN	PSN1_HUMAN	0.64
EFTU_HUMAN	HD_HUMAN	0.64
EFTU_HUMAN	YBOX1_HUMAN	0.8
EFTU_HUMAN	VAV_HUMAN	2.4000000000000004
EFTU_HUMAN	NDKB_HUMAN	0.8
EFTU_HUMAN	EGFR_HUMAN	4.0
EFTU_HUMAN	HS90A_HUMAN	0.8
EFTU_HUMAN	KAP0_HUMAN	0.8
EFTU_HUMAN	LIS1_HUMAN	0.8
EFTU_HUMAN	MAP1B_HUMAN	0.8
