UniProtID	UniProtID	score
ELAV4_HUMAN	HNRPQ_HUMAN	0.8
ELAV4_HUMAN	STAU1_HUMAN	0.8
ELAV4_HUMAN	FMR1_HUMAN	0.64
ELAV4_HUMAN	FXR1_HUMAN	1.28
ELAV4_HUMAN	FUS_HUMAN	0.64
ELAV4_HUMAN	HNRH1_HUMAN	0.8
ELAV4_HUMAN	UBC_HUMAN	0.64
ELAV4_HUMAN	TERA_HUMAN	1.6
ELAV4_HUMAN	SFPQ_HUMAN	0.8
ELAV4_HUMAN	NEUM_HUMAN	0.64
ELAV4_HUMAN	SC6A4_HUMAN	0.64
HNRPQ_HUMAN	STAU1_HUMAN	3.04
HNRPQ_HUMAN	FMR1_HUMAN	0.8
HNRPQ_HUMAN	FUS_HUMAN	4.319999999999999
HNRPQ_HUMAN	HNRH1_HUMAN	2.8400000000000003
HNRPQ_HUMAN	UBC_HUMAN	0.8
HNRPQ_HUMAN	SFPQ_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	FMR1_HUMAN	3.2
STAU1_HUMAN	FXR1_HUMAN	0.8
STAU1_HUMAN	HNRH1_HUMAN	1.44
STAU1_HUMAN	SFPQ_HUMAN	0.8
FMR1_HUMAN	FMR1_HUMAN	29.6
FMR1_HUMAN	FXR1_HUMAN	16.280000000000005
FMR1_HUMAN	FUS_HUMAN	0.8
FMR1_HUMAN	UBC_HUMAN	0.8
FMR1_HUMAN	SFPQ_HUMAN	1.6
FXR1_HUMAN	FXR1_HUMAN	4.0
FXR1_HUMAN	FUS_HUMAN	0.8
FXR1_HUMAN	HNRH1_HUMAN	0.8
FXR1_HUMAN	SFPQ_HUMAN	0.8
FXR1_HUMAN	SC6A4_HUMAN	0.64
FUS_HUMAN	FUS_HUMAN	112.4
FUS_HUMAN	HNRH1_HUMAN	8.28
FUS_HUMAN	UBC_HUMAN	0.8
FUS_HUMAN	TERA_HUMAN	2.2
FUS_HUMAN	SFPQ_HUMAN	6.079999999999999
HNRH1_HUMAN	HNRH1_HUMAN	16.560000000000002
HNRH1_HUMAN	UBC_HUMAN	0.8
HNRH1_HUMAN	TERA_HUMAN	0.8
HNRH1_HUMAN	SFPQ_HUMAN	1.4
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	TERA_HUMAN	13.56
UBC_HUMAN	SFPQ_HUMAN	3.2
UBC_HUMAN	NEUM_HUMAN	0.64
TERA_HUMAN	TERA_HUMAN	566.4000000000001
SFPQ_HUMAN	SFPQ_HUMAN	15.2
SC6A4_HUMAN	SC6A4_HUMAN	1.28
