UniProtID	UniProtID	score
EXC6B_HUMAN	EXOC4_HUMAN	4.8
EXC6B_HUMAN	DTBP1_HUMAN	2.4000000000000004
EXC6B_HUMAN	TRI25_HUMAN	0.8
EXC6B_HUMAN	ASAP1_HUMAN	0.8
EXC6B_HUMAN	CDK7_HUMAN	0.8
EXC6B_HUMAN	RB11A_HUMAN	0.8
EXC6B_HUMAN	EGFR_HUMAN	0.8
EXC6B_HUMAN	RS20_HUMAN	0.8
EXC6B_HUMAN	FAK2_HUMAN	0.8
EXC6B_HUMAN	EFNB1_HUMAN	0.8
EXC6B_HUMAN	SMAD4_HUMAN	0.8
EXC6B_HUMAN	HNRPL_HUMAN	0.8
EXC6B_HUMAN	EXOC5_HUMAN	8.799999999999999
EXC6B_HUMAN	EXOC1_HUMAN	4.0
EXC6B_HUMAN	EXOC7_HUMAN	5.6
EXC6B_HUMAN	CAZA2_HUMAN	0.8
EXC6B_HUMAN	NTRK1_HUMAN	0.8
EXC6B_HUMAN	EXOC3_HUMAN	3.2
EXC6B_HUMAN	EFHD1_HUMAN	0.8
EXC6B_HUMAN	RFA2_HUMAN	0.8
EXC6B_HUMAN	RFA3_HUMAN	0.8
EXC6B_HUMAN	IFT20_HUMAN	0.8
EXC6B_HUMAN	EXOC2_HUMAN	3.2
EXC6B_HUMAN	LURA1_HUMAN	0.8
EXC6B_HUMAN	EXOC8_HUMAN	6.3999999999999995
EXC6B_HUMAN	MTEF1_HUMAN	1.6
EXC6B_HUMAN	FTM_HUMAN	0.64
EXC6B_HUMAN	EXOC6_HUMAN	2.4000000000000004
EXC6B_HUMAN	RMD1_HUMAN	0.8
EXC6B_HUMAN	SHOT1_HUMAN	0.8
EXC6B_HUMAN	UBA6_HUMAN	0.8
EXC6B_HUMAN	VIR_HUMAN	0.8
EXC6B_HUMAN	CMTR1_HUMAN	0.8
EXC6B_HUMAN	F234A_HUMAN	0.8
EXC6B_HUMAN	GLPA_HUMAN	0.8
EXC6B_HUMAN	EPHA1_HUMAN	1.6
EXC6B_HUMAN	KXDL1_HUMAN	0.8
EXC6B_HUMAN	IL1R2_HUMAN	1.6
EXC6B_HUMAN	CAH14_HUMAN	2.4000000000000004
EXC6B_HUMAN	FCGRN_HUMAN	0.8
EXC6B_HUMAN	SCN2B_HUMAN	1.6
EXC6B_HUMAN	PKHA4_HUMAN	0.8
EXC6B_HUMAN	CC018_HUMAN	0.8
EXC6B_HUMAN	TRI67_HUMAN	0.8
