UniProtID	UniProtID	score
FAS_HUMAN	GRB2_HUMAN	0.8
FAS_HUMAN	PLCG1_HUMAN	0.8
FAS_HUMAN	ESR1_HUMAN	0.8
FAS_HUMAN	DNM1L_HUMAN	3.2
FAS_HUMAN	IF4B_HUMAN	1.6
FAS_HUMAN	SYUA_HUMAN	1.6
FAS_HUMAN	RPR1B_HUMAN	0.8
FAS_HUMAN	LNX1_HUMAN	3.2
FAS_HUMAN	DCNL1_HUMAN	1.6
FAS_HUMAN	WNK1_HUMAN	0.8
FAS_HUMAN	PABP1_HUMAN	0.8
FAS_HUMAN	BICRA_HUMAN	0.8
FAS_HUMAN	MAML2_HUMAN	0.8
FAS_HUMAN	P63_HUMAN	0.8
FAS_HUMAN	YAP1_HUMAN	3.8400000000000007
FAS_HUMAN	DCTN1_HUMAN	0.8
FAS_HUMAN	DUX4_HUMAN	2.4000000000000004
FAS_HUMAN	P3C2B_HUMAN	0.8
FAS_HUMAN	ARRB2_HUMAN	1.6
FAS_HUMAN	SCC4_HUMAN	0.8
FAS_HUMAN	P53_HUMAN	0.8
FAS_HUMAN	KEAP1_HUMAN	0.8
FAS_HUMAN	PDC6I_HUMAN	0.8
FAS_HUMAN	TS101_HUMAN	1.44
FAS_HUMAN	YLPM1_HUMAN	0.8
FAS_HUMAN	MLP3B_HUMAN	2.4000000000000004
FAS_HUMAN	MLP3A_HUMAN	0.8
FAS_HUMAN	PCNT_HUMAN	0.8
FAS_HUMAN	SP1_HUMAN	0.8
FAS_HUMAN	SQSTM_HUMAN	0.8
FAS_HUMAN	AP2M1_HUMAN	0.8
FAS_HUMAN	GBRAP_HUMAN	0.8
FAS_HUMAN	GBRL1_HUMAN	0.8
FAS_HUMAN	NPM_HUMAN	0.8
FAS_HUMAN	ATX3_HUMAN	0.8
FAS_HUMAN	RAF1_HUMAN	1.6
FAS_HUMAN	PEBP1_HUMAN	1.6
FAS_HUMAN	HNRPR_HUMAN	0.8
FAS_HUMAN	FLNC_HUMAN	0.8
FAS_HUMAN	SNX8_HUMAN	3.8
FAS_HUMAN	RIN3_HUMAN	1.6
FAS_HUMAN	BRPF3_HUMAN	0.8
FAS_HUMAN	CUL7_HUMAN	0.8
FAS_HUMAN	FLNA_HUMAN	1.6
FAS_HUMAN	BRD4_HUMAN	2.4000000000000004
FAS_HUMAN	FLNB_HUMAN	0.8
FAS_HUMAN	RL13_HUMAN	0.8
FAS_HUMAN	HDAC6_HUMAN	1.6
FAS_HUMAN	ECT2_HUMAN	0.8
FAS_HUMAN	ASXL1_HUMAN	0.8
FAS_HUMAN	UGPA_HUMAN	0.8
FAS_HUMAN	EHMT2_HUMAN	0.8
FAS_HUMAN	SMRD1_HUMAN	0.8
FAS_HUMAN	FUBP2_HUMAN	0.8
FAS_HUMAN	KCNQ1_HUMAN	0.64
FAS_HUMAN	MAP4_HUMAN	0.8
FAS_HUMAN	TAU_HUMAN	0.64
FAS_HUMAN	MK03_HUMAN	1
FAS_HUMAN	ARRB1_HUMAN	2.4000000000000004
FAS_HUMAN	HSP7C_HUMAN	2.4000000000000004
FAS_HUMAN	HS90B_HUMAN	1.6
FAS_HUMAN	1433Z_HUMAN	0.8
FAS_HUMAN	HEAT1_HUMAN	1.6
FAS_HUMAN	UBF1_HUMAN	0.8
FAS_HUMAN	MBTP1_HUMAN	0.8
FAS_HUMAN	PTN1_HUMAN	0.8
FAS_HUMAN	PRC1_HUMAN	0.8
FAS_HUMAN	DIAP3_HUMAN	0.8
FAS_HUMAN	FGD5_HUMAN	0.8
FAS_HUMAN	ZBT40_HUMAN	0.8
FAS_HUMAN	DERL2_HUMAN	0.8
FAS_HUMAN	IRF7_HUMAN	1.6
FAS_HUMAN	ADCK5_HUMAN	0.8
FAS_HUMAN	RYBP_HUMAN	0.8
FAS_HUMAN	EZH2_HUMAN	1.6
FAS_HUMAN	RBM26_HUMAN	0.8
FAS_HUMAN	REPI1_HUMAN	0.8
FAS_HUMAN	ZN622_HUMAN	0.8
