UniProtID	UniProtID	score
FBX2_HUMAN	DLG4_HUMAN	0.64
FBX2_HUMAN	SNX9_HUMAN	0.8
FBX2_HUMAN	SYUA_HUMAN	1.6
FBX2_HUMAN	NECT3_HUMAN	2.4000000000000004
FBX2_HUMAN	MET_HUMAN	0.8
FBX2_HUMAN	AGRA3_HUMAN	0.8
FBX2_HUMAN	NEDD8_HUMAN	0.8
FBX2_HUMAN	ADA10_HUMAN	0.8
FBX2_HUMAN	ADAM9_HUMAN	0.8
FBX2_HUMAN	TRI25_HUMAN	0.8
FBX2_HUMAN	MGRN1_HUMAN	1.6
FBX2_HUMAN	TERA_HUMAN	3.44
FBX2_HUMAN	RAF1_HUMAN	0.8
FBX2_HUMAN	NFS1_HUMAN	0.8
FBX2_HUMAN	CNTP1_HUMAN	0.8
FBX2_HUMAN	SELN_HUMAN	0.8
FBX2_HUMAN	GNS_HUMAN	0.8
FBX2_HUMAN	NOTC3_HUMAN	0.8
FBX2_HUMAN	CELR3_HUMAN	0.8
FBX2_HUMAN	FETUA_HUMAN	3.64
FBX2_HUMAN	LRP2_HUMAN	0.8
FBX2_HUMAN	DLGP1_HUMAN	1.92
FBX2_HUMAN	CUL7_HUMAN	1
FBX2_HUMAN	DAG1_HUMAN	0.8
FBX2_HUMAN	LEPR_HUMAN	0.8
FBX2_HUMAN	TAU_HUMAN	1.6
FBX2_HUMAN	PTPRJ_HUMAN	0.8
FBX2_HUMAN	CAHD1_HUMAN	0.8
FBX2_HUMAN	PRELP_HUMAN	0.8
FBX2_HUMAN	ENPP1_HUMAN	0.8
FBX2_HUMAN	CLN5_HUMAN	0.8
FBX2_HUMAN	FRAS1_HUMAN	0.8
FBX2_HUMAN	FGFR1_HUMAN	0.8
FBX2_HUMAN	IGF1R_HUMAN	0.8
FBX2_HUMAN	ITB1_HUMAN	3.8
FBX2_HUMAN	PP1A_HUMAN	2.4000000000000004
FBX2_HUMAN	MPRI_HUMAN	0.8
FBX2_HUMAN	INSR_HUMAN	0.8
FBX2_HUMAN	EGFR_HUMAN	0.8
FBX2_HUMAN	ADA23_HUMAN	0.8
FBX2_HUMAN	UBB_HUMAN	0.8
FBX2_HUMAN	PLXA2_HUMAN	0.8
FBX2_HUMAN	CEMIP_HUMAN	0.8
FBX2_HUMAN	SEM6A_HUMAN	0.8
FBX2_HUMAN	NOMO1_HUMAN	0.8
FBX2_HUMAN	KAT7_HUMAN	0.8
FBX2_HUMAN	BMP1_HUMAN	0.8
FBX2_HUMAN	JAG1_HUMAN	0.8
FBX2_HUMAN	LAMA5_HUMAN	0.8
FBX2_HUMAN	SUSD1_HUMAN	0.8
FBX2_HUMAN	CSPG4_HUMAN	0.8
FBX2_HUMAN	MUC18_HUMAN	0.8
