UniProtID	UniProtID	score
FLII_HUMAN	TRI37_HUMAN	0.8
FLII_HUMAN	STAU1_HUMAN	0.8
FLII_HUMAN	FLNA_HUMAN	1.6
FLII_HUMAN	AKT1_HUMAN	0.8
FLII_HUMAN	PP1A_HUMAN	0.8
FLII_HUMAN	LCK_HUMAN	0.8
FLII_HUMAN	CTNB1_HUMAN	0.8
FLII_HUMAN	FMNL1_HUMAN	0.8
FLII_HUMAN	HNRPM_HUMAN	0.8
FLII_HUMAN	IF4A3_HUMAN	0.8
FLII_HUMAN	RL27_HUMAN	0.8
FLII_HUMAN	TMOD1_HUMAN	3.2
FLII_HUMAN	DREB_HUMAN	1.6
FLII_HUMAN	MARE1_HUMAN	1.28
FLII_HUMAN	MYO1C_HUMAN	2.8800000000000003
FLII_HUMAN	FLOT2_HUMAN	1.28
FLII_HUMAN	CHM4B_HUMAN	0.8
FLII_HUMAN	CAZA2_HUMAN	1.6
FLII_HUMAN	HSP7C_HUMAN	0.8
FLII_HUMAN	LIMA1_HUMAN	1.28
FLII_HUMAN	TBG1_HUMAN	1.6
FLII_HUMAN	PPP5_HUMAN	1.6
FLII_HUMAN	KCC2B_HUMAN	0.8
FLII_HUMAN	RGS14_HUMAN	0.64
FLII_HUMAN	MYO5C_HUMAN	1.6
FLII_HUMAN	MYD88_HUMAN	2.64
FLII_HUMAN	ODO2_HUMAN	1.6
FLII_HUMAN	KCC2D_HUMAN	4.64
FLII_HUMAN	COR1C_HUMAN	1.28
FLII_HUMAN	MYH9_HUMAN	5.119999999999999
FLII_HUMAN	GRB2_HUMAN	0.8
FLII_HUMAN	MYH10_HUMAN	1.28
FLII_HUMAN	DGCR8_HUMAN	0.8
FLII_HUMAN	ACTB_HUMAN	2.08
FLII_HUMAN	TPM1_HUMAN	1.28
FLII_HUMAN	LTOR1_HUMAN	0.8
FLII_HUMAN	PRKDC_HUMAN	0.8
FLII_HUMAN	MY18A_HUMAN	1.6
FLII_HUMAN	DISC1_HUMAN	1.6
FLII_HUMAN	PP1G_HUMAN	2.4000000000000004
FLII_HUMAN	AKAP1_HUMAN	0.8
FLII_HUMAN	FLOT1_HUMAN	1.28
FLII_HUMAN	PP1B_HUMAN	2.8800000000000003
FLII_HUMAN	SYNPO_HUMAN	1.6
FLII_HUMAN	DDX1_HUMAN	0.8
FLII_HUMAN	DC1I2_HUMAN	0.8
FLII_HUMAN	IQGA1_HUMAN	1.6
FLII_HUMAN	HS90A_HUMAN	3.2
FLII_HUMAN	RASK_HUMAN	0.8
FLII_HUMAN	ARP3_HUMAN	0.8
FLII_HUMAN	ALK_HUMAN	0.8
FLII_HUMAN	GRIP1_HUMAN	1.0
FLII_HUMAN	SC6A4_HUMAN	0.64
FLII_HUMAN	PROF1_HUMAN	0.8
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	STAU1_HUMAN	0.8
TRI37_HUMAN	CTNB1_HUMAN	1.0
TRI37_HUMAN	RL27_HUMAN	0.8
TRI37_HUMAN	DREB_HUMAN	0.8
TRI37_HUMAN	MYO1C_HUMAN	0.8
TRI37_HUMAN	HSP7C_HUMAN	1.6
TRI37_HUMAN	LIMA1_HUMAN	0.8
TRI37_HUMAN	MYO5C_HUMAN	0.8
TRI37_HUMAN	COR1C_HUMAN	0.8
TRI37_HUMAN	MYH9_HUMAN	0.8
TRI37_HUMAN	MYH10_HUMAN	0.8
TRI37_HUMAN	ACTB_HUMAN	0.8
TRI37_HUMAN	TPM1_HUMAN	0.8
TRI37_HUMAN	PRKDC_HUMAN	0.8
TRI37_HUMAN	MY18A_HUMAN	0.8
TRI37_HUMAN	DISC1_HUMAN	0.8
TRI37_HUMAN	PP1G_HUMAN	0.8
TRI37_HUMAN	IQGA1_HUMAN	0.8
TRI37_HUMAN	HS90A_HUMAN	1.6
TRI37_HUMAN	ARP3_HUMAN	0.8
TRI37_HUMAN	PROF1_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	FLNA_HUMAN	0.8
STAU1_HUMAN	PP1A_HUMAN	5.6
STAU1_HUMAN	CTNB1_HUMAN	0.8
STAU1_HUMAN	HNRPM_HUMAN	1.6
STAU1_HUMAN	IF4A3_HUMAN	1.6
STAU1_HUMAN	RL27_HUMAN	0.8
STAU1_HUMAN	MYO1C_HUMAN	0.8
STAU1_HUMAN	HSP7C_HUMAN	2.4000000000000004
STAU1_HUMAN	MYH10_HUMAN	0.8
STAU1_HUMAN	ACTB_HUMAN	2.24
STAU1_HUMAN	PRKDC_HUMAN	0.8
STAU1_HUMAN	PP1G_HUMAN	0.8
STAU1_HUMAN	SYNPO_HUMAN	0.8
STAU1_HUMAN	DDX1_HUMAN	1.44
STAU1_HUMAN	IQGA1_HUMAN	4.64
FLNA_HUMAN	FLNA_HUMAN	42.0
FLNA_HUMAN	PP1A_HUMAN	1.6
FLNA_HUMAN	TMOD1_HUMAN	1.6
FLNA_HUMAN	DREB_HUMAN	3.2
FLNA_HUMAN	MARE1_HUMAN	0.8
FLNA_HUMAN	MYO1C_HUMAN	2.24
FLNA_HUMAN	FLOT2_HUMAN	2.24
FLNA_HUMAN	CHM4B_HUMAN	2.4000000000000004
FLNA_HUMAN	CAZA2_HUMAN	2.4000000000000004
FLNA_HUMAN	LIMA1_HUMAN	3.0400000000000005
FLNA_HUMAN	KCC2B_HUMAN	0.6
FLNA_HUMAN	MYO5C_HUMAN	2.4000000000000004
FLNA_HUMAN	KCC2D_HUMAN	0.6
FLNA_HUMAN	COR1C_HUMAN	2.24
FLNA_HUMAN	MYH9_HUMAN	2.24
FLNA_HUMAN	GRB2_HUMAN	2.4000000000000004
FLNA_HUMAN	MYH10_HUMAN	0.64
FLNA_HUMAN	ACTB_HUMAN	2.24
FLNA_HUMAN	TPM1_HUMAN	1.44
FLNA_HUMAN	PRKDC_HUMAN	1.0
