UniProtID	UniProtID	score
FMNL1_HUMAN	HS71A_HUMAN	0.8
FMNL1_HUMAN	GAS7_HUMAN	1.6
FMNL1_HUMAN	CAP1_HUMAN	0.8
FMNL1_HUMAN	FMNL1_HUMAN	3.6
FMNL1_HUMAN	FMNL2_HUMAN	0.64
FMNL1_HUMAN	RAC1_HUMAN	2.6
FMNL1_HUMAN	BIP_HUMAN	0.8
FMNL1_HUMAN	ACTG_HUMAN	0.6
FMNL1_HUMAN	MYPT1_HUMAN	0.8
FMNL1_HUMAN	NPM_HUMAN	0.8
FMNL1_HUMAN	TBK1_HUMAN	1.6
FMNL1_HUMAN	RL11_HUMAN	0.8
FMNL1_HUMAN	LIMA1_HUMAN	0.8
FMNL1_HUMAN	VDAC1_HUMAN	0.8
FMNL1_HUMAN	TBG1_HUMAN	0.64
FMNL1_HUMAN	A16L1_HUMAN	1.44
FMNL1_HUMAN	GRD2I_HUMAN	0.64
FMNL1_HUMAN	COR1A_HUMAN	0.8
FMNL1_HUMAN	COR1C_HUMAN	0.8
FMNL1_HUMAN	MIC19_HUMAN	0.8
FMNL1_HUMAN	SRPK2_HUMAN	0.8
FMNL1_HUMAN	DAAM1_HUMAN	0.64
FMNL1_HUMAN	ATD3A_HUMAN	0.8
FMNL1_HUMAN	AHNK_HUMAN	2.4000000000000004
FMNL1_HUMAN	A4_HUMAN	0.8
FMNL1_HUMAN	DAAM2_HUMAN	0.64
FMNL1_HUMAN	STOM_HUMAN	0.8
FMNL1_HUMAN	LMO7_HUMAN	0.8
FMNL1_HUMAN	PROF2_HUMAN	2.6
FMNL1_HUMAN	EFTU_HUMAN	0.8
FMNL1_HUMAN	HS71B_HUMAN	0.8
FMNL1_HUMAN	SRGP2_HUMAN	4.3999999999999995
FMNL1_HUMAN	ENPL_HUMAN	0.8
FMNL1_HUMAN	1433B_HUMAN	0.64
FMNL1_HUMAN	FGD4_HUMAN	0.64
FMNL1_HUMAN	PLEC_HUMAN	0.8
FMNL1_HUMAN	ACTN4_HUMAN	0.8
FMNL1_HUMAN	MITOS_HUMAN	0.8
FMNL1_HUMAN	CDC42_HUMAN	2.6
FMNL1_HUMAN	PHB2_HUMAN	0.8
FMNL1_HUMAN	MTCH2_HUMAN	0.8
FMNL1_HUMAN	FLII_HUMAN	0.8
FMNL1_HUMAN	PARP1_HUMAN	0.8
FMNL1_HUMAN	FMNL3_HUMAN	1.44
FMNL1_HUMAN	PROF1_HUMAN	2.6
HS71A_HUMAN	HS71A_HUMAN	40.2
HS71A_HUMAN	BIP_HUMAN	3.8000000000000003
HS71A_HUMAN	NPM_HUMAN	0.8
HS71A_HUMAN	TBG1_HUMAN	0.8
HS71A_HUMAN	PROF2_HUMAN	0.64
HS71A_HUMAN	HS71B_HUMAN	2.2
