UniProtID	UniProtID	score
FMR1_HUMAN	UN13A_HUMAN	0.8
FMR1_HUMAN	STAU1_HUMAN	3.2
FMR1_HUMAN	CKAP5_HUMAN	0.64
FMR1_HUMAN	DLGP3_HUMAN	0.64
FMR1_HUMAN	TBB6_HUMAN	1.6
FMR1_HUMAN	SEPT7_HUMAN	0.8
FMR1_HUMAN	PP1A_HUMAN	0.64
FMR1_HUMAN	USP9X_HUMAN	0.64
FMR1_HUMAN	SNX6_HUMAN	0.8
FMR1_HUMAN	ACTZ_HUMAN	0.64
FMR1_HUMAN	ZO1_HUMAN	0.64
FMR1_HUMAN	CSKI1_HUMAN	0.64
FMR1_HUMAN	CNTN1_HUMAN	1.44
FMR1_HUMAN	ATRX_HUMAN	0.8
FMR1_HUMAN	ARF3_HUMAN	0.64
FMR1_HUMAN	SHRPN_HUMAN	0.8
FMR1_HUMAN	FMR1_HUMAN	29.6
FMR1_HUMAN	CLAP1_HUMAN	1.44
FMR1_HUMAN	2AAA_HUMAN	0.64
FMR1_HUMAN	NEDD4_HUMAN	0.64
FMR1_HUMAN	CYLD_HUMAN	0.8
FMR1_HUMAN	PICK1_HUMAN	1.6
FMR1_HUMAN	SYUA_HUMAN	0.8
FMR1_HUMAN	HOME3_HUMAN	1.44
FMR1_HUMAN	A16L1_HUMAN	0.8
FMR1_HUMAN	KCC2B_HUMAN	1.44
FMR1_HUMAN	LRSM1_HUMAN	0.64
FMR1_HUMAN	DDRGK_HUMAN	0.8
FMR1_HUMAN	WNT5A_HUMAN	1.6
FMR1_HUMAN	E41L3_HUMAN	0.8
FMR1_HUMAN	ALDOC_HUMAN	0.8
FMR1_HUMAN	RNF10_HUMAN	0.8
FMR1_HUMAN	SI1L1_HUMAN	0.8
FMR1_HUMAN	NBEA_HUMAN	0.64
FMR1_HUMAN	PRS6A_HUMAN	0.8
FMR1_HUMAN	UBP14_HUMAN	0.8
FMR1_HUMAN	DSRAD_HUMAN	1.6
FMR1_HUMAN	RL23A_HUMAN	0.8
FMR1_HUMAN	IF4G1_HUMAN	2.24
FMR1_HUMAN	TP53B_HUMAN	0.64
FMR1_HUMAN	ZC4H2_HUMAN	0.8
FMR1_HUMAN	SPTB2_HUMAN	0.64
FMR1_HUMAN	GSK3B_HUMAN	0.64
FMR1_HUMAN	PKP4_HUMAN	0.64
FMR1_HUMAN	DOCK7_HUMAN	0.64
FMR1_HUMAN	RASK_HUMAN	0.8
FMR1_HUMAN	KCC2A_HUMAN	1.44
FMR1_HUMAN	CPEB4_HUMAN	1.6
FMR1_HUMAN	ICAM5_HUMAN	0.64
FMR1_HUMAN	KALRN_HUMAN	0.8
FMR1_HUMAN	EF1D_HUMAN	0.8
FMR1_HUMAN	TRIM2_HUMAN	0.8
FMR1_HUMAN	SHLB2_HUMAN	0.8
FMR1_HUMAN	UBC_HUMAN	0.8
FMR1_HUMAN	EPS15_HUMAN	0.8
FMR1_HUMAN	SMCA1_HUMAN	0.8
FMR1_HUMAN	IF4A3_HUMAN	1.6
FMR1_HUMAN	FMNL2_HUMAN	0.8
FMR1_HUMAN	KPCB_HUMAN	1.44
FMR1_HUMAN	PDE2A_HUMAN	0.64
FMR1_HUMAN	ACTN1_HUMAN	0.8
FMR1_HUMAN	GRM5_HUMAN	0.6
FMR1_HUMAN	AGRL2_HUMAN	0.8
FMR1_HUMAN	CPSF2_HUMAN	0.64
FMR1_HUMAN	UBR4_HUMAN	0.64
FMR1_HUMAN	DLG2_HUMAN	0.64
FMR1_HUMAN	FXR1_HUMAN	16.280000000000005
FMR1_HUMAN	AINX_HUMAN	0.64
FMR1_HUMAN	DLG4_HUMAN	1.28
FMR1_HUMAN	HNRPK_HUMAN	0.8
FMR1_HUMAN	KCMA1_HUMAN	1.44
FMR1_HUMAN	TBG1_HUMAN	0.64
FMR1_HUMAN	FXR2_HUMAN	20.24000000000001
FMR1_HUMAN	PURB_HUMAN	0.64
FMR1_HUMAN	IQEC1_HUMAN	0.64
FMR1_HUMAN	GCR_HUMAN	0.8
FMR1_HUMAN	BIN1_HUMAN	0.64
FMR1_HUMAN	DP13B_HUMAN	0.8
FMR1_HUMAN	KCC2D_HUMAN	0.64
FMR1_HUMAN	AGAP2_HUMAN	1.28
FMR1_HUMAN	F1711_HUMAN	0.64
FMR1_HUMAN	BAIP2_HUMAN	0.8
FMR1_HUMAN	DLDH_HUMAN	2.4000000000000004
FMR1_HUMAN	RL10_HUMAN	0.8
FMR1_HUMAN	NSF_HUMAN	0.64
FMR1_HUMAN	ODPA_HUMAN	2.4000000000000004
FMR1_HUMAN	CUL3_HUMAN	0.8
FMR1_HUMAN	DNJA2_HUMAN	0.8
FMR1_HUMAN	UBP5_HUMAN	0.8
FMR1_HUMAN	LMTK3_HUMAN	0.64
FMR1_HUMAN	MRCKA_HUMAN	1.6
FMR1_HUMAN	SYGP1_HUMAN	0.64
FMR1_HUMAN	CLH1_HUMAN	0.8
FMR1_HUMAN	BAG3_HUMAN	0.8
FMR1_HUMAN	GIT1_HUMAN	0.64
FMR1_HUMAN	CACB4_HUMAN	0.64
FMR1_HUMAN	WDR47_HUMAN	0.64
FMR1_HUMAN	NCDN_HUMAN	0.8
FMR1_HUMAN	AP3D1_HUMAN	0.8
FMR1_HUMAN	EHMT2_HUMAN	0.64
FMR1_HUMAN	SHAN3_HUMAN	0.64
FMR1_HUMAN	CLUS_HUMAN	0.8
FMR1_HUMAN	TRIM3_HUMAN	0.64
FMR1_HUMAN	PSD11_HUMAN	0.8
FMR1_HUMAN	NFL_HUMAN	0.64
FMR1_HUMAN	DYN1_HUMAN	0.64
FMR1_HUMAN	RPGF2_HUMAN	0.64
FMR1_HUMAN	FLNA_HUMAN	0.8
FMR1_HUMAN	TNIK_HUMAN	1.28
FMR1_HUMAN	BC11A_HUMAN	0.64
FMR1_HUMAN	SPTN1_HUMAN	1.6
FMR1_HUMAN	DICER_HUMAN	0.8
FMR1_HUMAN	TRIM9_HUMAN	0.8
FMR1_HUMAN	PIPNA_HUMAN	0.8
FMR1_HUMAN	RBMX_HUMAN	0.8
FMR1_HUMAN	IMB1_HUMAN	0.64
FMR1_HUMAN	UCHL1_HUMAN	0.8
FMR1_HUMAN	C1QBP_HUMAN	1.6
FMR1_HUMAN	SYT11_HUMAN	1.44
FMR1_HUMAN	DLG1_HUMAN	0.64
FMR1_HUMAN	BIP_HUMAN	0.8
FMR1_HUMAN	EF1A2_HUMAN	1.6
FMR1_HUMAN	TBK1_HUMAN	1.6
FMR1_HUMAN	APC_HUMAN	0.64
FMR1_HUMAN	KIF5C_HUMAN	1.44
FMR1_HUMAN	RAGP1_HUMAN	0.64
FMR1_HUMAN	E41L1_HUMAN	0.8
FMR1_HUMAN	ODO2_HUMAN	2.4000000000000004
FMR1_HUMAN	STIP1_HUMAN	0.64
FMR1_HUMAN	CAND1_HUMAN	0.8
FMR1_HUMAN	FUS_HUMAN	0.8
FMR1_HUMAN	VIGLN_HUMAN	0.8
FMR1_HUMAN	SRPK2_HUMAN	0.64
FMR1_HUMAN	PCCA_HUMAN	0.8
FMR1_HUMAN	SKT_HUMAN	0.64
FMR1_HUMAN	ARHG2_HUMAN	0.64
