UniProtID	UniProtID	score
FPPS_HUMAN	GPX1_HUMAN	0.8
FPPS_HUMAN	G6PD_HUMAN	0.8
FPPS_HUMAN	FAS_HUMAN	0.64
FPPS_HUMAN	IGF1R_HUMAN	0.8
FPPS_HUMAN	SC31A_HUMAN	0.8
FPPS_HUMAN	HNRH1_HUMAN	0.8
FPPS_HUMAN	2AAA_HUMAN	0.8
FPPS_HUMAN	HSP7C_HUMAN	1.6
FPPS_HUMAN	VATG1_HUMAN	0.8
FPPS_HUMAN	NDKB_HUMAN	1.44
FPPS_HUMAN	ROA1_HUMAN	0.8
FPPS_HUMAN	PSA_HUMAN	0.8
FPPS_HUMAN	TRPV1_HUMAN	0.64
FPPS_HUMAN	THIL_HUMAN	0.6
FPPS_HUMAN	ROA3_HUMAN	0.8
FPPS_HUMAN	GRB2_HUMAN	1.6
FPPS_HUMAN	NDKA_HUMAN	1.44
FPPS_HUMAN	BASP1_HUMAN	0.8
FPPS_HUMAN	PRIO_HUMAN	2.4000000000000004
FPPS_HUMAN	TALDO_HUMAN	1.44
FPPS_HUMAN	ABHGA_HUMAN	3.2
FPPS_HUMAN	PABP1_HUMAN	0.8
FPPS_HUMAN	VPS29_HUMAN	0.8
FPPS_HUMAN	SND1_HUMAN	0.6
FPPS_HUMAN	PMVK_HUMAN	2.04
FPPS_HUMAN	AIFM3_HUMAN	0.8
FPPS_HUMAN	FPPS_HUMAN	175.6
FPPS_HUMAN	RIR1_HUMAN	0.8
FPPS_HUMAN	XPO1_HUMAN	1.6
FPPS_HUMAN	TS101_HUMAN	1.44
FPPS_HUMAN	RASK_HUMAN	0.8
FPPS_HUMAN	WDR7_HUMAN	0.8
GPX1_HUMAN	GPX1_HUMAN	12.0
GPX1_HUMAN	PRIO_HUMAN	2.4000000000000004
G6PD_HUMAN	G6PD_HUMAN	111.2
G6PD_HUMAN	GRB2_HUMAN	1.6
G6PD_HUMAN	TALDO_HUMAN	0.6
G6PD_HUMAN	XPO1_HUMAN	0.8
FAS_HUMAN	FAS_HUMAN	74.80000000000001
FAS_HUMAN	HSP7C_HUMAN	0.8
FAS_HUMAN	ROA1_HUMAN	0.8
FAS_HUMAN	GRB2_HUMAN	0.8
FAS_HUMAN	NDKA_HUMAN	2.4000000000000004
FAS_HUMAN	XPO1_HUMAN	0.8
FAS_HUMAN	TS101_HUMAN	1.44
IGF1R_HUMAN	IGF1R_HUMAN	199.6
IGF1R_HUMAN	SC31A_HUMAN	0.8
IGF1R_HUMAN	HSP7C_HUMAN	0.8
IGF1R_HUMAN	RASK_HUMAN	1.6
SC31A_HUMAN	HSP7C_HUMAN	0.8
SC31A_HUMAN	ROA1_HUMAN	0.8
SC31A_HUMAN	PRIO_HUMAN	0.8
SC31A_HUMAN	XPO1_HUMAN	1.44
HNRH1_HUMAN	HNRH1_HUMAN	16.560000000000002
HNRH1_HUMAN	HSP7C_HUMAN	0.6
HNRH1_HUMAN	ROA1_HUMAN	10.04
HNRH1_HUMAN	TRPV1_HUMAN	1.44
HNRH1_HUMAN	ROA3_HUMAN	3.6400000000000006
HNRH1_HUMAN	GRB2_HUMAN	1.6
HNRH1_HUMAN	NDKA_HUMAN	0.8
HNRH1_HUMAN	BASP1_HUMAN	1.6
HNRH1_HUMAN	PABP1_HUMAN	0.64
HNRH1_HUMAN	XPO1_HUMAN	0.8
2AAA_HUMAN	2AAA_HUMAN	22.16
2AAA_HUMAN	HSP7C_HUMAN	0.8
2AAA_HUMAN	NDKB_HUMAN	0.8
2AAA_HUMAN	ROA1_HUMAN	0.8
2AAA_HUMAN	PRIO_HUMAN	1.6
2AAA_HUMAN	PABP1_HUMAN	0.6
2AAA_HUMAN	XPO1_HUMAN	0.6
2AAA_HUMAN	RASK_HUMAN	0.6
2AAA_HUMAN	WDR7_HUMAN	0.8
HSP7C_HUMAN	HSP7C_HUMAN	64.88000000000001
HSP7C_HUMAN	NDKB_HUMAN	0.8
HSP7C_HUMAN	ROA1_HUMAN	1.4
HSP7C_HUMAN	PSA_HUMAN	0.8
HSP7C_HUMAN	THIL_HUMAN	0.8
HSP7C_HUMAN	ROA3_HUMAN	1.4
HSP7C_HUMAN	GRB2_HUMAN	4.8
HSP7C_HUMAN	NDKA_HUMAN	2.4000000000000004
HSP7C_HUMAN	PABP1_HUMAN	2.8400000000000003
HSP7C_HUMAN	RASK_HUMAN	0.8
VATG1_HUMAN	RASK_HUMAN	0.8
VATG1_HUMAN	WDR7_HUMAN	0.8
NDKB_HUMAN	NDKB_HUMAN	128.8
NDKB_HUMAN	NDKA_HUMAN	8.84
NDKB_HUMAN	TALDO_HUMAN	1.44
ROA1_HUMAN	ROA1_HUMAN	51.2
ROA1_HUMAN	ROA3_HUMAN	6.679999999999999
ROA1_HUMAN	GRB2_HUMAN	0.8
ROA1_HUMAN	PABP1_HUMAN	3.8000000000000003
ROA1_HUMAN	XPO1_HUMAN	1.44
TRPV1_HUMAN	TRPV1_HUMAN	93.67999999999984
TRPV1_HUMAN	SND1_HUMAN	0.64
THIL_HUMAN	THIL_HUMAN	84.0
ROA3_HUMAN	PRIO_HUMAN	1.6
ROA3_HUMAN	PABP1_HUMAN	1.44
GRB2_HUMAN	GRB2_HUMAN	275.6
GRB2_HUMAN	PRIO_HUMAN	8.799999999999999
GRB2_HUMAN	PABP1_HUMAN	1.44
GRB2_HUMAN	TS101_HUMAN	5.3999999999999995
GRB2_HUMAN	RASK_HUMAN	3.2
NDKA_HUMAN	NDKA_HUMAN	211.20000000000002
NDKA_HUMAN	RIR1_HUMAN	0.6
BASP1_HUMAN	XPO1_HUMAN	0.8
BASP1_HUMAN	RASK_HUMAN	0.8
PRIO_HUMAN	PRIO_HUMAN	461.2799999999998
PRIO_HUMAN	PABP1_HUMAN	1.6
PRIO_HUMAN	AIFM3_HUMAN	1.6
TALDO_HUMAN	TALDO_HUMAN	5.2
PABP1_HUMAN	PABP1_HUMAN	94.0
PABP1_HUMAN	SND1_HUMAN	1.28
PABP1_HUMAN	XPO1_HUMAN	1.44
PABP1_HUMAN	TS101_HUMAN	1.6
PABP1_HUMAN	RASK_HUMAN	0.8
VPS29_HUMAN	VPS29_HUMAN	16.560000000000002
SND1_HUMAN	SND1_HUMAN	22.0
SND1_HUMAN	RASK_HUMAN	0.6
PMVK_HUMAN	PMVK_HUMAN	1.6
PMVK_HUMAN	RASK_HUMAN	0.8
RIR1_HUMAN	RIR1_HUMAN	48.800000000000004
XPO1_HUMAN	XPO1_HUMAN	10.96
XPO1_HUMAN	TS101_HUMAN	2.8400000000000003
XPO1_HUMAN	RASK_HUMAN	0.8
TS101_HUMAN	TS101_HUMAN	51.76
RASK_HUMAN	RASK_HUMAN	676.0
