UniProtID	UniProtID	score
FXR2_HUMAN	TRI37_HUMAN	1.6
FXR2_HUMAN	STAU1_HUMAN	0.8
FXR2_HUMAN	CTRO_HUMAN	0.8
FXR2_HUMAN	FMR1_HUMAN	20.24000000000001
FXR2_HUMAN	DDX6_HUMAN	0.8
FXR2_HUMAN	PICK1_HUMAN	0.8
FXR2_HUMAN	SYUA_HUMAN	1.6
FXR2_HUMAN	HOME3_HUMAN	0.8
FXR2_HUMAN	KCC2B_HUMAN	0.8
FXR2_HUMAN	DDRGK_HUMAN	0.8
FXR2_HUMAN	IF4G1_HUMAN	1.8
FXR2_HUMAN	RTN3_HUMAN	1.6
FXR2_HUMAN	CPEB4_HUMAN	1.6
FXR2_HUMAN	RTN4_HUMAN	1.6
FXR2_HUMAN	EM55_HUMAN	0.8
FXR2_HUMAN	SYT6_HUMAN	1.6
FXR2_HUMAN	FXR1_HUMAN	12.440000000000001
FXR2_HUMAN	AP1M1_HUMAN	7.999999999999999
FXR2_HUMAN	VIME_HUMAN	0.8
FXR2_HUMAN	TBG1_HUMAN	1.28
FXR2_HUMAN	DDX17_HUMAN	0.8
FXR2_HUMAN	FXR2_HUMAN	10.400000000000002
FXR2_HUMAN	RS21_HUMAN	1.6
FXR2_HUMAN	GCR_HUMAN	0.8
FXR2_HUMAN	KCC2D_HUMAN	4.0
FXR2_HUMAN	AIFM1_HUMAN	0.8
FXR2_HUMAN	CUL3_HUMAN	1.6
FXR2_HUMAN	DCTN3_HUMAN	1.28
FXR2_HUMAN	DDX1_HUMAN	0.8
FXR2_HUMAN	TRIM3_HUMAN	0.8
FXR2_HUMAN	NCK2_HUMAN	1.6
FXR2_HUMAN	TNIK_HUMAN	0.64
FXR2_HUMAN	BC11A_HUMAN	0.8
FXR2_HUMAN	RBMX_HUMAN	1.6
FXR2_HUMAN	DICER_HUMAN	0.8
FXR2_HUMAN	HSPB1_HUMAN	0.8
FXR2_HUMAN	C1QBP_HUMAN	1.6
FXR2_HUMAN	GFAP_HUMAN	0.8
FXR2_HUMAN	1433F_HUMAN	1.6
FXR2_HUMAN	TBK1_HUMAN	1.6
FXR2_HUMAN	BCKD_HUMAN	0.8
FXR2_HUMAN	PUR6_HUMAN	4.8
FXR2_HUMAN	CAND1_HUMAN	1.6
FXR2_HUMAN	SKT_HUMAN	1.6
FXR2_HUMAN	SRPK2_HUMAN	4.8
FXR2_HUMAN	NDKA_HUMAN	4.0
FXR2_HUMAN	PHLB1_HUMAN	1.6
FXR2_HUMAN	YES_HUMAN	6.3999999999999995
FXR2_HUMAN	DDX3X_HUMAN	0.8
FXR2_HUMAN	CYFP2_HUMAN	1.0
FXR2_HUMAN	PCBP1_HUMAN	0.8
FXR2_HUMAN	SNP23_HUMAN	1.6
FXR2_HUMAN	MVP_HUMAN	0.8
FXR2_HUMAN	GPSM1_HUMAN	0.8
FXR2_HUMAN	ZN451_HUMAN	1.6
FXR2_HUMAN	CAPR1_HUMAN	3.8000000000000003
FXR2_HUMAN	KIF2A_HUMAN	0.8
FXR2_HUMAN	CSK21_HUMAN	1.6
FXR2_HUMAN	TSC1_HUMAN	0.64
FXR2_HUMAN	NDK3_HUMAN	0.8
FXR2_HUMAN	COMT_HUMAN	0.8
FXR2_HUMAN	CYFP1_HUMAN	2.6
FXR2_HUMAN	RENT1_HUMAN	0.8
FXR2_HUMAN	STRN4_HUMAN	0.8
FXR2_HUMAN	HNRPM_HUMAN	0.8
FXR2_HUMAN	T22D4_HUMAN	1.6
FXR2_HUMAN	KIF1A_HUMAN	1.6
FXR2_HUMAN	EVL_HUMAN	0.8
FXR2_HUMAN	G3BP2_HUMAN	1.6
FXR2_HUMAN	ARHG7_HUMAN	0.8
FXR2_HUMAN	CHM4B_HUMAN	0.8
FXR2_HUMAN	KCC2G_HUMAN	1.6
FXR2_HUMAN	AKAP9_HUMAN	0.8
FXR2_HUMAN	LASP1_HUMAN	3.2
FXR2_HUMAN	GOGA2_HUMAN	0.8
FXR2_HUMAN	CSK2B_HUMAN	0.8
FXR2_HUMAN	FRIH_HUMAN	3.2
FXR2_HUMAN	SFPQ_HUMAN	0.8
FXR2_HUMAN	AP2M1_HUMAN	2.4000000000000004
FXR2_HUMAN	RS20_HUMAN	0.8
FXR2_HUMAN	MYH10_HUMAN	0.8
FXR2_HUMAN	DCTN2_HUMAN	0.8
FXR2_HUMAN	CSK22_HUMAN	1.6
FXR2_HUMAN	NDEL1_HUMAN	0.8
FXR2_HUMAN	TBB3_HUMAN	0.8
FXR2_HUMAN	SNX1_HUMAN	1.6
FXR2_HUMAN	MARE3_HUMAN	0.8
FXR2_HUMAN	DYN2_HUMAN	0.8
FXR2_HUMAN	GRIP1_HUMAN	0.8
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	STAU1_HUMAN	0.8
TRI37_HUMAN	DDX6_HUMAN	3.2
TRI37_HUMAN	FXR1_HUMAN	0.8
TRI37_HUMAN	VIME_HUMAN	0.8
TRI37_HUMAN	CUL3_HUMAN	0.6
TRI37_HUMAN	RBMX_HUMAN	0.8
TRI37_HUMAN	HSPB1_HUMAN	0.8
TRI37_HUMAN	NDKA_HUMAN	0.8
TRI37_HUMAN	MVP_HUMAN	0.8
TRI37_HUMAN	KCC2G_HUMAN	0.8
TRI37_HUMAN	FRIH_HUMAN	0.8
TRI37_HUMAN	SFPQ_HUMAN	0.8
TRI37_HUMAN	RS20_HUMAN	0.8
TRI37_HUMAN	MYH10_HUMAN	0.8
TRI37_HUMAN	TBB3_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	FMR1_HUMAN	3.2
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	IF4G1_HUMAN	0.8
STAU1_HUMAN	FXR1_HUMAN	0.8
STAU1_HUMAN	VIME_HUMAN	0.8
STAU1_HUMAN	DDX17_HUMAN	3.04
STAU1_HUMAN	AIFM1_HUMAN	1.44
STAU1_HUMAN	CUL3_HUMAN	1.6
STAU1_HUMAN	DDX1_HUMAN	1.44
STAU1_HUMAN	RBMX_HUMAN	1.6
STAU1_HUMAN	DICER_HUMAN	1.6
STAU1_HUMAN	TBK1_HUMAN	0.8
STAU1_HUMAN	CAND1_HUMAN	2.4000000000000004
STAU1_HUMAN	DDX3X_HUMAN	1.6
STAU1_HUMAN	CYFP2_HUMAN	1.44
STAU1_HUMAN	PCBP1_HUMAN	2.24
STAU1_HUMAN	CAPR1_HUMAN	0.8
STAU1_HUMAN	KIF2A_HUMAN	0.8
STAU1_HUMAN	CYFP1_HUMAN	0.8
STAU1_HUMAN	RENT1_HUMAN	13.480000000000004
STAU1_HUMAN	HNRPM_HUMAN	1.6
STAU1_HUMAN	KIF1A_HUMAN	0.8
STAU1_HUMAN	G3BP2_HUMAN	0.8
STAU1_HUMAN	GOGA2_HUMAN	0.8
