UniProtID	UniProtID	score
GABR1_HUMAN	GRB2_HUMAN	0.8
GABR1_HUMAN	NCK1_HUMAN	2.4000000000000004
GABR1_HUMAN	CRK_HUMAN	0.8
GABR1_HUMAN	ABL1_HUMAN	0.8
GABR1_HUMAN	FYN_HUMAN	0.8
GABR1_HUMAN	KIF1B_HUMAN	1.44
GABR1_HUMAN	KCNJ3_HUMAN	2
GABR1_HUMAN	GRM1_HUMAN	0.8
GABR1_HUMAN	SHAN3_HUMAN	0.64
GABR1_HUMAN	P85A_HUMAN	0.8
GABR1_HUMAN	NSF_HUMAN	3
GABR1_HUMAN	GABR2_HUMAN	61.6
GABR1_HUMAN	GABR1_HUMAN	5.6
GABR1_HUMAN	A4_HUMAN	1.28
GABR1_HUMAN	SRCN1_HUMAN	0.64
GABR1_HUMAN	ALBU_HUMAN	1.6
GABR1_HUMAN	GPR37_HUMAN	3.4000000000000004
GABR1_HUMAN	RIMS1_HUMAN	0.8
GABR1_HUMAN	GGYF1_HUMAN	0.8
GABR1_HUMAN	CHFR_HUMAN	0.8
GABR1_HUMAN	BKRB1_HUMAN	1.6
GABR1_HUMAN	CCR8_HUMAN	1.6
GABR1_HUMAN	DRD2_HUMAN	1.6
GABR1_HUMAN	SMO_HUMAN	1.6
GABR1_HUMAN	MAX_HUMAN	3.2
GABR1_HUMAN	ATF5_HUMAN	1
GABR1_HUMAN	ATF4_HUMAN	3.5999999999999996
GABR1_HUMAN	CPEB2_HUMAN	0.8
GABR1_HUMAN	JKIP1_HUMAN	2.8
GABR1_HUMAN	UBC_HUMAN	1.44
GABR1_HUMAN	UBP14_HUMAN	1
GABR1_HUMAN	DDIT3_HUMAN	2
GABR1_HUMAN	KCD16_HUMAN	1
GABR1_HUMAN	GBB1_HUMAN	4
GABR1_HUMAN	GBG2_HUMAN	3
GABR1_HUMAN	CASR_HUMAN	2
GABR1_HUMAN	HNRH1_HUMAN	0.8
GABR1_HUMAN	SC6A4_HUMAN	0.64
GABR1_HUMAN	GOGA5_HUMAN	0.8
GABR1_HUMAN	MTFR1_HUMAN	0.8
GABR1_HUMAN	ZZEF1_HUMAN	0.8
GABR1_HUMAN	IASPP_HUMAN	0.8
GABR1_HUMAN	MFSD8_HUMAN	0.8
GABR1_HUMAN	TPD53_HUMAN	0.8
GABR1_HUMAN	ZDH17_HUMAN	0.8
GABR1_HUMAN	CREL1_HUMAN	0.8
GABR1_HUMAN	MTFR2_HUMAN	0.8
GABR1_HUMAN	MYPT1_HUMAN	0.8
GABR1_HUMAN	ORML2_HUMAN	0.8
GABR1_HUMAN	ORML3_HUMAN	0.8
GABR1_HUMAN	GNAO_HUMAN	1
GABR1_HUMAN	KCNJ6_HUMAN	1
GABR1_HUMAN	RGS4_HUMAN	1
GABR1_HUMAN	GBRG2_HUMAN	0.64
GABR1_HUMAN	LNP_HUMAN	0.64
GABR1_HUMAN	PTK7_HUMAN	0.64
GABR1_HUMAN	SC6A1_HUMAN	0.64
GABR1_HUMAN	SSR3_HUMAN	0.64
GABR1_HUMAN	GNAI1_HUMAN	2
