UniProtID	UniProtID	score
GAPR1_HUMAN	CBLB_HUMAN	1.92
GAPR1_HUMAN	EZH2_HUMAN	0.8
GAPR1_HUMAN	ELAV1_HUMAN	0.8
GAPR1_HUMAN	BECN1_HUMAN	1
GAPR1_HUMAN	ESR2_HUMAN	0.8
GAPR1_HUMAN	MYC_HUMAN	0.8
GAPR1_HUMAN	RGS14_HUMAN	0.64
GAPR1_HUMAN	EED_HUMAN	0.64
GAPR1_HUMAN	CAV1_HUMAN	1
GAPR1_HUMAN	HASP_HUMAN	1.6
GAPR1_HUMAN	FBX7_HUMAN	0.8
GAPR1_HUMAN	SVIL_HUMAN	0.8
GAPR1_HUMAN	ZBT18_HUMAN	0.8
GAPR1_HUMAN	HMGA2_HUMAN	0.64
GAPR1_HUMAN	VAMP5_HUMAN	1.6
GAPR1_HUMAN	PNMA5_HUMAN	0.8
GAPR1_HUMAN	KR103_HUMAN	0.8
GAPR1_HUMAN	ANR12_HUMAN	0.8
GAPR1_HUMAN	WDTC1_HUMAN	0.64
GAPR1_HUMAN	CFAD_HUMAN	0.64
GAPR1_HUMAN	FNDC5_HUMAN	0.64
GAPR1_HUMAN	TRI67_HUMAN	0.8
GAPR1_HUMAN	CDV3_HUMAN	0.8
