UniProtID	UniProtID	score
GBG7_HUMAN	UBC_HUMAN	0.64
GBG7_HUMAN	GNAI3_HUMAN	3.2
GBG7_HUMAN	GNAI2_HUMAN	2.4000000000000004
GBG7_HUMAN	GBB1_HUMAN	5.8
GBG7_HUMAN	CD81_HUMAN	0.8
GBG7_HUMAN	GNAI1_HUMAN	3.2
GBG7_HUMAN	GORS2_HUMAN	5.6
GBG7_HUMAN	GBB2_HUMAN	3.0400000000000005
GBG7_HUMAN	GNB5_HUMAN	3.8400000000000003
GBG7_HUMAN	KCNK2_HUMAN	0.8
GBG7_HUMAN	GBB4_HUMAN	1.6
GBG7_HUMAN	NUFP1_HUMAN	1.6
GBG7_HUMAN	S2541_HUMAN	3.2
GBG7_HUMAN	ITM2B_HUMAN	1.28
GBG7_HUMAN	PPA6_HUMAN	1.6
GBG7_HUMAN	MPP3_HUMAN	1.6
GBG7_HUMAN	GBB3_HUMAN	1.6
GBG7_HUMAN	RIC8B_HUMAN	0.8
GBG7_HUMAN	UIF_HUMAN	0.8
GBG7_HUMAN	GLUC_HUMAN	0.64
GBG7_HUMAN	CENPM_HUMAN	0.8
GBG7_HUMAN	KCTD2_HUMAN	0.8
GBG7_HUMAN	KCTD5_HUMAN	0.8
