UniProtID	UniProtID	score
GBRB1_HUMAN	GBRT_HUMAN	0.6
GBRB1_HUMAN	GBRB1_HUMAN	1.6
GBRB1_HUMAN	C1QBP_HUMAN	0.8
GBRB1_HUMAN	GBRB3_HUMAN	0.6
GBRB1_HUMAN	GABR2_HUMAN	0.6
GBRB1_HUMAN	NPTN_HUMAN	0.6
GBRB1_HUMAN	GBRA3_HUMAN	0.6
GBRB1_HUMAN	HSP7C_HUMAN	1.6
GBRB1_HUMAN	BIG2_HUMAN	0.8
GBRB1_HUMAN	GBRG3_HUMAN	0.6
GBRB1_HUMAN	GBRE_HUMAN	0.6
GBRB1_HUMAN	GEPH_HUMAN	0.6
GBRB1_HUMAN	GBRB2_HUMAN	0.6
GBRB1_HUMAN	GBRA5_HUMAN	0.6
GBRB1_HUMAN	GBRA2_HUMAN	1.24
GBRB1_HUMAN	KPCG_HUMAN	0.8
GBRB1_HUMAN	ARHG9_HUMAN	0.6
GBRB1_HUMAN	GBRA1_HUMAN	6.039999999999999
GBRB1_HUMAN	GBRA6_HUMAN	0.6
GBRB1_HUMAN	GBRG2_HUMAN	3.0
GBRB1_HUMAN	GBRA4_HUMAN	0.6
GBRT_HUMAN	GBRB3_HUMAN	0.6
GBRT_HUMAN	NPTN_HUMAN	0.6
GBRT_HUMAN	GBRA3_HUMAN	0.6
GBRT_HUMAN	GBRG3_HUMAN	0.6
GBRT_HUMAN	GBRB2_HUMAN	0.6
GBRT_HUMAN	GBRA5_HUMAN	0.6
GBRT_HUMAN	GBRA2_HUMAN	0.6
GBRT_HUMAN	ARHG9_HUMAN	0.6
GBRT_HUMAN	GBRA1_HUMAN	0.6
GBRT_HUMAN	GBRA6_HUMAN	0.6
GBRT_HUMAN	GBRG2_HUMAN	0.6
GBRT_HUMAN	GBRA4_HUMAN	0.6
C1QBP_HUMAN	C1QBP_HUMAN	18.0
C1QBP_HUMAN	GBRB3_HUMAN	0.8
C1QBP_HUMAN	HSP7C_HUMAN	1.44
C1QBP_HUMAN	GBRB2_HUMAN	0.8
