UniProtID	UniProtID	score
GBRD_HUMAN	GBRG1_HUMAN	0.6
GBRD_HUMAN	GBRA1_HUMAN	0.6
GBRD_HUMAN	GBRA6_HUMAN	0.6
GBRD_HUMAN	SC6A1_HUMAN	0.6
GBRD_HUMAN	RAB13_HUMAN	1.6
GBRD_HUMAN	GBRG2_HUMAN	0.6
GBRD_HUMAN	GBRA4_HUMAN	0.8
GBRG1_HUMAN	GBRA1_HUMAN	1.24
GBRG1_HUMAN	GBRG2_HUMAN	2.2
GBRA1_HUMAN	GBRA1_HUMAN	3.2800000000000002
GBRA1_HUMAN	GBRA6_HUMAN	0.6
GBRA1_HUMAN	GBRG2_HUMAN	18.64
GBRA1_HUMAN	GBRA4_HUMAN	1.24
GBRA6_HUMAN	GBRG2_HUMAN	0.6
GBRA6_HUMAN	GBRA4_HUMAN	0.6
RAB13_HUMAN	RAB13_HUMAN	4.0
GBRG2_HUMAN	GBRA4_HUMAN	0.6
