UniProtID	UniProtID	score
GBRL2_HUMAN	EF1A1_HUMAN	0.8
GBRL2_HUMAN	ERBB4_HUMAN	1.6
GBRL2_HUMAN	SPTN1_HUMAN	0.8
GBRL2_HUMAN	HNRPM_HUMAN	0.8
GBRL2_HUMAN	PABP1_HUMAN	0.8
GBRL2_HUMAN	NEDD4_HUMAN	9.04
GBRL2_HUMAN	EPN4_HUMAN	0.8
GBRL2_HUMAN	CLH1_HUMAN	0.8
GBRL2_HUMAN	P53_HUMAN	0.8
GBRL2_HUMAN	KEAP1_HUMAN	4.0
GBRL2_HUMAN	PDC6I_HUMAN	0.8
GBRL2_HUMAN	MLP3B_HUMAN	2.6
GBRL2_HUMAN	MLP3A_HUMAN	0.8
GBRL2_HUMAN	STBD1_HUMAN	4.8
GBRL2_HUMAN	SQSTM_HUMAN	38.00000000000001
GBRL2_HUMAN	ATG2A_HUMAN	1.6
GBRL2_HUMAN	T53I2_HUMAN	4.6
GBRL2_HUMAN	NEK9_HUMAN	7.999999999999999
GBRL2_HUMAN	CCPG1_HUMAN	0.8
GBRL2_HUMAN	HNRL1_HUMAN	0.8
GBRL2_HUMAN	GBRAP_HUMAN	6.239999999999999
GBRL2_HUMAN	NCOR1_HUMAN	1.6
GBRL2_HUMAN	MYPC1_HUMAN	1.6
GBRL2_HUMAN	OPTN_HUMAN	3.4000000000000004
GBRL2_HUMAN	SEC62_HUMAN	0.8
GBRL2_HUMAN	BICC1_HUMAN	1.6
GBRL2_HUMAN	AZI2_HUMAN	1.6
GBRL2_HUMAN	SYCM_HUMAN	1.6
GBRL2_HUMAN	RESF1_HUMAN	1.6
GBRL2_HUMAN	GBRL1_HUMAN	5.4399999999999995
GBRL2_HUMAN	DP13A_HUMAN	1.6
GBRL2_HUMAN	RM49_HUMAN	1.6
GBRL2_HUMAN	CDC37_HUMAN	1.6
GBRL2_HUMAN	PKHH3_HUMAN	0.8
GBRL2_HUMAN	UBE2O_HUMAN	0.8
GBRL2_HUMAN	NBR1_HUMAN	13.400000000000002
GBRL2_HUMAN	SGTA_HUMAN	1.6
GBRL2_HUMAN	AAMP_HUMAN	2.4000000000000004
GBRL2_HUMAN	ATG4B_HUMAN	16.640000000000004
GBRL2_HUMAN	KBTB7_HUMAN	4.8
GBRL2_HUMAN	ATG13_HUMAN	5.8
