UniProtID	UniProtID	score
GBRR1_HUMAN	GBRR2_HUMAN	0.6
GBRR1_HUMAN	GBRR3_HUMAN	0.6
GBRR1_HUMAN	MK03_HUMAN	0.8
GBRR1_HUMAN	CSK21_HUMAN	1.0
GBRR1_HUMAN	DNM1L_HUMAN	1.0
GBRR1_HUMAN	BCR_HUMAN	1.0
GBRR1_HUMAN	KPCG_HUMAN	0.8
GBRR1_HUMAN	GBRR1_HUMAN	2.0
GBRR1_HUMAN	CK2N1_HUMAN	0.8
GBRR2_HUMAN	GBRR3_HUMAN	0.6
MK03_HUMAN	MK03_HUMAN	18.48
MK03_HUMAN	KPCG_HUMAN	0.6
CSK21_HUMAN	CSK21_HUMAN	178.4
CSK21_HUMAN	DNM1L_HUMAN	0.64
CSK21_HUMAN	BCR_HUMAN	1.6
DNM1L_HUMAN	DNM1L_HUMAN	25.439999999999998
BCR_HUMAN	BCR_HUMAN	46.0
KPCG_HUMAN	KPCG_HUMAN	7.6
