UniProtID	UniProtID	score
GDIR1_HUMAN	PFKAM_HUMAN	0.8
GDIR1_HUMAN	PDIA3_HUMAN	0.8
GDIR1_HUMAN	ADRB2_HUMAN	1.6
GDIR1_HUMAN	UBC_HUMAN	0.64
GDIR1_HUMAN	MDHC_HUMAN	0.8
GDIR1_HUMAN	HSPB1_HUMAN	0.8
GDIR1_HUMAN	OMGP_HUMAN	0.6
GDIR1_HUMAN	RTN4_HUMAN	0.6
GDIR1_HUMAN	MAG_HUMAN	0.6
GDIR1_HUMAN	1433F_HUMAN	0.64
GDIR1_HUMAN	PLAK_HUMAN	1.6
GDIR1_HUMAN	RAC1_HUMAN	25.840000000000007
GDIR1_HUMAN	MOES_HUMAN	2.8400000000000003
GDIR1_HUMAN	FES_HUMAN	0.64
GDIR1_HUMAN	TNR16_HUMAN	2.4
GDIR1_HUMAN	MARCS_HUMAN	0.8
GDIR1_HUMAN	PSD10_HUMAN	2.0
GDIR1_HUMAN	MIRO2_HUMAN	0.6
GDIR1_HUMAN	RHOG_HUMAN	1.6
GDIR1_HUMAN	RS28_HUMAN	0.8
GDIR1_HUMAN	ROA3_HUMAN	1.6
GDIR1_HUMAN	GDIA_HUMAN	1.4
GDIR1_HUMAN	ALDOC_HUMAN	0.8
GDIR1_HUMAN	RADI_HUMAN	3.8
GDIR1_HUMAN	RHOB_HUMAN	2.8400000000000003
GDIR1_HUMAN	FUS_HUMAN	0.8
GDIR1_HUMAN	KPCA_HUMAN	0.6
GDIR1_HUMAN	RHOA_HUMAN	22.440000000000005
GDIR1_HUMAN	EZRI_HUMAN	4.239999999999999
GDIR1_HUMAN	PAK1_HUMAN	1.6
GDIR1_HUMAN	AGRIN_HUMAN	0.8
GDIR1_HUMAN	AHNK_HUMAN	0.8
GDIR1_HUMAN	UBC12_HUMAN	0.8
GDIR1_HUMAN	STOM_HUMAN	1.6
GDIR1_HUMAN	SIR2_HUMAN	1.0
GDIR1_HUMAN	SH3G3_HUMAN	1.6
GDIR1_HUMAN	CUL3_HUMAN	1.6
GDIR1_HUMAN	RAP1A_HUMAN	0.8
GDIR1_HUMAN	MIRO1_HUMAN	0.6
GDIR1_HUMAN	ALDOA_HUMAN	0.8
GDIR1_HUMAN	PFKAP_HUMAN	0.8
GDIR1_HUMAN	RB11A_HUMAN	0.8
GDIR1_HUMAN	GDIB_HUMAN	0.6
GDIR1_HUMAN	KAPCA_HUMAN	0.6
GDIR1_HUMAN	RAC2_HUMAN	2.6
GDIR1_HUMAN	CYC_HUMAN	0.8
GDIR1_HUMAN	KAPCB_HUMAN	0.6
GDIR1_HUMAN	HCD2_HUMAN	2.4000000000000004
GDIR1_HUMAN	LIGO1_HUMAN	0.6
GDIR1_HUMAN	RAC3_HUMAN	4.119999999999999
GDIR1_HUMAN	CDC42_HUMAN	12.24
GDIR1_HUMAN	ENOG_HUMAN	0.8
GDIR1_HUMAN	RASK_HUMAN	0.8
GDIR1_HUMAN	GDIR1_HUMAN	61.6
GDIR1_HUMAN	IMPA1_HUMAN	0.8
GDIR1_HUMAN	PARK7_HUMAN	0.64
PFKAM_HUMAN	PFKAM_HUMAN	9.2
PFKAM_HUMAN	UBC_HUMAN	0.8
PFKAM_HUMAN	ALDOC_HUMAN	0.6
PFKAM_HUMAN	CUL3_HUMAN	1.6
PFKAM_HUMAN	PFKAP_HUMAN	5.4399999999999995
PFKAM_HUMAN	CYC_HUMAN	0.64
PDIA3_HUMAN	PDIA3_HUMAN	12.0
PDIA3_HUMAN	1433F_HUMAN	0.64
PDIA3_HUMAN	FES_HUMAN	0.64
PDIA3_HUMAN	MARCS_HUMAN	1.6
PDIA3_HUMAN	FUS_HUMAN	0.8
PDIA3_HUMAN	AGRIN_HUMAN	1.6
PDIA3_HUMAN	UBC12_HUMAN	0.8
PDIA3_HUMAN	ALDOA_HUMAN	0.8
ADRB2_HUMAN	ADRB2_HUMAN	11.6
ADRB2_HUMAN	UBC_HUMAN	4.2
ADRB2_HUMAN	EZRI_HUMAN	0.6
