UniProtID	UniProtID	score
GHC2_HUMAN	LCK_HUMAN	2.4000000000000004
GHC2_HUMAN	RBM14_HUMAN	0.8
GHC2_HUMAN	GOPC_HUMAN	3.2
GHC2_HUMAN	SHAN3_HUMAN	0.64
GHC2_HUMAN	MP2K5_HUMAN	2.4000000000000004
GHC2_HUMAN	HSP7C_HUMAN	0.8
GHC2_HUMAN	DICER_HUMAN	0.8
GHC2_HUMAN	GRID2_HUMAN	0.64
GHC2_HUMAN	VGFR3_HUMAN	1.6
GHC2_HUMAN	CYLD_HUMAN	0.8
GHC2_HUMAN	SSR3_HUMAN	0.64
GHC2_HUMAN	VPS18_HUMAN	0.8
GHC2_HUMAN	CRTP1_HUMAN	3.2
GHC2_HUMAN	TRI32_HUMAN	0.8
GHC2_HUMAN	TNIP1_HUMAN	0.8
GHC2_HUMAN	CH60_HUMAN	0.8
GHC2_HUMAN	FGR_HUMAN	1.6
GHC2_HUMAN	CTRO_HUMAN	0.8
GHC2_HUMAN	TBA4A_HUMAN	0.8
GHC2_HUMAN	PHB1_HUMAN	0.8
GHC2_HUMAN	GHC1_HUMAN	3.2
GHC2_HUMAN	ICT1_HUMAN	1.6
GHC2_HUMAN	MOT11_HUMAN	0.8
GHC2_HUMAN	ITM2B_HUMAN	1.28
GHC2_HUMAN	KRA93_HUMAN	3.2
GHC2_HUMAN	KR132_HUMAN	3.2
GHC2_HUMAN	KR196_HUMAN	3.2
GHC2_HUMAN	ANLN_HUMAN	0.8
GHC2_HUMAN	DDRGK_HUMAN	0.8
GHC2_HUMAN	PJA1_HUMAN	0.8
GHC2_HUMAN	DMXL1_HUMAN	0.8
GHC2_HUMAN	ZNHI2_HUMAN	0.8
GHC2_HUMAN	ANR40_HUMAN	0.8
GHC2_HUMAN	CE164_HUMAN	0.8
GHC2_HUMAN	ANGE1_HUMAN	0.8
GHC2_HUMAN	TMX3_HUMAN	0.8
GHC2_HUMAN	G3PT_HUMAN	0.8
GHC2_HUMAN	TRI67_HUMAN	0.8
GHC2_HUMAN	MIDN_HUMAN	0.8
