UniProtID	UniProtID	score
GNAI1_HUMAN	ADRB2_HUMAN	1.6
GNAI1_HUMAN	SRC_HUMAN	0.6
GNAI1_HUMAN	ADRB1_HUMAN	0.6
GNAI1_HUMAN	GNB5_HUMAN	1.24
GNAI1_HUMAN	RAC1_HUMAN	0.6
GNAI1_HUMAN	LIMA1_HUMAN	1.28
GNAI1_HUMAN	PAR4_HUMAN	0.6
GNAI1_HUMAN	RASN_HUMAN	0.6
GNAI1_HUMAN	DDRGK_HUMAN	0.8
GNAI1_HUMAN	ATP4A_HUMAN	0.8
GNAI1_HUMAN	MK03_HUMAN	1.24
GNAI1_HUMAN	OPRK_HUMAN	0.6
GNAI1_HUMAN	MYH9_HUMAN	1.6
GNAI1_HUMAN	PTN11_HUMAN	0.6
GNAI1_HUMAN	RGS17_HUMAN	3.2
GNAI1_HUMAN	TPM1_HUMAN	1.28
GNAI1_HUMAN	VAMP2_HUMAN	0.6
GNAI1_HUMAN	GNAZ_HUMAN	0.6
GNAI1_HUMAN	PLCB1_HUMAN	0.6
GNAI1_HUMAN	STXB1_HUMAN	0.6
GNAI1_HUMAN	GRM7_HUMAN	0.6
GNAI1_HUMAN	OPRM_HUMAN	2.2
GNAI1_HUMAN	GBG3_HUMAN	2.2
GNAI1_HUMAN	GBG2_HUMAN	11.239999999999998
GNAI1_HUMAN	CDC42_HUMAN	0.6
GNAI1_HUMAN	RGS6_HUMAN	0.6
GNAI1_HUMAN	RASK_HUMAN	0.6
GNAI1_HUMAN	CA2D2_HUMAN	0.6
GNAI1_HUMAN	LPAR1_HUMAN	0.6
GNAI1_HUMAN	RGS14_HUMAN	22.800000000000004
GNAI1_HUMAN	ADCY8_HUMAN	0.6
GNAI1_HUMAN	CACB3_HUMAN	0.6
GNAI1_HUMAN	GRM1_HUMAN	0.6
GNAI1_HUMAN	GNAQ_HUMAN	0.6
GNAI1_HUMAN	UBC_HUMAN	0.64
GNAI1_HUMAN	GNA13_HUMAN	0.8
GNAI1_HUMAN	GDS1_HUMAN	0.8
GNAI1_HUMAN	SNP25_HUMAN	0.6
GNAI1_HUMAN	IGF1R_HUMAN	1.0
GNAI1_HUMAN	PTEN_HUMAN	0.8
GNAI1_HUMAN	GABR2_HUMAN	1.6
GNAI1_HUMAN	SMS_HUMAN	0.6
GNAI1_HUMAN	GBB4_HUMAN	4.0
GNAI1_HUMAN	GABR1_HUMAN	0.6
GNAI1_HUMAN	DRD2_HUMAN	2.2
GNAI1_HUMAN	DLG4_HUMAN	2.56
GNAI1_HUMAN	RGS9_HUMAN	0.6
GNAI1_HUMAN	PLCG1_HUMAN	0.6
GNAI1_HUMAN	ACM2_HUMAN	0.6
GNAI1_HUMAN	PPP5_HUMAN	1.0
GNAI1_HUMAN	DRD4_HUMAN	1.6
GNAI1_HUMAN	AGAP2_HUMAN	1.92
GNAI1_HUMAN	SYT5_HUMAN	0.6
GNAI1_HUMAN	DRD3_HUMAN	0.6
GNAI1_HUMAN	TBA1A_HUMAN	1.6
GNAI1_HUMAN	GRB2_HUMAN	0.6
GNAI1_HUMAN	GBB1_HUMAN	39.04
GNAI1_HUMAN	ACTB_HUMAN	1.28
GNAI1_HUMAN	RHOA_HUMAN	0.6
GNAI1_HUMAN	GBG12_HUMAN	0.6
GNAI1_HUMAN	GRM3_HUMAN	0.6
GNAI1_HUMAN	DCTN3_HUMAN	1.28
GNAI1_HUMAN	RIC8A_HUMAN	6.4399999999999995
GNAI1_HUMAN	MCH_HUMAN	0.6
GNAI1_HUMAN	ARNT_HUMAN	0.8
GNAI1_HUMAN	FLNA_HUMAN	1.6
GNAI1_HUMAN	AKT1_HUMAN	0.6
GNAI1_HUMAN	LCK_HUMAN	0.6
GNAI1_HUMAN	ADA2C_HUMAN	0.6
GNAI1_HUMAN	GNAI1_HUMAN	30.8
GNAI1_HUMAN	TAU_HUMAN	0.64
GNAI1_HUMAN	FAK1_HUMAN	0.6
GNAI1_HUMAN	ADA2A_HUMAN	0.6
GNAI1_HUMAN	RASH_HUMAN	0.6
GNAI1_HUMAN	RAGP1_HUMAN	2.4000000000000004
GNAI1_HUMAN	SHC1_HUMAN	0.6
GNAI1_HUMAN	GNA14_HUMAN	0.6
GNAI1_HUMAN	FAK2_HUMAN	0.6
GNAI1_HUMAN	CAC1C_HUMAN	0.6
GNAI1_HUMAN	GNA11_HUMAN	0.6
GNAI1_HUMAN	A4_HUMAN	0.6
GNAI1_HUMAN	5HT5A_HUMAN	0.6
GNAI1_HUMAN	CO3_HUMAN	0.6
GNAI1_HUMAN	GPSM1_HUMAN	2.6
GNAI1_HUMAN	GBB2_HUMAN	2.24
GNAI1_HUMAN	GNAO_HUMAN	2.2
GNAI1_HUMAN	PAR1_HUMAN	0.6
GNAI1_HUMAN	RGS7_HUMAN	0.6
GNAI1_HUMAN	ACM4_HUMAN	0.6
GNAI1_HUMAN	GNAI2_HUMAN	2.04
GNAI1_HUMAN	RPGF4_HUMAN	0.6
GNAI1_HUMAN	ZDHC5_HUMAN	1.6
GNAI1_HUMAN	STX1A_HUMAN	0.6
GNAI1_HUMAN	CHM4B_HUMAN	0.8
GNAI1_HUMAN	ADCY1_HUMAN	0.6
GNAI1_HUMAN	OPRD_HUMAN	0.6
GNAI1_HUMAN	ITPR1_HUMAN	0.6
GNAI1_HUMAN	GNAI3_HUMAN	3.8000000000000003
GNAI1_HUMAN	GNAS1_HUMAN	0.6
GNAI1_HUMAN	PK3CA_HUMAN	0.6
GNAI1_HUMAN	MYH10_HUMAN	1.28
GNAI1_HUMAN	NEB2_HUMAN	0.64
GNAI1_HUMAN	PLCB3_HUMAN	0.6
GNAI1_HUMAN	GBG7_HUMAN	3.0000000000000004
