UniProtID	UniProtID	score
GPSM1_HUMAN	GNAI3_HUMAN	4.6
GPSM1_HUMAN	MRP_HUMAN	0.8
GPSM1_HUMAN	GPSM1_HUMAN	1.6
GPSM1_HUMAN	MLP3A_HUMAN	3.0
GPSM1_HUMAN	RBP1_HUMAN	1.6
GPSM1_HUMAN	USP9X_HUMAN	2.0
GPSM1_HUMAN	STX3_HUMAN	0.64
GPSM1_HUMAN	DLG4_HUMAN	0.64
GPSM1_HUMAN	UGPA_HUMAN	1.6
GPSM1_HUMAN	XPO1_HUMAN	1.44
GPSM1_HUMAN	FXR2_HUMAN	0.8
GPSM1_HUMAN	GNAI1_HUMAN	2.6
GPSM1_HUMAN	KANK2_HUMAN	0.8
GPSM1_HUMAN	CUL3_HUMAN	1.6
GNAI3_HUMAN	GNAI3_HUMAN	18.0
GNAI3_HUMAN	RBP1_HUMAN	0.64
GNAI3_HUMAN	XPO1_HUMAN	0.8
GNAI3_HUMAN	GNAI1_HUMAN	3.8000000000000003
MLP3A_HUMAN	MLP3A_HUMAN	20.0
RBP1_HUMAN	RBP1_HUMAN	1.6
RBP1_HUMAN	DLG4_HUMAN	1.6
RBP1_HUMAN	KANK2_HUMAN	3.2
USP9X_HUMAN	USP9X_HUMAN	12.0
USP9X_HUMAN	XPO1_HUMAN	1.44
USP9X_HUMAN	CUL3_HUMAN	1.6
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	GNAI1_HUMAN	2.56
DLG4_HUMAN	CUL3_HUMAN	0.8
UGPA_HUMAN	UGPA_HUMAN	90.0
XPO1_HUMAN	XPO1_HUMAN	10.96
XPO1_HUMAN	KANK2_HUMAN	1.44
FXR2_HUMAN	FXR2_HUMAN	10.400000000000002
FXR2_HUMAN	CUL3_HUMAN	1.6
GNAI1_HUMAN	GNAI1_HUMAN	30.8
KANK2_HUMAN	KANK2_HUMAN	5.2
CUL3_HUMAN	CUL3_HUMAN	23.040000000000003
