UniProtID	UniProtID	score
GPX4_HUMAN	DLG4_HUMAN	0.64
GPX4_HUMAN	TRI25_HUMAN	0.8
GPX4_HUMAN	SQSTM_HUMAN	1
GPX4_HUMAN	NED4L_HUMAN	2
GPX4_HUMAN	ZP2_HUMAN	0.8
GPX4_HUMAN	RIT1_HUMAN	0.8
GPX4_HUMAN	HCD2_HUMAN	0.8
GPX4_HUMAN	EGFR_HUMAN	0.8
GPX4_HUMAN	ALDOA_HUMAN	0.8
GPX4_HUMAN	PTN11_HUMAN	0.8
GPX4_HUMAN	TAXB1_HUMAN	1
GPX4_HUMAN	PTN12_HUMAN	0.8
GPX4_HUMAN	PRDX6_HUMAN	2.4000000000000004
GPX4_HUMAN	EZRI_HUMAN	0.8
GPX4_HUMAN	SHRPN_HUMAN	2
GPX4_HUMAN	ENOA_HUMAN	0.8
GPX4_HUMAN	COIL_HUMAN	0.8
GPX4_HUMAN	RASK_HUMAN	0.8
GPX4_HUMAN	PRKN_HUMAN	0.8
GPX4_HUMAN	CE170_HUMAN	1.6
GPX4_HUMAN	PARK7_HUMAN	1.8
GPX4_HUMAN	FKBP2_HUMAN	0.8
GPX4_HUMAN	ETFA_HUMAN	0.8
GPX4_HUMAN	UBE2H_HUMAN	0.8
GPX4_HUMAN	UBC12_HUMAN	0.8
GPX4_HUMAN	DUT_HUMAN	0.8
GPX4_HUMAN	PIN1_HUMAN	0.8
GPX4_HUMAN	CACO2_HUMAN	1
GPX4_HUMAN	PPIB_HUMAN	1.6
GPX4_HUMAN	PRDX2_HUMAN	0.8
GPX4_HUMAN	OTUD5_HUMAN	1.6
GPX4_HUMAN	OTUB1_HUMAN	3.2
GPX4_HUMAN	SDHF4_HUMAN	1.6
GPX4_HUMAN	LACTB_HUMAN	0.8
GPX4_HUMAN	ZP3_HUMAN	0.8
GPX4_HUMAN	ZP4_HUMAN	0.8
GPX4_HUMAN	JUN_HUMAN	0.8
GPX4_HUMAN	HSC20_HUMAN	1.6
GPX4_HUMAN	G3BP1_HUMAN	0.8
GPX4_HUMAN	MK13_HUMAN	1.6
GPX4_HUMAN	SNR48_HUMAN	0.8
GPX4_HUMAN	EED_HUMAN	0.64
GPX4_HUMAN	GSTO2_HUMAN	0.8
GPX4_HUMAN	FACD2_HUMAN	0.64
GPX4_HUMAN	EYA4_HUMAN	0.8
GPX4_HUMAN	MTMRE_HUMAN	0.8
GPX4_HUMAN	PKHA4_HUMAN	0.8
GPX4_HUMAN	KIF23_HUMAN	0.8
GPX4_HUMAN	SC6A4_HUMAN	0.64
GPX4_HUMAN	RIGI_HUMAN	0.8
GPX4_HUMAN	IL18_HUMAN	0.8
GPX4_HUMAN	LHPL4_HUMAN	0.8
GPX4_HUMAN	RPE_HUMAN	0.8
GPX4_HUMAN	VCY1_HUMAN	0.8
GPX4_HUMAN	DBLOH_HUMAN	0.8
GPX4_HUMAN	OMP_HUMAN	0.8
GPX4_HUMAN	FLOWR_HUMAN	0.8
GPX4_HUMAN	CDD_HUMAN	0.8
GPX4_HUMAN	CY561_HUMAN	0.8
GPX4_HUMAN	CYTM_HUMAN	0.8
GPX4_HUMAN	GPA33_HUMAN	0.8
GPX4_HUMAN	MIB2_HUMAN	0.8
GPX4_HUMAN	CUL3_HUMAN	0.8
GPX4_HUMAN	TRI67_HUMAN	0.8
GPX4_HUMAN	RNF31_HUMAN	2
GPX4_HUMAN	CYTN_HUMAN	2.4000000000000004
GPX4_HUMAN	TRI59_HUMAN	2
GPX4_HUMAN	SPRNG_HUMAN	0.8
GPX4_HUMAN	ELOF1_HUMAN	0.8
GPX4_HUMAN	ALDR_HUMAN	0.8
GPX4_HUMAN	ALDOC_HUMAN	0.8
GPX4_HUMAN	ENOG_HUMAN	0.8
GPX4_HUMAN	ENOB_HUMAN	0.8
GPX4_HUMAN	FKB1A_HUMAN	0.8
GPX4_HUMAN	GLRX2_HUMAN	0.8
GPX4_HUMAN	ERO1B_HUMAN	0.8
GPX4_HUMAN	ETFB_HUMAN	0.8
GPX4_HUMAN	HINT1_HUMAN	0.8
GPX4_HUMAN	IMPA2_HUMAN	0.8
GPX4_HUMAN	NTF2_HUMAN	0.8
GPX4_HUMAN	PGAM4_HUMAN	0.8
GPX4_HUMAN	SODC_HUMAN	0.8
GPX4_HUMAN	SODM_HUMAN	0.8
GPX4_HUMAN	TAGL_HUMAN	0.8
GPX4_HUMAN	TAGL2_HUMAN	0.8
GPX4_HUMAN	TKT_HUMAN	0.8
GPX4_HUMAN	UCHL3_HUMAN	0.8
GPX4_HUMAN	VDAC1_HUMAN	0.8
GPX4_HUMAN	VDAC2_HUMAN	0.8
GPX4_HUMAN	CH10_HUMAN	0.8
GPX4_HUMAN	MAOX_HUMAN	0.8
GPX4_HUMAN	PPIF_HUMAN	0.8
GPX4_HUMAN	STIP1_HUMAN	0.8
GPX4_HUMAN	PLOD2_HUMAN	0.8
GPX4_HUMAN	ATPA_HUMAN	0.8
GPX4_HUMAN	PLOD1_HUMAN	0.8
GPX4_HUMAN	ROA0_HUMAN	0.8
GPX4_HUMAN	RAB35_HUMAN	0.8
GPX4_HUMAN	RPA34_HUMAN	0.8
GPX4_HUMAN	H31_HUMAN	0.8
