UniProtID	UniProtID	score
GRIA2_HUMAN	ADRB2_HUMAN	0.64
GRIA2_HUMAN	SHSA6_HUMAN	3.68
GRIA2_HUMAN	KLC2_HUMAN	0.8
GRIA2_HUMAN	PICK1_HUMAN	21.680000000000007
GRIA2_HUMAN	GRID2_HUMAN	1.0
GRIA2_HUMAN	SRC8_HUMAN	1.92
GRIA2_HUMAN	KCC2B_HUMAN	0.6
GRIA2_HUMAN	CCG8_HUMAN	15.320000000000006
GRIA2_HUMAN	CNIH3_HUMAN	30.200000000000017
GRIA2_HUMAN	RB11A_HUMAN	1.0
GRIA2_HUMAN	STXB1_HUMAN	0.64
GRIA2_HUMAN	CCG2_HUMAN	35.84
GRIA2_HUMAN	SPTB2_HUMAN	1.0
GRIA2_HUMAN	EXOC3_HUMAN	0.64
GRIA2_HUMAN	SHSA9_HUMAN	0.6
GRIA2_HUMAN	KALRN_HUMAN	0.64
GRIA2_HUMAN	GIPC1_HUMAN	0.64
GRIA2_HUMAN	LIPA1_HUMAN	1.28
GRIA2_HUMAN	UBC_HUMAN	0.64
GRIA2_HUMAN	LIPA4_HUMAN	2.08
GRIA2_HUMAN	NMDE3_HUMAN	0.6
GRIA2_HUMAN	NOE2_HUMAN	0.64
GRIA2_HUMAN	MYO5A_HUMAN	2.0
GRIA2_HUMAN	DLG2_HUMAN	0.6
GRIA2_HUMAN	ACTG_HUMAN	0.64
GRIA2_HUMAN	DRD2_HUMAN	0.8
GRIA2_HUMAN	DLG4_HUMAN	4.999999999999999
GRIA2_HUMAN	IQEC1_HUMAN	6.3999999999999995
GRIA2_HUMAN	EXOC4_HUMAN	1.44
GRIA2_HUMAN	ITB3_HUMAN	3.0
GRIA2_HUMAN	KCC2D_HUMAN	0.6
GRIA2_HUMAN	AGAP2_HUMAN	6.8
GRIA2_HUMAN	TBA1A_HUMAN	0.64
GRIA2_HUMAN	CCG3_HUMAN	0.6
GRIA2_HUMAN	NSF_HUMAN	9.2
GRIA2_HUMAN	SYGP1_HUMAN	3.2
GRIA2_HUMAN	CADH2_HUMAN	1.4
GRIA2_HUMAN	CTNA1_HUMAN	0.6
GRIA2_HUMAN	KAPCA_HUMAN	0.6
GRIA2_HUMAN	1433B_HUMAN	0.64
GRIA2_HUMAN	ATAD1_HUMAN	3.2
GRIA2_HUMAN	KCAB2_HUMAN	0.8
GRIA2_HUMAN	SC6A4_HUMAN	0.64
GRIA2_HUMAN	NFL_HUMAN	0.6
GRIA2_HUMAN	SYN2_HUMAN	1.6
GRIA2_HUMAN	TNIK_HUMAN	1.28
GRIA2_HUMAN	GRIA2_HUMAN	1064.3999999999787
GRIA2_HUMAN	SPTN1_HUMAN	3.0
GRIA2_HUMAN	TSN7_HUMAN	0.6
GRIA2_HUMAN	NMD3A_HUMAN	0.6
GRIA2_HUMAN	GRIK2_HUMAN	1.0
GRIA2_HUMAN	LYN_HUMAN	0.6
GRIA2_HUMAN	DLG1_HUMAN	2.2
GRIA2_HUMAN	NMDE1_HUMAN	0.6
GRIA2_HUMAN	BIP_HUMAN	0.8
GRIA2_HUMAN	CCG4_HUMAN	0.6
GRIA2_HUMAN	SDCB1_HUMAN	2.08
GRIA2_HUMAN	EXOC7_HUMAN	1.28
GRIA2_HUMAN	KIF5C_HUMAN	0.6
GRIA2_HUMAN	DLG3_HUMAN	0.6
GRIA2_HUMAN	CTND1_HUMAN	0.6
GRIA2_HUMAN	ACTN2_HUMAN	0.6
GRIA2_HUMAN	GRAP1_HUMAN	0.8
GRIA2_HUMAN	TMUB1_HUMAN	2.4000000000000004
GRIA2_HUMAN	GRP75_HUMAN	0.64
GRIA2_HUMAN	KPCA_HUMAN	0.6
GRIA2_HUMAN	ARHG2_HUMAN	0.8
GRIA2_HUMAN	GRIA3_HUMAN	20.96000000000001
GRIA2_HUMAN	AT1A1_HUMAN	0.64
GRIA2_HUMAN	CN37_HUMAN	0.64
GRIA2_HUMAN	DLGP1_HUMAN	1.92
GRIA2_HUMAN	KAPCB_HUMAN	0.6
GRIA2_HUMAN	CCG7_HUMAN	0.6
GRIA2_HUMAN	NMDE2_HUMAN	0.6
GRIA2_HUMAN	AP2A1_HUMAN	0.6
GRIA2_HUMAN	MYO6_HUMAN	0.8
GRIA2_HUMAN	NSG1_HUMAN	1.6
GRIA2_HUMAN	CTNB1_HUMAN	1.4
GRIA2_HUMAN	PLAK_HUMAN	0.6
GRIA2_HUMAN	GRIA1_HUMAN	39.47999999999999
GRIA2_HUMAN	AKAP9_HUMAN	0.6
GRIA2_HUMAN	NMD3B_HUMAN	0.6
GRIA2_HUMAN	NMDZ1_HUMAN	0.6
GRIA2_HUMAN	AP2M1_HUMAN	3.2
GRIA2_HUMAN	PTPRF_HUMAN	1.44
GRIA2_HUMAN	KPCG_HUMAN	0.6
GRIA2_HUMAN	FRS1L_HUMAN	0.8
GRIA2_HUMAN	SYT3_HUMAN	2.4000000000000004
GRIA2_HUMAN	KIF5A_HUMAN	0.6
GRIA2_HUMAN	SHSA7_HUMAN	1.44
GRIA2_HUMAN	G3P_HUMAN	3.0
GRIA2_HUMAN	CNIH2_HUMAN	5.3999999999999995
GRIA2_HUMAN	TBA1B_HUMAN	0.64
GRIA2_HUMAN	NMDE4_HUMAN	0.6
GRIA2_HUMAN	KINH_HUMAN	0.6
GRIA2_HUMAN	GRIA4_HUMAN	5.88
GRIA2_HUMAN	GRIP1_HUMAN	28.12000000000001
ADRB2_HUMAN	ADRB2_HUMAN	11.6
