UniProtID	UniProtID	score
GRID2_HUMAN	DLG4_HUMAN	2.4000000000000004
GRID2_HUMAN	DLG2_HUMAN	5.6
GRID2_HUMAN	EF1A1_HUMAN	0.64
GRID2_HUMAN	DLG1_HUMAN	1.6
GRID2_HUMAN	NMDE2_HUMAN	0.64
GRID2_HUMAN	MAGI2_HUMAN	1.6
GRID2_HUMAN	GOPC_HUMAN	6.0
GRID2_HUMAN	SHAN3_HUMAN	0.8
GRID2_HUMAN	PTN4_HUMAN	5.2
GRID2_HUMAN	SHAN2_HUMAN	7.999999999999999
GRID2_HUMAN	SHAN1_HUMAN	6.3999999999999995
GRID2_HUMAN	ITPR1_HUMAN	0.8
GRID2_HUMAN	VIME_HUMAN	0.64
GRID2_HUMAN	GRD2I_HUMAN	5.239999999999999
GRID2_HUMAN	GRIA2_HUMAN	1
GRID2_HUMAN	NRX1A_HUMAN	0.64
GRID2_HUMAN	ROA1_HUMAN	0.64
GRID2_HUMAN	G3P_HUMAN	0.64
GRID2_HUMAN	HTRA3_HUMAN	0.8
GRID2_HUMAN	DCAF4_HUMAN	0.8
GRID2_HUMAN	PPT1_HUMAN	0.64
GRID2_HUMAN	ELN_HUMAN	0.64
GRID2_HUMAN	ADT1_HUMAN	0.64
GRID2_HUMAN	APOE_HUMAN	0.64
GRID2_HUMAN	PAFA_HUMAN	0.64
GRID2_HUMAN	IDH3B_HUMAN	0.64
GRID2_HUMAN	IBP5_HUMAN	0.64
GRID2_HUMAN	CN37_HUMAN	0.64
GRID2_HUMAN	FAT2_HUMAN	0.64
GRID2_HUMAN	GHC1_HUMAN	0.64
GRID2_HUMAN	SYN2_HUMAN	0.64
GRID2_HUMAN	TPA_HUMAN	0.64
GRID2_HUMAN	CBLN1_HUMAN	6.239999999999999
GRID2_HUMAN	ECI2_HUMAN	0.64
GRID2_HUMAN	SFXN1_HUMAN	0.64
GRID2_HUMAN	SRCN1_HUMAN	0.64
GRID2_HUMAN	SFXN3_HUMAN	0.64
GRID2_HUMAN	KCC2B_HUMAN	0.64
GRID2_HUMAN	TBB2A_HUMAN	0.64
GRID2_HUMAN	TBB2B_HUMAN	0.64
GRID2_HUMAN	GHC2_HUMAN	0.64
GRID2_HUMAN	C1QB_HUMAN	0.64
GRID2_HUMAN	TTC9B_HUMAN	0.64
GRID2_HUMAN	BDH_HUMAN	0.64
GRID2_HUMAN	RS3_HUMAN	0.64
GRID2_HUMAN	SFXN5_HUMAN	0.64
GRID2_HUMAN	PTPRS_HUMAN	0.64
GRID2_HUMAN	ADT2_HUMAN	0.64
GRID2_HUMAN	BECN1_HUMAN	0.8
GRID2_HUMAN	ITM2B_HUMAN	1.28
GRID2_HUMAN	GRIA1_HUMAN	2.8
GRID2_HUMAN	NMDE1_HUMAN	0.8
GRID2_HUMAN	CALB1_HUMAN	0.8
GRID2_HUMAN	GRID2_HUMAN	30.400000000000016
GRID2_HUMAN	GRIK2_HUMAN	2
GRID2_HUMAN	GRIK5_HUMAN	1
GRID2_HUMAN	HOME1_HUMAN	0.8
GRID2_HUMAN	TMPS4_HUMAN	0.8
GRID2_HUMAN	PRKN_HUMAN	0.8
GRID2_HUMAN	ZRAN1_HUMAN	0.8
GRID2_HUMAN	GRID1_HUMAN	0.64
