UniProtID	UniProtID	score
GRM1_HUMAN	DLG4_HUMAN	0.8
GRM1_HUMAN	SRC_HUMAN	2
GRM1_HUMAN	FYN_HUMAN	2.8
GRM1_HUMAN	CTND2_HUMAN	1.6
GRM1_HUMAN	MET_HUMAN	0.64
GRM1_HUMAN	FRPD4_HUMAN	0.8
GRM1_HUMAN	NMDE2_HUMAN	1.28
GRM1_HUMAN	ARRB2_HUMAN	1
GRM1_HUMAN	UBP7_HUMAN	1.6
GRM1_HUMAN	HOME1_HUMAN	7.559999999999999
GRM1_HUMAN	PP1G_HUMAN	9.76
GRM1_HUMAN	IMA5_HUMAN	2
GRM1_HUMAN	IMA4_HUMAN	1
GRM1_HUMAN	GRM1_HUMAN	50.79999999999999
GRM1_HUMAN	NMDZ1_HUMAN	1.92
GRM1_HUMAN	ZMYM3_HUMAN	1.6
GRM1_HUMAN	SRCN1_HUMAN	0.64
GRM1_HUMAN	AGAP2_HUMAN	2.24
GRM1_HUMAN	OPRM_HUMAN	1.6
GRM1_HUMAN	GABR1_HUMAN	0.8
GRM1_HUMAN	OPTN_HUMAN	2
GRM1_HUMAN	GRASP_HUMAN	4.04
GRM1_HUMAN	TRPC1_HUMAN	1.8
GRM1_HUMAN	AA1R_HUMAN	1
GRM1_HUMAN	PSA2_HUMAN	0.8
GRM1_HUMAN	PRS8_HUMAN	2.4000000000000004
GRM1_HUMAN	UBC_HUMAN	0.8
GRM1_HUMAN	SIAH1_HUMAN	0.8
GRM1_HUMAN	ARBK1_HUMAN	1
GRM1_HUMAN	HD_HUMAN	1
GRM1_HUMAN	HOME2_HUMAN	2.24
GRM1_HUMAN	ITPR1_HUMAN	0.8
GRM1_HUMAN	HOME3_HUMAN	2.24
GRM1_HUMAN	KSYK_HUMAN	2
GRM1_HUMAN	CABIN_HUMAN	3
GRM1_HUMAN	E41L2_HUMAN	2
GRM1_HUMAN	STAU1_HUMAN	0.8
GRM1_HUMAN	FAK2_HUMAN	1.8
GRM1_HUMAN	CASR_HUMAN	2
GRM1_HUMAN	ARRB1_HUMAN	1
GRM1_HUMAN	DCAF6_HUMAN	0.8
GRM1_HUMAN	CCND2_HUMAN	0.8
GRM1_HUMAN	CD44_HUMAN	0.8
GRM1_HUMAN	CDN2B_HUMAN	0.8
GRM1_HUMAN	EPHA2_HUMAN	0.8
GRM1_HUMAN	FGFR4_HUMAN	0.8
GRM1_HUMAN	ERD22_HUMAN	0.8
GRM1_HUMAN	MP2K5_HUMAN	0.8
GRM1_HUMAN	TTYH2_HUMAN	0.8
GRM1_HUMAN	BECN1_HUMAN	0.8
GRM1_HUMAN	CCNE1_HUMAN	0.8
GRM1_HUMAN	CDK4_HUMAN	0.8
GRM1_HUMAN	CDK6_HUMAN	0.8
GRM1_HUMAN	CDN2C_HUMAN	0.8
GRM1_HUMAN	ERBB2_HUMAN	0.8
GRM1_HUMAN	IGF1R_HUMAN	0.8
GRM1_HUMAN	KAT2A_HUMAN	0.8
GRM1_HUMAN	LATS2_HUMAN	0.8
GRM1_HUMAN	MYC_HUMAN	0.8
GRM1_HUMAN	MERL_HUMAN	0.8
GRM1_HUMAN	PGFRA_HUMAN	0.8
GRM1_HUMAN	RAF1_HUMAN	0.8
GRM1_HUMAN	STK11_HUMAN	0.8
GRM1_HUMAN	TERT_HUMAN	0.8
GRM1_HUMAN	RASF1_HUMAN	0.8
GRM1_HUMAN	CALX_HUMAN	0.8
GRM1_HUMAN	GRM5_HUMAN	0.64
GRM1_HUMAN	SSR3_HUMAN	0.64
GRM1_HUMAN	CAC1A_HUMAN	1.6
GRM1_HUMAN	MK01_HUMAN	0.8
