UniProtID	UniProtID	score
GSTK1_HUMAN	GRB2_HUMAN	1.6
GSTK1_HUMAN	HNRPM_HUMAN	1.6
GSTK1_HUMAN	DCTN1_HUMAN	1.6
GSTK1_HUMAN	PDC6I_HUMAN	1.6
GSTK1_HUMAN	DPOD1_HUMAN	0.8
GSTK1_HUMAN	ECT2_HUMAN	0.8
GSTK1_HUMAN	MK03_HUMAN	0.64
GSTK1_HUMAN	HSP7C_HUMAN	0.8
GSTK1_HUMAN	4F2_HUMAN	1.6
GSTK1_HUMAN	PHAG1_HUMAN	0.8
GSTK1_HUMAN	XPO5_HUMAN	1.6
GSTK1_HUMAN	YTHD1_HUMAN	0.8
GSTK1_HUMAN	IF4G2_HUMAN	0.8
GSTK1_HUMAN	PCBP1_HUMAN	0.8
GSTK1_HUMAN	EGFR_HUMAN	0.8
GSTK1_HUMAN	DNJA1_HUMAN	0.8
GSTK1_HUMAN	MIC60_HUMAN	0.8
GSTK1_HUMAN	DDB1_HUMAN	0.8
GSTK1_HUMAN	HIRA_HUMAN	0.8
GSTK1_HUMAN	AHSA1_HUMAN	0.8
GSTK1_HUMAN	KPYM_HUMAN	0.8
GSTK1_HUMAN	2AAA_HUMAN	0.8
GSTK1_HUMAN	DEST_HUMAN	0.8
GSTK1_HUMAN	PI42A_HUMAN	1.6
GSTK1_HUMAN	DDX5_HUMAN	0.8
GSTK1_HUMAN	STAT1_HUMAN	0.8
GSTK1_HUMAN	PFKAP_HUMAN	0.8
GSTK1_HUMAN	SMC2_HUMAN	0.8
GSTK1_HUMAN	YAF2_HUMAN	0.8
GSTK1_HUMAN	RPN1_HUMAN	1.6
GSTK1_HUMAN	KS6A3_HUMAN	0.8
GSTK1_HUMAN	FABPH_HUMAN	0.8
GSTK1_HUMAN	USO1_HUMAN	0.8
GSTK1_HUMAN	MATR3_HUMAN	1.6
GSTK1_HUMAN	T22D1_HUMAN	2.4000000000000004
GSTK1_HUMAN	ESR2_HUMAN	0.8
GSTK1_HUMAN	RECQ1_HUMAN	0.8
GSTK1_HUMAN	RB3GP_HUMAN	0.8
GSTK1_HUMAN	FKBP2_HUMAN	0.8
GSTK1_HUMAN	FINC_HUMAN	2.4000000000000004
GSTK1_HUMAN	ADIPO_HUMAN	4.0
