UniProtID	UniProtID	score
HAP1_HUMAN	KALRN_HUMAN	2.4000000000000004
HAP1_HUMAN	EF1A1_HUMAN	0.64
HAP1_HUMAN	PABP1_HUMAN	0.64
HAP1_HUMAN	DCTN1_HUMAN	10.8
HAP1_HUMAN	GBRL2_HUMAN	3.2
HAP1_HUMAN	ATX3_HUMAN	7.8
HAP1_HUMAN	ASPP2_HUMAN	0.8
HAP1_HUMAN	MYPT1_HUMAN	0.8
HAP1_HUMAN	1433E_HUMAN	0.8
HAP1_HUMAN	1433Z_HUMAN	1.44
HAP1_HUMAN	C2D1A_HUMAN	0.8
HAP1_HUMAN	ITPR1_HUMAN	2.4000000000000004
HAP1_HUMAN	VIME_HUMAN	0.8
HAP1_HUMAN	PCM1_HUMAN	3.4000000000000004
HAP1_HUMAN	H4_HUMAN	0.64
HAP1_HUMAN	HD_HUMAN	12.440000000000001
HAP1_HUMAN	HGS_HUMAN	12.6
HAP1_HUMAN	KIF5A_HUMAN	3.2
HAP1_HUMAN	KINH_HUMAN	2.4000000000000004
HAP1_HUMAN	KIF5C_HUMAN	2.4000000000000004
HAP1_HUMAN	EIF3E_HUMAN	1.6
HAP1_HUMAN	MIC60_HUMAN	0.8
HAP1_HUMAN	IMA1_HUMAN	0.8
HAP1_HUMAN	RS25_HUMAN	1.6
HAP1_HUMAN	UBC_HUMAN	1.28
HAP1_HUMAN	SNAPN_HUMAN	1.6
HAP1_HUMAN	GIT1_HUMAN	1.6
HAP1_HUMAN	BARD1_HUMAN	2.24
HAP1_HUMAN	LRIF1_HUMAN	2.24
HAP1_HUMAN	CE126_HUMAN	0.64
HAP1_HUMAN	ZN33B_HUMAN	2.24
HAP1_HUMAN	GRIP1_HUMAN	0.8
HAP1_HUMAN	TBP_HUMAN	1.6
HAP1_HUMAN	CG025_HUMAN	1.6
HAP1_HUMAN	CH033_HUMAN	3.2
HAP1_HUMAN	CDC73_HUMAN	1.6
HAP1_HUMAN	HMOX2_HUMAN	3.2
HAP1_HUMAN	RS10_HUMAN	3.2
HAP1_HUMAN	TAF1D_HUMAN	3.2
HAP1_HUMAN	TNNT1_HUMAN	1.6
HAP1_HUMAN	HAP1_HUMAN	15.600000000000001
HAP1_HUMAN	NFM_HUMAN	1.6
HAP1_HUMAN	AHI1_HUMAN	5.3999999999999995
HAP1_HUMAN	KLC1_HUMAN	1.6
HAP1_HUMAN	KLC2_HUMAN	0.8
HAP1_HUMAN	GBRB3_HUMAN	0.8
HAP1_HUMAN	DC1I1_HUMAN	0.8
HAP1_HUMAN	MECP2_HUMAN	1.28
HAP1_HUMAN	SORT_HUMAN	2.8
HAP1_HUMAN	ZMAT2_HUMAN	3.2
HAP1_HUMAN	CDK18_HUMAN	3.2
HAP1_HUMAN	FA50B_HUMAN	3.2
HAP1_HUMAN	ZN490_HUMAN	3.2
HAP1_HUMAN	CTSRT_HUMAN	3.2
HAP1_HUMAN	ZN124_HUMAN	3.2
HAP1_HUMAN	PRP31_HUMAN	3.2
HAP1_HUMAN	CA216_HUMAN	3.2
HAP1_HUMAN	PKN1_HUMAN	3.2
HAP1_HUMAN	ZN648_HUMAN	3.2
HAP1_HUMAN	SCNM1_HUMAN	3.2
HAP1_HUMAN	ZFP1_HUMAN	3.2
HAP1_HUMAN	PPR18_HUMAN	3.2
HAP1_HUMAN	ZN575_HUMAN	4.8
HAP1_HUMAN	CCD13_HUMAN	3.2
HAP1_HUMAN	ZN572_HUMAN	3.2
HAP1_HUMAN	MSGN1_HUMAN	3.2
HAP1_HUMAN	RHPN1_HUMAN	3.2
HAP1_HUMAN	ZN835_HUMAN	3.2
HAP1_HUMAN	HXB5_HUMAN	3.2
HAP1_HUMAN	ATPK_HUMAN	1.6
HAP1_HUMAN	CK5P2_HUMAN	1.6
HAP1_HUMAN	NDUB9_HUMAN	1.6
HAP1_HUMAN	PFD1_HUMAN	1.6
HAP1_HUMAN	PSD11_HUMAN	1.6
HAP1_HUMAN	STX5_HUMAN	1.6
HAP1_HUMAN	TNNT3_HUMAN	1.6
HAP1_HUMAN	TOM20_HUMAN	1.6
HAP1_HUMAN	ZNF24_HUMAN	1.6
HAP1_HUMAN	CBX8_HUMAN	1.6
HAP1_HUMAN	CO9A2_HUMAN	1.6
HAP1_HUMAN	CRIP1_HUMAN	1.6
HAP1_HUMAN	KTBL1_HUMAN	1.6
HAP1_HUMAN	CC113_HUMAN	1.6
HAP1_HUMAN	OGA_HUMAN	0.8
HAP1_HUMAN	ANKMT_HUMAN	1.6
HAP1_HUMAN	MPP3_HUMAN	1.6
HAP1_HUMAN	NP1L5_HUMAN	1.6
HAP1_HUMAN	NPS3A_HUMAN	1.6
HAP1_HUMAN	PDCD7_HUMAN	1.6
HAP1_HUMAN	PPID_HUMAN	1.6
HAP1_HUMAN	PPOX_HUMAN	1.6
HAP1_HUMAN	RER1_HUMAN	1.6
HAP1_HUMAN	SAS10_HUMAN	1.6
HAP1_HUMAN	ZNF20_HUMAN	1.6
HAP1_HUMAN	DDX49_HUMAN	1.6
HAP1_HUMAN	NOP53_HUMAN	1.6
HAP1_HUMAN	ZN691_HUMAN	1.6
HAP1_HUMAN	RT09_HUMAN	1.6
HAP1_HUMAN	SRSF4_HUMAN	1.6
HAP1_HUMAN	TI17A_HUMAN	0.8
HAP1_HUMAN	NDF1_HUMAN	2
HAP1_HUMAN	TSYL1_HUMAN	0.8
HAP1_HUMAN	APLP1_HUMAN	0.8
