UniProtID	UniProtID	score
HNRH1_HUMAN	GRB2_HUMAN	1.6
HNRH1_HUMAN	DLG4_HUMAN	0.8
HNRH1_HUMAN	NCK1_HUMAN	0.8
HNRH1_HUMAN	ADA15_HUMAN	0.8
HNRH1_HUMAN	SPD2A_HUMAN	0.8
HNRH1_HUMAN	YES_HUMAN	1.6
HNRH1_HUMAN	SPN90_HUMAN	0.8
HNRH1_HUMAN	CACB3_HUMAN	0.8
HNRH1_HUMAN	NDRG2_HUMAN	0.8
HNRH1_HUMAN	IF4B_HUMAN	0.8
HNRH1_HUMAN	EF1A1_HUMAN	0.8
HNRH1_HUMAN	SYUA_HUMAN	1.44
HNRH1_HUMAN	PKP4_HUMAN	0.8
HNRH1_HUMAN	CTNB1_HUMAN	0.64
HNRH1_HUMAN	LNX1_HUMAN	3.8400000000000003
HNRH1_HUMAN	EXOC4_HUMAN	0.8
HNRH1_HUMAN	DCNL1_HUMAN	1.6
HNRH1_HUMAN	ARVC_HUMAN	0.8
HNRH1_HUMAN	ACTN4_HUMAN	0.8
HNRH1_HUMAN	NEDD8_HUMAN	1.6
HNRH1_HUMAN	UBQL1_HUMAN	0.8
HNRH1_HUMAN	ADA10_HUMAN	0.8
HNRH1_HUMAN	PACN3_HUMAN	0.8
HNRH1_HUMAN	ARHGJ_HUMAN	0.8
HNRH1_HUMAN	ARHGG_HUMAN	3.2
HNRH1_HUMAN	HNRPM_HUMAN	5.6
HNRH1_HUMAN	OXSR1_HUMAN	0.8
HNRH1_HUMAN	WNK1_HUMAN	0.8
HNRH1_HUMAN	ACK1_HUMAN	0.8
HNRH1_HUMAN	SAM11_HUMAN	0.8
HNRH1_HUMAN	PABP1_HUMAN	1.44
HNRH1_HUMAN	UNK_HUMAN	1.44
HNRH1_HUMAN	AF17_HUMAN	0.8
HNRH1_HUMAN	PICAL_HUMAN	0.8
HNRH1_HUMAN	LMTK3_HUMAN	0.8
HNRH1_HUMAN	TRI25_HUMAN	1.8
HNRH1_HUMAN	KLF5_HUMAN	0.8
HNRH1_HUMAN	CRTC2_HUMAN	0.8
HNRH1_HUMAN	PRR7_HUMAN	0.8
HNRH1_HUMAN	YAP1_HUMAN	1.44
HNRH1_HUMAN	VASP_HUMAN	0.8
HNRH1_HUMAN	MAGD1_HUMAN	3.2
HNRH1_HUMAN	OBSCN_HUMAN	0.8
HNRH1_HUMAN	DUX4_HUMAN	2.4000000000000004
HNRH1_HUMAN	SMRCD_HUMAN	0.8
HNRH1_HUMAN	P3C2B_HUMAN	0.8
HNRH1_HUMAN	ARRB2_HUMAN	2.4000000000000004
HNRH1_HUMAN	SCC4_HUMAN	1.6
HNRH1_HUMAN	MDM2_HUMAN	0.64
HNRH1_HUMAN	P53_HUMAN	0.8
HNRH1_HUMAN	IMB1_HUMAN	0.8
HNRH1_HUMAN	UBP7_HUMAN	0.8
HNRH1_HUMAN	YLPM1_HUMAN	0.8
HNRH1_HUMAN	MLP3B_HUMAN	0.8
HNRH1_HUMAN	MLP3A_HUMAN	1.6
HNRH1_HUMAN	STK10_HUMAN	0.8
HNRH1_HUMAN	TZAP_HUMAN	0.8
HNRH1_HUMAN	SP3_HUMAN	0.8
HNRH1_HUMAN	NED4L_HUMAN	0.8
HNRH1_HUMAN	HNRL1_HUMAN	3.04
HNRH1_HUMAN	IRS2_HUMAN	0.8
HNRH1_HUMAN	GBRAP_HUMAN	0.8
HNRH1_HUMAN	GBRL1_HUMAN	1.6
HNRH1_HUMAN	GBRL2_HUMAN	0.8
HNRH1_HUMAN	NPM_HUMAN	0.8
HNRH1_HUMAN	RBM14_HUMAN	1.6
HNRH1_HUMAN	TM1L1_HUMAN	0.8
HNRH1_HUMAN	SFPQ_HUMAN	1.6
HNRH1_HUMAN	TERA_HUMAN	2.4000000000000004
HNRH1_HUMAN	PROF2_HUMAN	0.8
HNRH1_HUMAN	GIPC1_HUMAN	0.8
HNRH1_HUMAN	PEBP1_HUMAN	0.8
HNRH1_HUMAN	M4K1_HUMAN	0.8
HNRH1_HUMAN	HNRPR_HUMAN	2.4000000000000004
HNRH1_HUMAN	DDX41_HUMAN	0.8
HNRH1_HUMAN	SF3B4_HUMAN	2.4000000000000004
HNRH1_HUMAN	GABR1_HUMAN	0.8
HNRH1_HUMAN	SNX12_HUMAN	0.8
HNRH1_HUMAN	CD2AP_HUMAN	0.8
HNRH1_HUMAN	RIN3_HUMAN	0.8
HNRH1_HUMAN	AIRE_HUMAN	0.8
HNRH1_HUMAN	G3BP2_HUMAN	0.8
HNRH1_HUMAN	CUL7_HUMAN	0.8
HNRH1_HUMAN	PP2BA_HUMAN	0.8
HNRH1_HUMAN	FLNA_HUMAN	0.8
HNRH1_HUMAN	EFNA5_HUMAN	0.8
HNRH1_HUMAN	NMDE4_HUMAN	0.8
HNRH1_HUMAN	BRD4_HUMAN	1.6
HNRH1_HUMAN	FLNB_HUMAN	0.8
HNRH1_HUMAN	HDAC6_HUMAN	0.8
HNRH1_HUMAN	SYDC_HUMAN	0.8
HNRH1_HUMAN	RPA2_HUMAN	0.8
HNRH1_HUMAN	ASXL1_HUMAN	0.8
HNRH1_HUMAN	UGPA_HUMAN	0.8
HNRH1_HUMAN	SMRD3_HUMAN	0.8
HNRH1_HUMAN	HIBCH_HUMAN	0.8
HNRH1_HUMAN	FUBP2_HUMAN	3.24
HNRH1_HUMAN	FUBP3_HUMAN	0.8
HNRH1_HUMAN	TNPO1_HUMAN	1.6
HNRH1_HUMAN	F16P1_HUMAN	0.8
HNRH1_HUMAN	A4_HUMAN	0.8
HNRH1_HUMAN	TAU_HUMAN	0.8
HNRH1_HUMAN	DDX3X_HUMAN	2.24
HNRH1_HUMAN	PTPRJ_HUMAN	0.8
