UniProtID	UniProtID	score
HS90A_HUMAN	GRB2_HUMAN	0.8
HS90A_HUMAN	SRC_HUMAN	7.199999999999999
HS90A_HUMAN	HCK_HUMAN	4.8
HS90A_HUMAN	ABL1_HUMAN	4.8
HS90A_HUMAN	LYN_HUMAN	5.840000000000001
HS90A_HUMAN	YES_HUMAN	2.4000000000000004
HS90A_HUMAN	FYN_HUMAN	10.4
HS90A_HUMAN	ESR1_HUMAN	12.600000000000003
HS90A_HUMAN	EF1A1_HUMAN	0.8
HS90A_HUMAN	SYUA_HUMAN	3.2800000000000002
HS90A_HUMAN	EGLN1_HUMAN	4.4
HS90A_HUMAN	SCRIB_HUMAN	2.4000000000000004
HS90A_HUMAN	KCNA5_HUMAN	0.8
HS90A_HUMAN	RBP1_HUMAN	1
HS90A_HUMAN	GCYA2_HUMAN	1
HS90A_HUMAN	CTNB1_HUMAN	4.0
HS90A_HUMAN	MET_HUMAN	1.8
HS90A_HUMAN	LNX1_HUMAN	0.8
HS90A_HUMAN	ERBB4_HUMAN	1.6
HS90A_HUMAN	DCNL1_HUMAN	1.6
HS90A_HUMAN	ERBIN_HUMAN	1
HS90A_HUMAN	ACTN1_HUMAN	1.6
HS90A_HUMAN	NEDD8_HUMAN	1.6
HS90A_HUMAN	LCK_HUMAN	5.6
HS90A_HUMAN	SPTN1_HUMAN	0.8
HS90A_HUMAN	IRS4_HUMAN	2.6
HS90A_HUMAN	ACK1_HUMAN	7.799999999999999
HS90A_HUMAN	LAR4B_HUMAN	0.8
HS90A_HUMAN	UNK_HUMAN	1.44
HS90A_HUMAN	WEE1_HUMAN	0.8
HS90A_HUMAN	TRI25_HUMAN	0.8
HS90A_HUMAN	YAP1_HUMAN	0.8
HS90A_HUMAN	PP6R3_HUMAN	0.8
HS90A_HUMAN	MDM2_HUMAN	6.8
HS90A_HUMAN	P53_HUMAN	18.800000000000004
HS90A_HUMAN	KEAP1_HUMAN	2.8
HS90A_HUMAN	IMB1_HUMAN	0.64
HS90A_HUMAN	MLP3B_HUMAN	0.8
HS90A_HUMAN	PRUN2_HUMAN	2.4000000000000004
HS90A_HUMAN	MLP3A_HUMAN	0.8
HS90A_HUMAN	SP1_HUMAN	4.8
HS90A_HUMAN	SQSTM_HUMAN	0.8
HS90A_HUMAN	NEK9_HUMAN	1.6
HS90A_HUMAN	TLN1_HUMAN	0.8
HS90A_HUMAN	RET_HUMAN	0.8
HS90A_HUMAN	GBRAP_HUMAN	0.8
HS90A_HUMAN	GBRL1_HUMAN	4.04
HS90A_HUMAN	GBRL2_HUMAN	1.6
HS90A_HUMAN	CDC37_HUMAN	46.879999999999995
HS90A_HUMAN	NPM_HUMAN	0.8
HS90A_HUMAN	M3K2_HUMAN	0.8
HS90A_HUMAN	TERA_HUMAN	3.4000000000000004
HS90A_HUMAN	ATX3_HUMAN	1.8
HS90A_HUMAN	RAF1_HUMAN	30.800000000000008
HS90A_HUMAN	M4K1_HUMAN	4.0
HS90A_HUMAN	BRCA2_HUMAN	0.8
HS90A_HUMAN	FETUA_HUMAN	0.8
HS90A_HUMAN	RIN3_HUMAN	0.8
HS90A_HUMAN	NEK8_HUMAN	2.4000000000000004
HS90A_HUMAN	P2RX7_HUMAN	1.28
HS90A_HUMAN	FLNA_HUMAN	0.8
HS90A_HUMAN	BMX_HUMAN	3.2
HS90A_HUMAN	FASTK_HUMAN	0.8
HS90A_HUMAN	BRD4_HUMAN	1.6
HS90A_HUMAN	FANCA_HUMAN	1.8
HS90A_HUMAN	ABL2_HUMAN	1.6
HS90A_HUMAN	RGS7_HUMAN	0.8
HS90A_HUMAN	RAG1_HUMAN	0.8
HS90A_HUMAN	GUC2D_HUMAN	0.8
HS90A_HUMAN	BCAR1_HUMAN	0.8
HS90A_HUMAN	HDAC6_HUMAN	10.6
HS90A_HUMAN	XRCC1_HUMAN	2
HS90A_HUMAN	MOS_HUMAN	3.2
HS90A_HUMAN	SYDC_HUMAN	1
HS90A_HUMAN	ASXL1_HUMAN	0.8
HS90A_HUMAN	WASL_HUMAN	1
HS90A_HUMAN	JAK2_HUMAN	0.8
HS90A_HUMAN	MP2K5_HUMAN	4.8
HS90A_HUMAN	ANT3_HUMAN	0.8
HS90A_HUMAN	A4_HUMAN	5.6
HS90A_HUMAN	TAU_HUMAN	7.08
HS90A_HUMAN	TBK1_HUMAN	5.4
HS90A_HUMAN	MK03_HUMAN	3.04
HS90A_HUMAN	1433E_HUMAN	3.04
