UniProtID	UniProtID	score
HSP76_HUMAN	HSP76_HUMAN	4.0
HSP76_HUMAN	HS71A_HUMAN	3.6000000000000005
HSP76_HUMAN	SCFD1_HUMAN	0.8
HSP76_HUMAN	HCK_HUMAN	2.4000000000000004
HSP76_HUMAN	BAG2_HUMAN	0.6
HSP76_HUMAN	FLNA_HUMAN	0.8
HSP76_HUMAN	PHB_HUMAN	0.8
HSP76_HUMAN	AKT1_HUMAN	2.4000000000000004
HSP76_HUMAN	CTRO_HUMAN	0.8
HSP76_HUMAN	GRB10_HUMAN	2.4000000000000004
HSP76_HUMAN	KPCI_HUMAN	1.6
HSP76_HUMAN	LCK_HUMAN	1.6
HSP76_HUMAN	CRK_HUMAN	0.8
HSP76_HUMAN	UBL4A_HUMAN	0.8
HSP76_HUMAN	HSP72_HUMAN	0.6
HSP76_HUMAN	DNJB4_HUMAN	3.0000000000000004
HSP76_HUMAN	BAG5_HUMAN	1.4
HSP76_HUMAN	PTEN_HUMAN	0.8
HSP76_HUMAN	KS6A3_HUMAN	2.4000000000000004
HSP76_HUMAN	DNJA1_HUMAN	1.4
HSP76_HUMAN	HS71L_HUMAN	1.4
HSP76_HUMAN	HS74L_HUMAN	0.6
HSP76_HUMAN	BIP_HUMAN	1.4
HSP76_HUMAN	CLCA_HUMAN	0.8
HSP76_HUMAN	ARRB2_HUMAN	1.6
HSP76_HUMAN	CYLD_HUMAN	0.8
HSP76_HUMAN	HSP7C_HUMAN	3.0000000000000004
HSP76_HUMAN	SAHH2_HUMAN	3.2
HSP76_HUMAN	PPIB_HUMAN	3.2
HSP76_HUMAN	DNJB6_HUMAN	1.4
HSP76_HUMAN	IF4B_HUMAN	0.8
HSP76_HUMAN	DNJB1_HUMAN	2.2
HSP76_HUMAN	PPP5_HUMAN	0.8
HSP76_HUMAN	AL3A2_HUMAN	0.8
HSP76_HUMAN	TF65_HUMAN	0.8
HSP76_HUMAN	HS12A_HUMAN	0.6
HSP76_HUMAN	SHC1_HUMAN	0.8
HSP76_HUMAN	GRP75_HUMAN	0.6
HSP76_HUMAN	MLF2_HUMAN	2.4000000000000004
HSP76_HUMAN	DNJB2_HUMAN	0.8
HSP76_HUMAN	MLP3A_HUMAN	0.8
HSP76_HUMAN	MK03_HUMAN	2.4000000000000004
HSP76_HUMAN	AP2M1_HUMAN	0.8
HSP76_HUMAN	TBA1A_HUMAN	0.8
HSP76_HUMAN	HNRPD_HUMAN	1.6
HSP76_HUMAN	RHOA_HUMAN	1.6
HSP76_HUMAN	PAK1_HUMAN	2.4000000000000004
HSP76_HUMAN	HS105_HUMAN	0.6
HSP76_HUMAN	CHIP_HUMAN	1.0
HSP76_HUMAN	TCTP_HUMAN	0.8
HSP76_HUMAN	DJC13_HUMAN	0.8
HSP76_HUMAN	KPCG_HUMAN	2.4000000000000004
HSP76_HUMAN	GBRL2_HUMAN	0.8
HSP76_HUMAN	ABI1_HUMAN	1.6
HSP76_HUMAN	DNJA2_HUMAN	0.8
HSP76_HUMAN	HS71B_HUMAN	3.6000000000000005
HSP76_HUMAN	CLH1_HUMAN	0.8
HSP76_HUMAN	BAG3_HUMAN	2.2
HSP76_HUMAN	MP2K3_HUMAN	2.4000000000000004
HSP76_HUMAN	RAF1_HUMAN	1.6
HSP76_HUMAN	PDPK1_HUMAN	2.4000000000000004
HSP76_HUMAN	TBB3_HUMAN	0.8
