UniProtID	UniProtID	score
HSPB8_HUMAN	ESR1_HUMAN	0.8
HSPB8_HUMAN	SYUA_HUMAN	1
HSPB8_HUMAN	IQEC1_HUMAN	0.8
HSPB8_HUMAN	ACTN2_HUMAN	1.6
HSPB8_HUMAN	P73_HUMAN	1.6
HSPB8_HUMAN	TITIN_HUMAN	1.6
HSPB8_HUMAN	RIN1_HUMAN	0.8
HSPB8_HUMAN	BRCA2_HUMAN	4.0
HSPB8_HUMAN	DPOD1_HUMAN	0.8
HSPB8_HUMAN	DLGP4_HUMAN	0.8
HSPB8_HUMAN	EHMT2_HUMAN	0.8
HSPB8_HUMAN	CD11A_HUMAN	0.8
HSPB8_HUMAN	JAK1_HUMAN	0.8
HSPB8_HUMAN	HSPB1_HUMAN	5.8
HSPB8_HUMAN	RIPK1_HUMAN	0.8
HSPB8_HUMAN	CRYAB_HUMAN	4
HSPB8_HUMAN	MLF1_HUMAN	0.8
HSPB8_HUMAN	MAP1B_HUMAN	1.6
HSPB8_HUMAN	AHR_HUMAN	0.8
HSPB8_HUMAN	IF140_HUMAN	0.8
HSPB8_HUMAN	PML_HUMAN	0.8
HSPB8_HUMAN	DYR1A_HUMAN	0.8
HSPB8_HUMAN	TPM2_HUMAN	1.6
HSPB8_HUMAN	PDLI7_HUMAN	0.8
HSPB8_HUMAN	BIG2_HUMAN	0.8
HSPB8_HUMAN	DEST_HUMAN	0.8
HSPB8_HUMAN	KNL1_HUMAN	0.8
HSPB8_HUMAN	MLF2_HUMAN	4.0
HSPB8_HUMAN	RHDF2_HUMAN	0.8
HSPB8_HUMAN	EF1A2_HUMAN	2.4000000000000004
HSPB8_HUMAN	DNJB6_HUMAN	2.6
HSPB8_HUMAN	E2AK1_HUMAN	1
HSPB8_HUMAN	TBA1A_HUMAN	0.8
HSPB8_HUMAN	TPM1_HUMAN	1.6
HSPB8_HUMAN	IRAK3_HUMAN	0.8
HSPB8_HUMAN	HSPB3_HUMAN	2
HSPB8_HUMAN	HSPB6_HUMAN	4
HSPB8_HUMAN	HSPB8_HUMAN	16
HSPB8_HUMAN	HSPB7_HUMAN	14.000000000000002
HSPB8_HUMAN	HSPB2_HUMAN	6
HSPB8_HUMAN	BAG3_HUMAN	20.640000000000008
HSPB8_HUMAN	KIF11_HUMAN	1.6
HSPB8_HUMAN	TIM_HUMAN	1.28
HSPB8_HUMAN	TTL12_HUMAN	1.28
HSPB8_HUMAN	SMHD1_HUMAN	1.28
HSPB8_HUMAN	MCM2_HUMAN	1.28
HSPB8_HUMAN	RFX1_HUMAN	2.4000000000000004
HSPB8_HUMAN	LONF2_HUMAN	2.4000000000000004
HSPB8_HUMAN	FA83H_HUMAN	2.4000000000000004
HSPB8_HUMAN	ACD11_HUMAN	2.4000000000000004
HSPB8_HUMAN	NUD12_HUMAN	4.0
HSPB8_HUMAN	SETD2_HUMAN	2.4000000000000004
HSPB8_HUMAN	BACD1_HUMAN	3.2
HSPB8_HUMAN	NOD1_HUMAN	1
HSPB8_HUMAN	NOD2_HUMAN	2
HSPB8_HUMAN	XPO1_HUMAN	1.44
HSPB8_HUMAN	VWA8_HUMAN	3.2
HSPB8_HUMAN	G3PT_HUMAN	1.6
HSPB8_HUMAN	AT2A1_HUMAN	1.6
HSPB8_HUMAN	SC16A_HUMAN	1.6
HSPB8_HUMAN	CIAO1_HUMAN	1.6
HSPB8_HUMAN	STAT_HUMAN	1.6
HSPB8_HUMAN	MYL1_HUMAN	1.6
HSPB8_HUMAN	PYGL_HUMAN	1.6
HSPB8_HUMAN	TPM3_HUMAN	1.6
HSPB8_HUMAN	MYH3_HUMAN	1.6
HSPB8_HUMAN	PYGB_HUMAN	1.6
HSPB8_HUMAN	PYGM_HUMAN	1.6
HSPB8_HUMAN	MYH1_HUMAN	1.6
HSPB8_HUMAN	MYH6_HUMAN	1.6
HSPB8_HUMAN	MYH8_HUMAN	1.6
HSPB8_HUMAN	ENOB_HUMAN	1.6
HSPB8_HUMAN	AT2A2_HUMAN	1.6
HSPB8_HUMAN	EMD_HUMAN	1.6
HSPB8_HUMAN	UBP11_HUMAN	1.6
HSPB8_HUMAN	IQGA2_HUMAN	1.6
HSPB8_HUMAN	WDR81_HUMAN	1.6
HSPB8_HUMAN	DJC10_HUMAN	1.6
HSPB8_HUMAN	EXPH5_HUMAN	0.8
HSPB8_HUMAN	MYL11_HUMAN	1.6
HSPB8_HUMAN	ZCHC3_HUMAN	1.6
HSPB8_HUMAN	MYH2_HUMAN	1.6
HSPB8_HUMAN	AKP8L_HUMAN	1.6
HSPB8_HUMAN	MYH4_HUMAN	1.6
HSPB8_HUMAN	CFTR_HUMAN	1.6
HSPB8_HUMAN	QRIC1_HUMAN	7.199999999999999
HSPB8_HUMAN	DUS12_HUMAN	3.2
HSPB8_HUMAN	SOCS7_HUMAN	3.2
HSPB8_HUMAN	ATOSB_HUMAN	3.2
HSPB8_HUMAN	MOT6_HUMAN	3.2
HSPB8_HUMAN	MISP_HUMAN	3.2
HSPB8_HUMAN	RPIA_HUMAN	3.2
HSPB8_HUMAN	CTSRT_HUMAN	3.2
HSPB8_HUMAN	TPC6A_HUMAN	0.8
HSPB8_HUMAN	AT7L2_HUMAN	0.8
HSPB8_HUMAN	ASB4_HUMAN	0.8
HSPB8_HUMAN	ZNF92_HUMAN	0.8
HSPB8_HUMAN	ALMS1_HUMAN	1.6
HSPB8_HUMAN	WDR20_HUMAN	1.6
HSPB8_HUMAN	FACD2_HUMAN	0.64
HSPB8_HUMAN	MYC_HUMAN	0.8
HSPB8_HUMAN	AURKB_HUMAN	0.8
HSPB8_HUMAN	KI20A_HUMAN	0.8
HSPB8_HUMAN	NRSN1_HUMAN	0.8
HSPB8_HUMAN	UBP12_HUMAN	0.8
HSPB8_HUMAN	TF2L1_HUMAN	0.8
HSPB8_HUMAN	PKHG4_HUMAN	0.8
HSPB8_HUMAN	TONSL_HUMAN	0.8
HSPB8_HUMAN	VPS16_HUMAN	0.8
HSPB8_HUMAN	FOXK2_HUMAN	0.8
HSPB8_HUMAN	UBP34_HUMAN	0.8
HSPB8_HUMAN	ARAP3_HUMAN	0.8
HSPB8_HUMAN	NAB2_HUMAN	0.8
HSPB8_HUMAN	VIP1_HUMAN	0.8
HSPB8_HUMAN	SUN1_HUMAN	0.8
HSPB8_HUMAN	CCR1_HUMAN	0.8
HSPB8_HUMAN	GCP6_HUMAN	0.8
HSPB8_HUMAN	TF7L2_HUMAN	0.8
HSPB8_HUMAN	CTF18_HUMAN	0.8
HSPB8_HUMAN	KANK2_HUMAN	0.8
HSPB8_HUMAN	PKP2_HUMAN	0.8
HSPB8_HUMAN	CPNE2_HUMAN	0.8
HSPB8_HUMAN	ZN195_HUMAN	0.8
HSPB8_HUMAN	IF122_HUMAN	0.8
HSPB8_HUMAN	DPOE1_HUMAN	0.8
HSPB8_HUMAN	RPTOR_HUMAN	0.8
HSPB8_HUMAN	UBXN6_HUMAN	0.8
HSPB8_HUMAN	AKA11_HUMAN	0.8
HSPB8_HUMAN	APAF_HUMAN	0.8
HSPB8_HUMAN	SYF1_HUMAN	0.8
HSPB8_HUMAN	NACC2_HUMAN	0.8
HSPB8_HUMAN	RGPD8_HUMAN	0.8
HSPB8_HUMAN	SAV1_HUMAN	0.8
HSPB8_HUMAN	RICTR_HUMAN	0.8
HSPB8_HUMAN	TBB8_HUMAN	0.8
HSPB8_HUMAN	OSB10_HUMAN	0.8
HSPB8_HUMAN	TBD2B_HUMAN	0.8
HSPB8_HUMAN	HAUS5_HUMAN	0.8
HSPB8_HUMAN	PMVK_HUMAN	0.8
HSPB8_HUMAN	KLH34_HUMAN	0.8
HSPB8_HUMAN	VP33A_HUMAN	0.8
HSPB8_HUMAN	DJC13_HUMAN	0.8
HSPB8_HUMAN	TRIB1_HUMAN	0.8
HSPB8_HUMAN	DAAF5_HUMAN	0.8
HSPB8_HUMAN	RGL3_HUMAN	0.8
HSPB8_HUMAN	KCC2B_HUMAN	0.8
HSPB8_HUMAN	ARHGA_HUMAN	0.8
HSPB8_HUMAN	MYO9B_HUMAN	0.8
HSPB8_HUMAN	ERF_HUMAN	0.8
HSPB8_HUMAN	BLTP2_HUMAN	0.8
HSPB8_HUMAN	ESRP2_HUMAN	0.8
HSPB8_HUMAN	APC5_HUMAN	0.8
HSPB8_HUMAN	ZER1_HUMAN	0.8
HSPB8_HUMAN	ETV3_HUMAN	0.8
HSPB8_HUMAN	ASCC3_HUMAN	0.8
HSPB8_HUMAN	TF2H2_HUMAN	0.8
HSPB8_HUMAN	DUS4_HUMAN	0.8
HSPB8_HUMAN	KLD10_HUMAN	0.8
HSPB8_HUMAN	FRMD5_HUMAN	0.8
HSPB8_HUMAN	ZBT20_HUMAN	0.8
HSPB8_HUMAN	NPAS1_HUMAN	0.8
HSPB8_HUMAN	ABCF3_HUMAN	0.8
HSPB8_HUMAN	DCA10_HUMAN	0.8
HSPB8_HUMAN	RGPD5_HUMAN	0.8
HSPB8_HUMAN	FOXA1_HUMAN	0.8
HSPB8_HUMAN	RL11_HUMAN	0.8
HSPB8_HUMAN	RN207_HUMAN	0.64
HSPB8_HUMAN	CPIN1_HUMAN	0.8
HSPB8_HUMAN	PHLB1_HUMAN	0.64
HSPB8_HUMAN	R113A_HUMAN	0.8
