UniProtID	UniProtID	score
IF4A3_HUMAN	GRB2_HUMAN	0.8
IF4A3_HUMAN	DOCK4_HUMAN	0.8
IF4A3_HUMAN	ITSN2_HUMAN	0.64
IF4A3_HUMAN	ESR1_HUMAN	0.8
IF4A3_HUMAN	DNM1L_HUMAN	3.2
IF4A3_HUMAN	IF4B_HUMAN	2.4000000000000004
IF4A3_HUMAN	EF1A1_HUMAN	0.8
IF4A3_HUMAN	OTUB2_HUMAN	0.8
IF4A3_HUMAN	CTNB1_HUMAN	0.8
IF4A3_HUMAN	LNX1_HUMAN	3.2
IF4A3_HUMAN	SPTN1_HUMAN	0.8
IF4A3_HUMAN	HNRPM_HUMAN	1.6
IF4A3_HUMAN	RBM33_HUMAN	1.6
IF4A3_HUMAN	PABP1_HUMAN	1.44
IF4A3_HUMAN	PRP17_HUMAN	1.6
IF4A3_HUMAN	PP6R3_HUMAN	0.8
IF4A3_HUMAN	MLP3B_HUMAN	0.8
IF4A3_HUMAN	TZAP_HUMAN	1.28
IF4A3_HUMAN	HNRL1_HUMAN	0.8
IF4A3_HUMAN	RBM14_HUMAN	1.44
IF4A3_HUMAN	HNRPR_HUMAN	0.8
IF4A3_HUMAN	DDX41_HUMAN	1.6
IF4A3_HUMAN	SNX12_HUMAN	0.8
IF4A3_HUMAN	SNX3_HUMAN	0.8
IF4A3_HUMAN	E41L3_HUMAN	0.8
IF4A3_HUMAN	CUL7_HUMAN	0.8
IF4A3_HUMAN	STF1_HUMAN	0.8
IF4A3_HUMAN	BRD4_HUMAN	1.6
IF4A3_HUMAN	GCFC2_HUMAN	0.8
IF4A3_HUMAN	THOC2_HUMAN	1.6
IF4A3_HUMAN	RL13_HUMAN	2.24
IF4A3_HUMAN	CUL9_HUMAN	0.8
IF4A3_HUMAN	EHMT2_HUMAN	3.2
IF4A3_HUMAN	RIT1_HUMAN	0.8
IF4A3_HUMAN	DDX3X_HUMAN	2.24
IF4A3_HUMAN	MK01_HUMAN	0.64
IF4A3_HUMAN	1433E_HUMAN	0.8
IF4A3_HUMAN	PP1G_HUMAN	0.8
IF4A3_HUMAN	BAG1_HUMAN	0.8
IF4A3_HUMAN	HSP7C_HUMAN	0.8
IF4A3_HUMAN	1433Z_HUMAN	0.8
IF4A3_HUMAN	IF2A_HUMAN	0.64
IF4A3_HUMAN	PRC1_HUMAN	0.8
IF4A3_HUMAN	RNPS1_HUMAN	6.8
IF4A3_HUMAN	SF3B2_HUMAN	1.6
IF4A3_HUMAN	TBX3_HUMAN	0.8
IF4A3_HUMAN	RYBP_HUMAN	0.8
IF4A3_HUMAN	EZH2_HUMAN	0.8
IF4A3_HUMAN	RBM26_HUMAN	0.8
IF4A3_HUMAN	PTBP3_HUMAN	0.8
IF4A3_HUMAN	HNRPK_HUMAN	2.08
IF4A3_HUMAN	SNW1_HUMAN	3.8400000000000003
IF4A3_HUMAN	JAK1_HUMAN	0.8
IF4A3_HUMAN	SCYL2_HUMAN	0.8
IF4A3_HUMAN	RS6_HUMAN	1.6
IF4A3_HUMAN	VIME_HUMAN	0.8
IF4A3_HUMAN	AGO2_HUMAN	1
IF4A3_HUMAN	H4_HUMAN	3.2
IF4A3_HUMAN	HCD2_HUMAN	4.0
IF4A3_HUMAN	1433T_HUMAN	1.6
IF4A3_HUMAN	IGF1R_HUMAN	0.8
IF4A3_HUMAN	YBOX1_HUMAN	3.0400000000000005
IF4A3_HUMAN	EGFR_HUMAN	0.8
IF4A3_HUMAN	EIF3G_HUMAN	0.64
IF4A3_HUMAN	MARE1_HUMAN	0.8
IF4A3_HUMAN	1433G_HUMAN	0.8
IF4A3_HUMAN	MAP1B_HUMAN	0.8
IF4A3_HUMAN	PICK1_HUMAN	3.2
IF4A3_HUMAN	SC23A_HUMAN	0.8
IF4A3_HUMAN	RL4_HUMAN	2.24
IF4A3_HUMAN	LSM2_HUMAN	0.64
IF4A3_HUMAN	DX39B_HUMAN	3.8400000000000007
IF4A3_HUMAN	DDB1_HUMAN	0.64
IF4A3_HUMAN	PARN_HUMAN	0.8
IF4A3_HUMAN	RENT1_HUMAN	4.0
IF4A3_HUMAN	RL24_HUMAN	2.24
IF4A3_HUMAN	ROA1_HUMAN	3.5999999999999996
IF4A3_HUMAN	RENT2_HUMAN	1.6
IF4A3_HUMAN	REN3A_HUMAN	0.8
IF4A3_HUMAN	PR40A_HUMAN	0.8
IF4A3_HUMAN	UT14A_HUMAN	0.8
IF4A3_HUMAN	CHD3_HUMAN	0.8
IF4A3_HUMAN	DYR1A_HUMAN	0.8
IF4A3_HUMAN	RHOA_HUMAN	1.6
IF4A3_HUMAN	FAS_HUMAN	0.8
IF4A3_HUMAN	DISC1_HUMAN	0.8
IF4A3_HUMAN	KPYM_HUMAN	0.8
IF4A3_HUMAN	SPTB2_HUMAN	0.8
IF4A3_HUMAN	MYH10_HUMAN	0.8
IF4A3_HUMAN	ZN451_HUMAN	0.8
IF4A3_HUMAN	ACTB_HUMAN	0.8
IF4A3_HUMAN	SMAD4_HUMAN	0.8
IF4A3_HUMAN	RL28_HUMAN	1.6
IF4A3_HUMAN	IF4G1_HUMAN	1
IF4A3_HUMAN	MIRO2_HUMAN	0.8
IF4A3_HUMAN	SNIP1_HUMAN	4.0
IF4A3_HUMAN	NOM1_HUMAN	4.2
IF4A3_HUMAN	STAU1_HUMAN	1.6
IF4A3_HUMAN	STK25_HUMAN	0.8
IF4A3_HUMAN	K2C1_HUMAN	1.6
IF4A3_HUMAN	HUWE1_HUMAN	0.8
IF4A3_HUMAN	DDX5_HUMAN	1.6
IF4A3_HUMAN	IQGA1_HUMAN	0.8
IF4A3_HUMAN	RBCC1_HUMAN	0.8
IF4A3_HUMAN	BIRC3_HUMAN	0.8
IF4A3_HUMAN	RL7_HUMAN	2.24
IF4A3_HUMAN	MYCN_HUMAN	0.8
IF4A3_HUMAN	TPM1_HUMAN	0.8
IF4A3_HUMAN	CP135_HUMAN	0.8
IF4A3_HUMAN	PLIN3_HUMAN	0.8
IF4A3_HUMAN	YTDC1_HUMAN	1.6
IF4A3_HUMAN	ACTC_HUMAN	0.8
IF4A3_HUMAN	HNRPL_HUMAN	1.6
IF4A3_HUMAN	FMR1_HUMAN	1.6
IF4A3_HUMAN	RBM39_HUMAN	3.0400000000000005
IF4A3_HUMAN	CP110_HUMAN	1.6
IF4A3_HUMAN	CAC1C_HUMAN	0.8
IF4A3_HUMAN	PPIA_HUMAN	0.8
IF4A3_HUMAN	ANKH1_HUMAN	0.8
IF4A3_HUMAN	CEP63_HUMAN	0.8
IF4A3_HUMAN	SYGP1_HUMAN	1.6
IF4A3_HUMAN	PDCD4_HUMAN	7.199999999999999
IF4A3_HUMAN	HS71B_HUMAN	0.8
IF4A3_HUMAN	HS71A_HUMAN	0.8
IF4A3_HUMAN	PDLI5_HUMAN	0.8
IF4A3_HUMAN	AN32A_HUMAN	0.8
IF4A3_HUMAN	MATR3_HUMAN	1.6
IF4A3_HUMAN	SRSF3_HUMAN	4.0
IF4A3_HUMAN	RALY_HUMAN	0.8
IF4A3_HUMAN	TCTP_HUMAN	0.8
IF4A3_HUMAN	RASK_HUMAN	2.4000000000000004
IF4A3_HUMAN	PRKN_HUMAN	1.6
IF4A3_HUMAN	CDC5L_HUMAN	4.64
IF4A3_HUMAN	CRNL1_HUMAN	1.6
IF4A3_HUMAN	HERC2_HUMAN	0.8
IF4A3_HUMAN	PARK7_HUMAN	1
IF4A3_HUMAN	5HT6R_HUMAN	1.6
IF4A3_HUMAN	RING2_HUMAN	0.8
IF4A3_HUMAN	FLII_HUMAN	0.8
IF4A3_HUMAN	EIF3B_HUMAN	0.8
IF4A3_HUMAN	K2C5_HUMAN	0.8
IF4A3_HUMAN	REL_HUMAN	0.8
IF4A3_HUMAN	ANM5_HUMAN	4.64
IF4A3_HUMAN	GRM2_HUMAN	0.8
IF4A3_HUMAN	ESR2_HUMAN	0.8
IF4A3_HUMAN	ROA2_HUMAN	0.64
IF4A3_HUMAN	TRI27_HUMAN	3.2
IF4A3_HUMAN	RBM8A_HUMAN	47.920000000000016
IF4A3_HUMAN	S10A9_HUMAN	0.8
IF4A3_HUMAN	FINC_HUMAN	0.8
IF4A3_HUMAN	RED_HUMAN	0.8
IF4A3_HUMAN	AAKB1_HUMAN	1.28
IF4A3_HUMAN	U520_HUMAN	2.24
IF4A3_HUMAN	RBBP6_HUMAN	0.8
IF4A3_HUMAN	PRDX1_HUMAN	0.8
IF4A3_HUMAN	THOC7_HUMAN	1.6
