UniProtID	UniProtID	score
IMPA1_HUMAN	DLG4_HUMAN	0.64
IMPA1_HUMAN	TERA_HUMAN	0.8
IMPA1_HUMAN	ELAV1_HUMAN	0.8
IMPA1_HUMAN	SUMO3_HUMAN	0.64
IMPA1_HUMAN	GDIR1_HUMAN	0.8
IMPA1_HUMAN	S100B_HUMAN	3
IMPA1_HUMAN	DUT_HUMAN	0.8
IMPA1_HUMAN	NTRK1_HUMAN	0.8
IMPA1_HUMAN	ISCU_HUMAN	0.8
IMPA1_HUMAN	IMPA1_HUMAN	92.8
IMPA1_HUMAN	E2F3_HUMAN	11.200000000000001
IMPA1_HUMAN	IMPA2_HUMAN	5.6
IMPA1_HUMAN	B9D1_HUMAN	0.64
IMPA1_HUMAN	KC1A_HUMAN	0.8
IMPA1_HUMAN	PHB1_HUMAN	0.8
IMPA1_HUMAN	SIR1_HUMAN	0.8
IMPA1_HUMAN	MET18_HUMAN	0.8
IMPA1_HUMAN	ZRAN1_HUMAN	0.8
IMPA1_HUMAN	TRI67_HUMAN	0.8
IMPA1_HUMAN	NXF1_HUMAN	1.6
IMPA1_HUMAN	CALB1_HUMAN	1
IMPA1_HUMAN	CYC_HUMAN	0.8
IMPA1_HUMAN	IF6_HUMAN	0.8
IMPA1_HUMAN	NUDT9_HUMAN	0.8
IMPA1_HUMAN	6PGL_HUMAN	0.8
IMPA1_HUMAN	PHP14_HUMAN	0.8
IMPA1_HUMAN	RISC_HUMAN	0.8
IMPA1_HUMAN	THIO_HUMAN	0.8
IMPA1_HUMAN	UGDH_HUMAN	0.8
IMPA1_HUMAN	ACY1_HUMAN	0.8
