UniProtID	UniProtID	score
INSY2_HUMAN	IQEC1_HUMAN	2.4000000000000004
INSY2_HUMAN	AP5B1_HUMAN	1.6
INSY2_HUMAN	LRBA_HUMAN	1.6
INSY2_HUMAN	ASPP2_HUMAN	0.8
INSY2_HUMAN	NEMO_HUMAN	1.6
INSY2_HUMAN	IKKA_HUMAN	2.4000000000000004
INSY2_HUMAN	TBA1A_HUMAN	2.4000000000000004
INSY2_HUMAN	KKCC2_HUMAN	1.6
INSY2_HUMAN	STX5_HUMAN	1.6
INSY2_HUMAN	PRUN1_HUMAN	2.4000000000000004
INSY2_HUMAN	OPA1_HUMAN	0.8
INSY2_HUMAN	UBP4_HUMAN	1.6
INSY2_HUMAN	TBB3_HUMAN	2.4000000000000004
INSY2_HUMAN	WDCP_HUMAN	2.4000000000000004
INSY2_HUMAN	BRE1B_HUMAN	1.6
INSY2_HUMAN	BRE1A_HUMAN	2.4000000000000004
INSY2_HUMAN	TBA1C_HUMAN	0.8
INSY2_HUMAN	METH_HUMAN	2.4000000000000004
INSY2_HUMAN	TBA4A_HUMAN	1.6
INSY2_HUMAN	BACH2_HUMAN	3.2
INSY2_HUMAN	NOP56_HUMAN	1.6
INSY2_HUMAN	EMAL3_HUMAN	1.6
INSY2_HUMAN	SGF29_HUMAN	2.4000000000000004
INSY2_HUMAN	RAD50_HUMAN	0.8
INSY2_HUMAN	EFL1_HUMAN	1.6
INSY2_HUMAN	XRCC3_HUMAN	1.6
INSY2_HUMAN	FP100_HUMAN	1.6
INSY2_HUMAN	STAT2_HUMAN	2.4000000000000004
INSY2_HUMAN	HSF2B_HUMAN	3.2
INSY2_HUMAN	RUND1_HUMAN	1.6
INSY2_HUMAN	SBP2L_HUMAN	1.6
INSY2_HUMAN	CHD1L_HUMAN	1.6
INSY2_HUMAN	STIL_HUMAN	0.8
INSY2_HUMAN	ZNG1A_HUMAN	0.8
INSY2_HUMAN	APEX1_HUMAN	0.8
INSY2_HUMAN	DC2L1_HUMAN	0.8
INSY2_HUMAN	DD19B_HUMAN	0.8
