UniProtID	UniProtID	score
IQEC3_HUMAN	DLG1_HUMAN	0.8
IQEC3_HUMAN	MAGI2_HUMAN	0.8
IQEC3_HUMAN	AGAP2_HUMAN	1.28
IQEC3_HUMAN	DLGP1_HUMAN	1.92
IQEC3_HUMAN	DLG4_HUMAN	0.8
IQEC3_HUMAN	TNIK_HUMAN	1.28
IQEC3_HUMAN	HOME1_HUMAN	0.8
IQEC3_HUMAN	DMD_HUMAN	0.8
IQEC3_HUMAN	KCC2A_HUMAN	0.64
IQEC3_HUMAN	MYCB2_HUMAN	1.28
DLG1_HUMAN	DLG1_HUMAN	64.4
DLG1_HUMAN	AGAP2_HUMAN	0.64
DLG1_HUMAN	DLGP1_HUMAN	12.440000000000001
DLG1_HUMAN	DLG4_HUMAN	6.079999999999998
DLG1_HUMAN	TNIK_HUMAN	1.28
DLG1_HUMAN	KCC2A_HUMAN	4.4
MAGI2_HUMAN	MAGI2_HUMAN	3.2
MAGI2_HUMAN	DLGP1_HUMAN	3.2
MAGI2_HUMAN	DLG4_HUMAN	1.6
MAGI2_HUMAN	TNIK_HUMAN	1.28
AGAP2_HUMAN	DLGP1_HUMAN	2.56
AGAP2_HUMAN	DLG4_HUMAN	3.8400000000000003
AGAP2_HUMAN	TNIK_HUMAN	3.2
AGAP2_HUMAN	HOME1_HUMAN	12.400000000000002
AGAP2_HUMAN	KCC2A_HUMAN	2.56
DLGP1_HUMAN	DLG4_HUMAN	31.48000000000001
DLGP1_HUMAN	TNIK_HUMAN	3.2
DLGP1_HUMAN	HOME1_HUMAN	5.08
DLGP1_HUMAN	KCC2A_HUMAN	1.92
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	TNIK_HUMAN	1.92
DLG4_HUMAN	KCC2A_HUMAN	4.64
TNIK_HUMAN	TNIK_HUMAN	30.0
TNIK_HUMAN	HOME1_HUMAN	1.28
TNIK_HUMAN	KCC2A_HUMAN	1.28
TNIK_HUMAN	MYCB2_HUMAN	2.56
HOME1_HUMAN	HOME1_HUMAN	16.080000000000005
HOME1_HUMAN	KCC2A_HUMAN	1.28
DMD_HUMAN	DMD_HUMAN	10.0
KCC2A_HUMAN	KCC2A_HUMAN	446.7999999999997
KCC2A_HUMAN	MYCB2_HUMAN	1.28
MYCB2_HUMAN	MYCB2_HUMAN	1.6
