UniProtID	UniProtID	score
IRGQ_HUMAN	EEA1_HUMAN	1.28
IRGQ_HUMAN	MLP3A_HUMAN	3.2
IRGQ_HUMAN	L2GL1_HUMAN	0.64
IRGQ_HUMAN	NEDD4_HUMAN	0.64
IRGQ_HUMAN	PRIO_HUMAN	1.6
IRGQ_HUMAN	GBRL2_HUMAN	3.8400000000000003
IRGQ_HUMAN	MAP1B_HUMAN	0.64
EEA1_HUMAN	EEA1_HUMAN	15.760000000000002
MLP3A_HUMAN	MLP3A_HUMAN	20.0
MLP3A_HUMAN	L2GL1_HUMAN	0.8
MLP3A_HUMAN	NEDD4_HUMAN	2.8
MLP3A_HUMAN	GBRL2_HUMAN	1.4
MLP3A_HUMAN	MAP1B_HUMAN	6.239999999999999
L2GL1_HUMAN	GBRL2_HUMAN	0.8
NEDD4_HUMAN	NEDD4_HUMAN	56.400000000000006
NEDD4_HUMAN	GBRL2_HUMAN	9.04
PRIO_HUMAN	PRIO_HUMAN	461.2799999999998
GBRL2_HUMAN	GBRL2_HUMAN	12.0
GBRL2_HUMAN	MAP1B_HUMAN	1.6
