UniProtID	UniProtID	score
ITB3_HUMAN	SRC_HUMAN	4.6
ITB3_HUMAN	ADA15_HUMAN	1
ITB3_HUMAN	LYN_HUMAN	1
ITB3_HUMAN	CBL_HUMAN	0.64
ITB3_HUMAN	CLH1_HUMAN	0.64
ITB3_HUMAN	PLEC_HUMAN	0.64
ITB3_HUMAN	PDC6I_HUMAN	0.64
ITB3_HUMAN	UBP7_HUMAN	0.64
ITB3_HUMAN	MLP3B_HUMAN	0.8
ITB3_HUMAN	MLP3A_HUMAN	0.8
ITB3_HUMAN	SQSTM_HUMAN	2.4000000000000004
ITB3_HUMAN	PI51C_HUMAN	0.8
ITB3_HUMAN	TLN1_HUMAN	18.48
ITB3_HUMAN	NUMB_HUMAN	1.28
ITB3_HUMAN	GBRAP_HUMAN	0.8
ITB3_HUMAN	GBRL2_HUMAN	0.8
ITB3_HUMAN	MLP3C_HUMAN	0.8
ITB3_HUMAN	DYN2_HUMAN	0.64
ITB3_HUMAN	SFPQ_HUMAN	0.64
ITB3_HUMAN	DNSL2_HUMAN	0.64
ITB3_HUMAN	FLNC_HUMAN	0.64
ITB3_HUMAN	FLNA_HUMAN	9.64
ITB3_HUMAN	FLNB_HUMAN	1.6400000000000001
ITB3_HUMAN	DAB2_HUMAN	0.64
ITB3_HUMAN	A4_HUMAN	2
ITB3_HUMAN	MK03_HUMAN	1
ITB3_HUMAN	1433Z_HUMAN	0.64
ITB3_HUMAN	PTN1_HUMAN	4
ITB3_HUMAN	DOK1_HUMAN	3.08
ITB3_HUMAN	IF4G2_HUMAN	0.64
ITB3_HUMAN	VIME_HUMAN	1
ITB3_HUMAN	FGFR1_HUMAN	1
ITB3_HUMAN	IRS1_HUMAN	0.64
ITB3_HUMAN	TP53B_HUMAN	0.64
ITB3_HUMAN	EPS8_HUMAN	0.8
ITB3_HUMAN	PTN_HUMAN	1
ITB3_HUMAN	RASH_HUMAN	0.8
ITB3_HUMAN	CIB1_HUMAN	2
ITB3_HUMAN	ITB1_HUMAN	0.8
ITB3_HUMAN	CSK_HUMAN	0.8
ITB3_HUMAN	JIP1_HUMAN	0.8
ITB3_HUMAN	KINH_HUMAN	0.64
ITB3_HUMAN	SHC1_HUMAN	7
ITB3_HUMAN	EGFR_HUMAN	0.8
ITB3_HUMAN	NUCL_HUMAN	0.64
ITB3_HUMAN	APBA2_HUMAN	0.64
ITB3_HUMAN	DAB1_HUMAN	0.64
ITB3_HUMAN	MAP1B_HUMAN	0.64
ITB3_HUMAN	FAK1_HUMAN	3
ITB3_HUMAN	GRIA2_HUMAN	3
ITB3_HUMAN	ENPL_HUMAN	0.64
ITB3_HUMAN	RENT1_HUMAN	0.64
ITB3_HUMAN	NOMO1_HUMAN	0.64
ITB3_HUMAN	CDK1_HUMAN	1
ITB3_HUMAN	AKT1_HUMAN	1
ITB3_HUMAN	PTN11_HUMAN	1
ITB3_HUMAN	FAK2_HUMAN	1
ITB3_HUMAN	KSYK_HUMAN	1
ITB3_HUMAN	APBA1_HUMAN	0.64
ITB3_HUMAN	SPTB2_HUMAN	0.64
ITB3_HUMAN	MYH10_HUMAN	0.64
ITB3_HUMAN	UBR4_HUMAN	0.64
ITB3_HUMAN	VINC_HUMAN	0.64
ITB3_HUMAN	MUC18_HUMAN	0.8
ITB3_HUMAN	AP2A2_HUMAN	0.64
ITB3_HUMAN	PSMD1_HUMAN	0.64
ITB3_HUMAN	EIF3C_HUMAN	0.64
ITB3_HUMAN	HUWE1_HUMAN	0.64
ITB3_HUMAN	PAXI_HUMAN	1
ITB3_HUMAN	PA24A_HUMAN	3.8
ITB3_HUMAN	IQGA1_HUMAN	0.64
ITB3_HUMAN	COPB_HUMAN	0.64
ITB3_HUMAN	IPO5_HUMAN	0.64
ITB3_HUMAN	CAPR1_HUMAN	0.64
ITB3_HUMAN	SMC2_HUMAN	0.64
ITB3_HUMAN	DYHC1_HUMAN	0.64
ITB3_HUMAN	XPO2_HUMAN	0.64
ITB3_HUMAN	UBA1_HUMAN	0.64
ITB3_HUMAN	AT1A1_HUMAN	0.64
ITB3_HUMAN	RBGP1_HUMAN	0.8
ITB3_HUMAN	RGS12_HUMAN	0.8
ITB3_HUMAN	EIF3A_HUMAN	0.64
ITB3_HUMAN	HS105_HUMAN	0.64
ITB3_HUMAN	FINC_HUMAN	13.6
ITB3_HUMAN	U520_HUMAN	0.64
ITB3_HUMAN	CASL_HUMAN	1
ITB3_HUMAN	UBP8_HUMAN	0.64
ITB3_HUMAN	EPHA2_HUMAN	0.8
ITB3_HUMAN	VAV3_HUMAN	0.64
ITB3_HUMAN	BIRC6_HUMAN	0.64
ITB3_HUMAN	COPA_HUMAN	0.64
ITB3_HUMAN	DIAP1_HUMAN	0.64
ITB3_HUMAN	SYVC_HUMAN	0.64
ITB3_HUMAN	VWF_HUMAN	1
ITB3_HUMAN	PDIA1_HUMAN	1
ITB3_HUMAN	EWS_HUMAN	0.64
ITB3_HUMAN	VTNC_HUMAN	1
ITB3_HUMAN	UBQL2_HUMAN	0.8
ITB3_HUMAN	XPO1_HUMAN	0.64
ITB3_HUMAN	SPT5H_HUMAN	0.64
ITB3_HUMAN	ATX2L_HUMAN	0.64
ITB3_HUMAN	TENS2_HUMAN	0.8
ITB3_HUMAN	GULP1_HUMAN	0.8
ITB3_HUMAN	NOMO2_HUMAN	0.64
ITB3_HUMAN	ILK_HUMAN	1
ITB3_HUMAN	CAD13_HUMAN	1
ITB3_HUMAN	SHC3_HUMAN	0.64
ITB3_HUMAN	MIIP_HUMAN	2
ITB3_HUMAN	ILF3_HUMAN	0.64
ITB3_HUMAN	PRP8_HUMAN	0.64
ITB3_HUMAN	KPCA_HUMAN	0.8
ITB3_HUMAN	KPCD1_HUMAN	2.4000000000000004
ITB3_HUMAN	USP9X_HUMAN	0.64
ITB3_HUMAN	PSMD2_HUMAN	0.64
ITB3_HUMAN	AP1B1_HUMAN	0.64
ITB3_HUMAN	PRKDC_HUMAN	0.64
ITB3_HUMAN	SUCA_HUMAN	0.64
ITB3_HUMAN	KPCB_HUMAN	1.8
ITB3_HUMAN	ANS1B_HUMAN	0.8
ITB3_HUMAN	NOMO3_HUMAN	0.64
ITB3_HUMAN	HCFC1_HUMAN	0.64
