UniProtID	UniProtID	score
JAK2_HUMAN	FGF2_HUMAN	0.6
JAK2_HUMAN	SRC_HUMAN	4.0
JAK2_HUMAN	CALM1_HUMAN	1.0
JAK2_HUMAN	RAGE_HUMAN	0.6
JAK2_HUMAN	ACHA6_HUMAN	0.6
JAK2_HUMAN	PPIA_HUMAN	1.0
JAK2_HUMAN	KPCD_HUMAN	0.6
JAK2_HUMAN	HS90B_HUMAN	0.8
JAK2_HUMAN	MPRIP_HUMAN	0.6
JAK2_HUMAN	KCC2B_HUMAN	0.6
JAK2_HUMAN	RASN_HUMAN	0.6
JAK2_HUMAN	ACHA4_HUMAN	0.6
JAK2_HUMAN	MK03_HUMAN	0.6
JAK2_HUMAN	ACHB4_HUMAN	0.6
JAK2_HUMAN	E2AK2_HUMAN	0.8
JAK2_HUMAN	PTN11_HUMAN	8.799999999999999
JAK2_HUMAN	FYN_HUMAN	2.6
JAK2_HUMAN	RAF1_HUMAN	1.6
JAK2_HUMAN	ERBB4_HUMAN	0.6
JAK2_HUMAN	RASK_HUMAN	0.6
JAK2_HUMAN	DNJA3_HUMAN	3.4
JAK2_HUMAN	STAT3_HUMAN	10.999999999999998
JAK2_HUMAN	CRKL_HUMAN	0.6
JAK2_HUMAN	ERBB2_HUMAN	1.6
JAK2_HUMAN	UBC_HUMAN	0.8
JAK2_HUMAN	IGF1R_HUMAN	1.0
JAK2_HUMAN	IRS1_HUMAN	4.3999999999999995
JAK2_HUMAN	K1549_HUMAN	0.6
JAK2_HUMAN	FXR1_HUMAN	0.6
JAK2_HUMAN	PLCG1_HUMAN	4.8
JAK2_HUMAN	AP3B1_HUMAN	0.6
JAK2_HUMAN	KCC2D_HUMAN	0.6
JAK2_HUMAN	GRB2_HUMAN	5.3999999999999995
JAK2_HUMAN	MP2K2_HUMAN	0.6
JAK2_HUMAN	SHC4_HUMAN	0.6
JAK2_HUMAN	PP1G_HUMAN	1.6
JAK2_HUMAN	HS71B_HUMAN	0.6
JAK2_HUMAN	KAPCA_HUMAN	0.6
JAK2_HUMAN	SHPS1_HUMAN	2.6
JAK2_HUMAN	1433B_HUMAN	0.6
JAK2_HUMAN	ACHB2_HUMAN	0.6
JAK2_HUMAN	CALM3_HUMAN	1.0
JAK2_HUMAN	HS71A_HUMAN	0.6
JAK2_HUMAN	ACHA3_HUMAN	0.6
JAK2_HUMAN	LCK_HUMAN	0.6
JAK2_HUMAN	IMB1_HUMAN	1.6
JAK2_HUMAN	RBMX_HUMAN	1.6
JAK2_HUMAN	1433Z_HUMAN	0.6
JAK2_HUMAN	LYN_HUMAN	1.6
JAK2_HUMAN	FAK1_HUMAN	2.6
JAK2_HUMAN	HSP7C_HUMAN	1.0
JAK2_HUMAN	RASH_HUMAN	0.6
JAK2_HUMAN	TF65_HUMAN	0.6
JAK2_HUMAN	RBX1_HUMAN	0.6
JAK2_HUMAN	SHC1_HUMAN	4.2
JAK2_HUMAN	KPCA_HUMAN	0.8
JAK2_HUMAN	ROCK2_HUMAN	2.0
JAK2_HUMAN	FAK2_HUMAN	1.0
JAK2_HUMAN	YES_HUMAN	2.2
JAK2_HUMAN	BCR_HUMAN	0.6
JAK2_HUMAN	CNTFR_HUMAN	0.6
JAK2_HUMAN	SND1_HUMAN	0.6
JAK2_HUMAN	GTR1_HUMAN	1.6
JAK2_HUMAN	KAPCB_HUMAN	0.6
JAK2_HUMAN	MP2K1_HUMAN	0.6
JAK2_HUMAN	VHL_HUMAN	3.0
JAK2_HUMAN	HS90A_HUMAN	1.4
JAK2_HUMAN	UBB_HUMAN	0.8
JAK2_HUMAN	ALK_HUMAN	1.4
JAK2_HUMAN	ACHA7_HUMAN	0.6
JAK2_HUMAN	LPPRC_HUMAN	0.6
JAK2_HUMAN	GRB10_HUMAN	1.0
JAK2_HUMAN	RL40_HUMAN	0.8
JAK2_HUMAN	JAK2_HUMAN	246.39999999999998
JAK2_HUMAN	VAV2_HUMAN	0.6
JAK2_HUMAN	RS27A_HUMAN	0.8
JAK2_HUMAN	STAT1_HUMAN	6.999999999999999
JAK2_HUMAN	ANM5_HUMAN	6.6
JAK2_HUMAN	NRG1_HUMAN	0.6
JAK2_HUMAN	AKAP9_HUMAN	0.6
JAK2_HUMAN	NP1L1_HUMAN	1.6
JAK2_HUMAN	PK3CA_HUMAN	0.6
JAK2_HUMAN	CALM2_HUMAN	1.0
JAK2_HUMAN	RAP1A_HUMAN	0.6
JAK2_HUMAN	LMNA_HUMAN	0.6
JAK2_HUMAN	MK01_HUMAN	0.6
JAK2_HUMAN	5HT2A_HUMAN	1.0
FGF2_HUMAN	FGF2_HUMAN	2.0
FGF2_HUMAN	RAGE_HUMAN	1.6
FGF2_HUMAN	RASN_HUMAN	0.6
FGF2_HUMAN	MK03_HUMAN	0.6
FGF2_HUMAN	PTN11_HUMAN	0.6
FGF2_HUMAN	ERBB4_HUMAN	0.6
FGF2_HUMAN	RASK_HUMAN	0.6
FGF2_HUMAN	STAT3_HUMAN	0.6
FGF2_HUMAN	ERBB2_HUMAN	0.6
FGF2_HUMAN	UBC_HUMAN	2.4
FGF2_HUMAN	PLCG1_HUMAN	0.6
FGF2_HUMAN	KAPCA_HUMAN	1.0
FGF2_HUMAN	RASH_HUMAN	0.6
FGF2_HUMAN	BCR_HUMAN	0.6
FGF2_HUMAN	UBB_HUMAN	2.4
FGF2_HUMAN	RL40_HUMAN	2.4
FGF2_HUMAN	RS27A_HUMAN	2.4
FGF2_HUMAN	PK3CA_HUMAN	0.6
FGF2_HUMAN	MK01_HUMAN	0.6
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	CALM1_HUMAN	1.0
SRC_HUMAN	KPCD_HUMAN	2.6
SRC_HUMAN	HS90B_HUMAN	3.0000000000000004
SRC_HUMAN	MPRIP_HUMAN	0.6
SRC_HUMAN	KCC2B_HUMAN	0.6
SRC_HUMAN	RASN_HUMAN	1.4
SRC_HUMAN	MK03_HUMAN	2.4
SRC_HUMAN	PTN11_HUMAN	4.5200000000000005
SRC_HUMAN	FYN_HUMAN	6.8
SRC_HUMAN	RAF1_HUMAN	2.6
SRC_HUMAN	ERBB4_HUMAN	0.8
SRC_HUMAN	RASK_HUMAN	3.0000000000000004
SRC_HUMAN	STAT3_HUMAN	13.4
SRC_HUMAN	CRKL_HUMAN	0.6
SRC_HUMAN	ERBB2_HUMAN	19.840000000000003
SRC_HUMAN	UBC_HUMAN	3.4000000000000004
SRC_HUMAN	IGF1R_HUMAN	1.0
SRC_HUMAN	IRS1_HUMAN	0.6
SRC_HUMAN	K1549_HUMAN	0.6
SRC_HUMAN	FXR1_HUMAN	0.6
SRC_HUMAN	PLCG1_HUMAN	2.24
SRC_HUMAN	AP3B1_HUMAN	0.6
SRC_HUMAN	GRB2_HUMAN	2.6
SRC_HUMAN	MP2K2_HUMAN	0.6
SRC_HUMAN	SHC4_HUMAN	0.6
SRC_HUMAN	HS71B_HUMAN	0.8
SRC_HUMAN	KAPCA_HUMAN	0.8
SRC_HUMAN	1433B_HUMAN	1.24
SRC_HUMAN	CALM3_HUMAN	1.0
SRC_HUMAN	HS71A_HUMAN	1.6
SRC_HUMAN	LCK_HUMAN	0.6
SRC_HUMAN	LYN_HUMAN	4.2
SRC_HUMAN	FAK1_HUMAN	33.24000000000001
SRC_HUMAN	HSP7C_HUMAN	2.4000000000000004
SRC_HUMAN	RASH_HUMAN	4.8
SRC_HUMAN	TF65_HUMAN	0.6
SRC_HUMAN	SHC1_HUMAN	6.3999999999999995
SRC_HUMAN	KPCA_HUMAN	0.6
SRC_HUMAN	FAK2_HUMAN	11.0
SRC_HUMAN	YES_HUMAN	1.24
SRC_HUMAN	BCR_HUMAN	1.28
SRC_HUMAN	SND1_HUMAN	0.6
SRC_HUMAN	MP2K1_HUMAN	2.2
SRC_HUMAN	HS90A_HUMAN	6.199999999999999
SRC_HUMAN	UBB_HUMAN	2.4
SRC_HUMAN	ALK_HUMAN	0.8
SRC_HUMAN	GRB10_HUMAN	1.0
SRC_HUMAN	RL40_HUMAN	2.4
SRC_HUMAN	VAV2_HUMAN	1.24
SRC_HUMAN	RS27A_HUMAN	2.4
SRC_HUMAN	STAT1_HUMAN	4.6
SRC_HUMAN	NRG1_HUMAN	0.6
SRC_HUMAN	AKAP9_HUMAN	0.6
SRC_HUMAN	PK3CA_HUMAN	0.6
SRC_HUMAN	CALM2_HUMAN	1.0
SRC_HUMAN	RAP1A_HUMAN	0.6
SRC_HUMAN	LMNA_HUMAN	0.6
SRC_HUMAN	MK01_HUMAN	1.6
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	HS90B_HUMAN	1.88
CALM1_HUMAN	KCC2B_HUMAN	8.28
CALM1_HUMAN	RAF1_HUMAN	1.0
CALM1_HUMAN	RASK_HUMAN	5.3999999999999995
CALM1_HUMAN	ERBB2_HUMAN	1.8
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	KCC2D_HUMAN	2.24
CALM1_HUMAN	GRB2_HUMAN	0.8
CALM1_HUMAN	PP1G_HUMAN	1.24
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	1433Z_HUMAN	1.28
CALM1_HUMAN	KPCA_HUMAN	0.64
CALM1_HUMAN	YES_HUMAN	0.8
CALM1_HUMAN	HS90A_HUMAN	1.6
CALM1_HUMAN	AKAP9_HUMAN	4.0
CALM1_HUMAN	PK3CA_HUMAN	0.8
CALM1_HUMAN	CALM2_HUMAN	1.2
RAGE_HUMAN	RAGE_HUMAN	43.20000000000001
RAGE_HUMAN	MK03_HUMAN	0.6
RAGE_HUMAN	RASK_HUMAN	1.0
RAGE_HUMAN	GRB2_HUMAN	2.4000000000000004
RAGE_HUMAN	TF65_HUMAN	0.6
RAGE_HUMAN	MK01_HUMAN	0.6
ACHA6_HUMAN	ACHA4_HUMAN	0.6
ACHA6_HUMAN	ACHB4_HUMAN	0.6
ACHA6_HUMAN	ACHB2_HUMAN	0.6
ACHA6_HUMAN	ACHA3_HUMAN	0.6
ACHA6_HUMAN	ACHA7_HUMAN	0.6
PPIA_HUMAN	PPIA_HUMAN	184.0
PPIA_HUMAN	RASN_HUMAN	0.8
PPIA_HUMAN	MK03_HUMAN	0.6
PPIA_HUMAN	UBC_HUMAN	0.64
PPIA_HUMAN	GRB2_HUMAN	2.4000000000000004
PPIA_HUMAN	HS71B_HUMAN	0.8
PPIA_HUMAN	HS71A_HUMAN	0.8
PPIA_HUMAN	1433Z_HUMAN	1.44
PPIA_HUMAN	MK01_HUMAN	0.6
KPCD_HUMAN	KPCD_HUMAN	22.400000000000013
KPCD_HUMAN	RASN_HUMAN	0.6
KPCD_HUMAN	MK03_HUMAN	0.6
KPCD_HUMAN	FYN_HUMAN	6.199999999999999
KPCD_HUMAN	RAF1_HUMAN	0.6
KPCD_HUMAN	RASK_HUMAN	0.6
KPCD_HUMAN	STAT3_HUMAN	2.6
