UniProtID	UniProtID	score
JIP1_HUMAN	SH3R3_HUMAN	1.6
JIP1_HUMAN	FYN_HUMAN	0.8
JIP1_HUMAN	SENP5_HUMAN	2.4000000000000004
JIP1_HUMAN	ACK1_HUMAN	0.64
JIP1_HUMAN	NEDD4_HUMAN	0.8
JIP1_HUMAN	ANK3_HUMAN	2.4000000000000004
JIP1_HUMAN	KEAP1_HUMAN	0.8
JIP1_HUMAN	HXC8_HUMAN	2.4000000000000004
JIP1_HUMAN	LRP2_HUMAN	3.88
JIP1_HUMAN	ANK2_HUMAN	1.6
JIP1_HUMAN	A4_HUMAN	20.400000000000006
JIP1_HUMAN	TAU_HUMAN	2.8
JIP1_HUMAN	MK10_HUMAN	5
JIP1_HUMAN	LRP1_HUMAN	3.88
JIP1_HUMAN	LRP8_HUMAN	2.44
JIP1_HUMAN	LRP1B_HUMAN	2.4000000000000004
JIP1_HUMAN	LRP4_HUMAN	0.8
JIP1_HUMAN	JIP3_HUMAN	3.2
JIP1_HUMAN	TBB3_HUMAN	1.6
JIP1_HUMAN	TTLL4_HUMAN	2.4000000000000004
JIP1_HUMAN	FEM1B_HUMAN	2.4000000000000004
JIP1_HUMAN	M3K12_HUMAN	2.4000000000000004
JIP1_HUMAN	LRRK2_HUMAN	0.8
JIP1_HUMAN	ITB3_HUMAN	0.8
JIP1_HUMAN	MK08_HUMAN	69.19999999999997
JIP1_HUMAN	VRK2_HUMAN	8.399999999999999
JIP1_HUMAN	M3K7_HUMAN	13.000000000000002
JIP1_HUMAN	MP2K7_HUMAN	8.8
JIP1_HUMAN	AKT1_HUMAN	5.8
JIP1_HUMAN	HCN1_HUMAN	1.28
JIP1_HUMAN	TAB1_HUMAN	4.2
JIP1_HUMAN	JIP1_HUMAN	98.39999999999982
JIP1_HUMAN	RECQ5_HUMAN	1.6
JIP1_HUMAN	ERBB2_HUMAN	4.8
JIP1_HUMAN	CALX_HUMAN	1
JIP1_HUMAN	EGFR_HUMAN	3.2
JIP1_HUMAN	VP26C_HUMAN	1.6
JIP1_HUMAN	RSPH1_HUMAN	1.6
JIP1_HUMAN	TIAM1_HUMAN	1
JIP1_HUMAN	M3K11_HUMAN	3.6
JIP1_HUMAN	M3K10_HUMAN	1.6
JIP1_HUMAN	MK09_HUMAN	5.199999999999999
JIP1_HUMAN	JIP2_HUMAN	3.2
JIP1_HUMAN	DUS16_HUMAN	2
JIP1_HUMAN	PAX2_HUMAN	1
JIP1_HUMAN	M3K13_HUMAN	1
JIP1_HUMAN	SOCS3_HUMAN	1
JIP1_HUMAN	MP2K3_HUMAN	1
JIP1_HUMAN	JUN_HUMAN	1
JIP1_HUMAN	SETX_HUMAN	1.6
JIP1_HUMAN	PARK7_HUMAN	1.8
JIP1_HUMAN	MTAP_HUMAN	0.8
JIP1_HUMAN	TBB8_HUMAN	0.8
JIP1_HUMAN	NEB2_HUMAN	0.8
JIP1_HUMAN	GNA13_HUMAN	0.8
JIP1_HUMAN	MY18A_HUMAN	0.8
JIP1_HUMAN	KLC1_HUMAN	2.8
JIP1_HUMAN	RAB10_HUMAN	2
JIP1_HUMAN	ITA6_HUMAN	0.8
JIP1_HUMAN	TSPO_HUMAN	0.8
JIP1_HUMAN	LNP_HUMAN	0.64
