UniProtID	UniProtID	score
JKIP2_HUMAN	RIMS1_HUMAN	0.8
JKIP2_HUMAN	HGS_HUMAN	3.2
JKIP2_HUMAN	CLAP1_HUMAN	0.8
JKIP2_HUMAN	CEP63_HUMAN	0.8
JKIP2_HUMAN	CC136_HUMAN	0.8
JKIP2_HUMAN	MYOME_HUMAN	0.64
JKIP2_HUMAN	SMCE1_HUMAN	3.2
JKIP2_HUMAN	VPS52_HUMAN	3.2
JKIP2_HUMAN	TNNT1_HUMAN	0.8
JKIP2_HUMAN	PIN1_HUMAN	4.0
JKIP2_HUMAN	TRI29_HUMAN	1.6
JKIP2_HUMAN	PRP31_HUMAN	8.799999999999999
JKIP2_HUMAN	ELOA1_HUMAN	3.2
JKIP2_HUMAN	RM11_HUMAN	3.2
JKIP2_HUMAN	SLTM_HUMAN	1.6
JKIP2_HUMAN	HOMEZ_HUMAN	0.8
JKIP2_HUMAN	NTAQ1_HUMAN	2.4000000000000004
JKIP2_HUMAN	ZN263_HUMAN	3.2
JKIP2_HUMAN	CLIP4_HUMAN	7.199999999999999
JKIP2_HUMAN	HCN1_HUMAN	4.0
JKIP2_HUMAN	NAB2_HUMAN	3.2
JKIP2_HUMAN	EFHC2_HUMAN	3.2
JKIP2_HUMAN	JKIP2_HUMAN	3.2
JKIP2_HUMAN	CC88B_HUMAN	3.2
JKIP2_HUMAN	KIF9_HUMAN	0.8
