UniProtID	UniProtID	score
KAD5_HUMAN	NDK3_HUMAN	0.6
KAD5_HUMAN	AGAP2_HUMAN	1.28
KAD5_HUMAN	SYNPO_HUMAN	0.8
KAD5_HUMAN	KAD5_HUMAN	10.0
KAD5_HUMAN	NDKA_HUMAN	0.6
KAD5_HUMAN	RIR1_HUMAN	0.6
KAD5_HUMAN	STRN4_HUMAN	1.6
KAD5_HUMAN	1433Z_HUMAN	2.72
KAD5_HUMAN	CPNE6_HUMAN	1.6
KAD5_HUMAN	DPYL2_HUMAN	0.64
NDK3_HUMAN	NDK3_HUMAN	24.0
NDK3_HUMAN	NDKA_HUMAN	8.639999999999999
NDK3_HUMAN	RIR1_HUMAN	0.6
AGAP2_HUMAN	DPYL2_HUMAN	1.28
SYNPO_HUMAN	1433Z_HUMAN	1.6
NDKA_HUMAN	NDKA_HUMAN	211.20000000000002
NDKA_HUMAN	RIR1_HUMAN	0.6
NDKA_HUMAN	1433Z_HUMAN	2.4000000000000004
RIR1_HUMAN	RIR1_HUMAN	48.800000000000004
1433Z_HUMAN	1433Z_HUMAN	164.4
DPYL2_HUMAN	DPYL2_HUMAN	150.08
