UniProtID	UniProtID	score
KCNA2_HUMAN	KCNA3_HUMAN	1.0
KCNA2_HUMAN	UBC_HUMAN	0.64
KCNA2_HUMAN	CNTP1_HUMAN	1.6
KCNA2_HUMAN	RTN4_HUMAN	1.0
KCNA2_HUMAN	SGMR1_HUMAN	4.8
KCNA2_HUMAN	DLG4_HUMAN	11.680000000000001
KCNA2_HUMAN	SCN8A_HUMAN	0.6
KCNA2_HUMAN	SRC8_HUMAN	7.0
KCNA2_HUMAN	FAK2_HUMAN	1.0
KCNA2_HUMAN	RHOA_HUMAN	3.0
KCNA2_HUMAN	KCNB1_HUMAN	1.6
KCNA2_HUMAN	KCNA4_HUMAN	2.0
KCNA2_HUMAN	FYN_HUMAN	1.0
KCNA2_HUMAN	KCNA2_HUMAN	64.3999999999999
KCNA2_HUMAN	DLGP1_HUMAN	1.92
KCNA2_HUMAN	1433B_HUMAN	0.64
KCNA2_HUMAN	KCAB2_HUMAN	22.00000000000001
KCNA2_HUMAN	CNTP2_HUMAN	3.2
KCNA2_HUMAN	KCNA1_HUMAN	2.8
KCNA3_HUMAN	KCNA3_HUMAN	22.0
KCNA3_HUMAN	DLG4_HUMAN	6.639999999999999
KCNA3_HUMAN	SRC8_HUMAN	1.0
KCNA3_HUMAN	KCNA4_HUMAN	1.0
KCNA3_HUMAN	KCAB2_HUMAN	16.6
KCNA3_HUMAN	KCNA1_HUMAN	4.2
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	DLG4_HUMAN	1.44
UBC_HUMAN	SCN8A_HUMAN	0.64
UBC_HUMAN	SRC8_HUMAN	1.4
UBC_HUMAN	RHOA_HUMAN	2.6
UBC_HUMAN	KCNA4_HUMAN	0.64
UBC_HUMAN	FYN_HUMAN	0.8
UBC_HUMAN	DLGP1_HUMAN	0.64
UBC_HUMAN	1433B_HUMAN	2.8800000000000003
UBC_HUMAN	KCAB2_HUMAN	0.64
UBC_HUMAN	KCNA1_HUMAN	0.64
CNTP1_HUMAN	RTN4_HUMAN	2.0
CNTP1_HUMAN	DLG4_HUMAN	1.92
CNTP1_HUMAN	SCN8A_HUMAN	0.6
CNTP1_HUMAN	FYN_HUMAN	0.8
CNTP1_HUMAN	DLGP1_HUMAN	1.92
CNTP1_HUMAN	1433B_HUMAN	0.64
CNTP1_HUMAN	KCNA1_HUMAN	2.24
RTN4_HUMAN	RTN4_HUMAN	3.2
RTN4_HUMAN	RHOA_HUMAN	0.6
RTN4_HUMAN	FYN_HUMAN	0.8
RTN4_HUMAN	KCNA1_HUMAN	1.0
SGMR1_HUMAN	SGMR1_HUMAN	42.0
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	FAK2_HUMAN	2.64
DLG4_HUMAN	KCNA4_HUMAN	31.320000000000007
DLG4_HUMAN	FYN_HUMAN	3.0
DLG4_HUMAN	DLGP1_HUMAN	31.48000000000001
DLG4_HUMAN	1433B_HUMAN	2.56
DLG4_HUMAN	KCAB2_HUMAN	3.8400000000000003
DLG4_HUMAN	CNTP2_HUMAN	1.0
DLG4_HUMAN	KCNA1_HUMAN	9.519999999999998
SRC8_HUMAN	SRC8_HUMAN	22.400000000000006
SRC8_HUMAN	FYN_HUMAN	0.6
SRC8_HUMAN	1433B_HUMAN	1.0
FAK2_HUMAN	FAK2_HUMAN	15.6
FAK2_HUMAN	RHOA_HUMAN	0.6
FAK2_HUMAN	FYN_HUMAN	12.2
RHOA_HUMAN	RHOA_HUMAN	23.759999999999998
RHOA_HUMAN	FYN_HUMAN	0.6
KCNB1_HUMAN	KCNB1_HUMAN	7.6
KCNB1_HUMAN	KCAB2_HUMAN	0.6
KCNB1_HUMAN	KCNA1_HUMAN	0.64
KCNA4_HUMAN	FYN_HUMAN	1.0
KCNA4_HUMAN	DLGP1_HUMAN	2.52
KCNA4_HUMAN	KCAB2_HUMAN	2.6
KCNA4_HUMAN	KCNA1_HUMAN	2.0
FYN_HUMAN	FYN_HUMAN	37.2
FYN_HUMAN	DLGP1_HUMAN	0.8
FYN_HUMAN	1433B_HUMAN	0.64
DLGP1_HUMAN	1433B_HUMAN	1.92
DLGP1_HUMAN	KCNA1_HUMAN	1.92
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	KCAB2_HUMAN	0.64
KCAB2_HUMAN	KCAB2_HUMAN	161.59999999999974
KCAB2_HUMAN	CNTP2_HUMAN	0.64
KCAB2_HUMAN	KCNA1_HUMAN	7.799999999999999
KCNA1_HUMAN	KCNA1_HUMAN	9.28
