UniProtID	UniProtID	score
KCND3_HUMAN	SRC_HUMAN	2
KCND3_HUMAN	KCNA5_HUMAN	1
KCND3_HUMAN	HSP7C_HUMAN	0.8
KCND3_HUMAN	BIP_HUMAN	0.8
KCND3_HUMAN	HS90A_HUMAN	2
KCND3_HUMAN	GRIA2_HUMAN	0.64
KCND3_HUMAN	CNTP2_HUMAN	1.28
KCND3_HUMAN	DDB1_HUMAN	0.8
KCND3_HUMAN	CDK1_HUMAN	0.8
KCND3_HUMAN	TBA1B_HUMAN	0.8
KCND3_HUMAN	XRCC6_HUMAN	0.8
KCND3_HUMAN	KCNA2_HUMAN	0.8
KCND3_HUMAN	HNRPL_HUMAN	0.8
KCND3_HUMAN	NP1L1_HUMAN	0.8
KCND3_HUMAN	NONO_HUMAN	0.8
KCND3_HUMAN	TBB2A_HUMAN	0.8
KCND3_HUMAN	SSR3_HUMAN	0.64
KCND3_HUMAN	HNRPF_HUMAN	0.8
KCND3_HUMAN	QCR2_HUMAN	1.44
KCND3_HUMAN	EWS_HUMAN	0.8
KCND3_HUMAN	RCN2_HUMAN	0.8
KCND3_HUMAN	NDUS2_HUMAN	0.8
KCND3_HUMAN	AUP1_HUMAN	0.8
KCND3_HUMAN	VPS4A_HUMAN	0.8
KCND3_HUMAN	XRCC5_HUMAN	0.8
KCND3_HUMAN	G3BP1_HUMAN	0.8
KCND3_HUMAN	EMD_HUMAN	0.8
KCND3_HUMAN	TLR3_HUMAN	1
KCND3_HUMAN	RUVB1_HUMAN	0.8
KCND3_HUMAN	LBR_HUMAN	0.8
KCND3_HUMAN	RPGF3_HUMAN	0.64
KCND3_HUMAN	H2A1J_HUMAN	1.6
KCND3_HUMAN	HSP74_HUMAN	2
KCND3_HUMAN	KCNH2_HUMAN	3
KCND3_HUMAN	KCNQ2_HUMAN	0.64
KCND3_HUMAN	P5CR2_HUMAN	0.8
KCND3_HUMAN	CNBP_HUMAN	0.8
KCND3_HUMAN	SEM3A_HUMAN	1
KCND3_HUMAN	DPP6_HUMAN	6.3999999999999995
KCND3_HUMAN	KCIP1_HUMAN	107.23999999999991
KCND3_HUMAN	IL16_HUMAN	1.28
KCND3_HUMAN	DPP10_HUMAN	1
KCND3_HUMAN	RPGF5_HUMAN	1.44
KCND3_HUMAN	KCIP2_HUMAN	17.64
KCND3_HUMAN	SCN1B_HUMAN	1
KCND3_HUMAN	PAI1_HUMAN	0.8
KCND3_HUMAN	SPPL3_HUMAN	0.8
KCND3_HUMAN	MCHR1_HUMAN	0.64
KCND3_HUMAN	KCND3_HUMAN	102.39999999999995
