UniProtID	UniProtID	score
KCRB_HUMAN	PP1A_HUMAN	1.6
KCRB_HUMAN	LDHB_HUMAN	1.44
KCRB_HUMAN	TPM3_HUMAN	0.8
KCRB_HUMAN	2AAA_HUMAN	3.2
KCRB_HUMAN	NEDD4_HUMAN	1.6
KCRB_HUMAN	HS90B_HUMAN	1.28
KCRB_HUMAN	PPIB_HUMAN	0.8
KCRB_HUMAN	VDAC1_HUMAN	1.6
KCRB_HUMAN	OGT1_HUMAN	0.8
KCRB_HUMAN	DDRGK_HUMAN	0.8
KCRB_HUMAN	MLP3A_HUMAN	0.8
KCRB_HUMAN	ALDOC_HUMAN	0.8
KCRB_HUMAN	PGRC1_HUMAN	0.8
KCRB_HUMAN	TPIS_HUMAN	0.8
KCRB_HUMAN	UBC12_HUMAN	0.8
KCRB_HUMAN	UBP15_HUMAN	1.6
KCRB_HUMAN	TPM1_HUMAN	1.4
KCRB_HUMAN	LTOR1_HUMAN	0.8
KCRB_HUMAN	GBRL2_HUMAN	0.8
KCRB_HUMAN	IQGA1_HUMAN	0.64
KCRB_HUMAN	KCRB_HUMAN	8.0
KCRB_HUMAN	DOCK7_HUMAN	0.8
KCRB_HUMAN	MTCH2_HUMAN	0.8
KCRB_HUMAN	ERBB2_HUMAN	1.6
KCRB_HUMAN	UBC_HUMAN	0.64
KCRB_HUMAN	PGAM2_HUMAN	0.8
KCRB_HUMAN	MDHM_HUMAN	0.8
KCRB_HUMAN	G6PD_HUMAN	0.8
KCRB_HUMAN	CXA1_HUMAN	0.8
KCRB_HUMAN	ACTN1_HUMAN	1.4
KCRB_HUMAN	TBCB_HUMAN	1.44
KCRB_HUMAN	HNRPK_HUMAN	0.64
KCRB_HUMAN	KCMA1_HUMAN	0.64
KCRB_HUMAN	RHG39_HUMAN	0.8
KCRB_HUMAN	ROA2_HUMAN	0.8
KCRB_HUMAN	PSA_HUMAN	1.44
KCRB_HUMAN	PEBP1_HUMAN	1.6
KCRB_HUMAN	DLDH_HUMAN	3.0400000000000005
KCRB_HUMAN	ACTB_HUMAN	0.64
KCRB_HUMAN	DNM1L_HUMAN	2.6
KCRB_HUMAN	1433T_HUMAN	0.64
KCRB_HUMAN	PA24A_HUMAN	0.8
KCRB_HUMAN	1433E_HUMAN	0.64
KCRB_HUMAN	AIFM1_HUMAN	0.8
KCRB_HUMAN	CUL3_HUMAN	1.6
KCRB_HUMAN	PP1G_HUMAN	0.8
KCRB_HUMAN	ACTN4_HUMAN	1.4
KCRB_HUMAN	AKT1_HUMAN	0.8
KCRB_HUMAN	1433Z_HUMAN	0.64
KCRB_HUMAN	TAU_HUMAN	1.44
KCRB_HUMAN	TKT_HUMAN	0.8
KCRB_HUMAN	HSP7C_HUMAN	1.6
KCRB_HUMAN	CNDP2_HUMAN	0.8
