UniProtID	UniProtID	score
KKCC1_HUMAN	A4_HUMAN	0.8
KKCC1_HUMAN	1433S_HUMAN	0.8
KKCC1_HUMAN	1433E_HUMAN	4.0
KKCC1_HUMAN	HS90B_HUMAN	0.8
KKCC1_HUMAN	1433F_HUMAN	10.440000000000001
KKCC1_HUMAN	1433T_HUMAN	3.0400000000000005
KKCC1_HUMAN	1433B_HUMAN	4.64
KKCC1_HUMAN	MKNK1_HUMAN	1.6
KKCC1_HUMAN	NOS1_HUMAN	0.8
KKCC1_HUMAN	CALM3_HUMAN	3.0400000000000005
KKCC1_HUMAN	HS90A_HUMAN	0.8
KKCC1_HUMAN	1433G_HUMAN	6.3999999999999995
KKCC1_HUMAN	DDB1_HUMAN	1.6
KKCC1_HUMAN	AKT1_HUMAN	0.64
KKCC1_HUMAN	CALM2_HUMAN	3.0400000000000005
KKCC1_HUMAN	KC1E_HUMAN	1.6
KKCC1_HUMAN	GCH1_HUMAN	0.8
KKCC1_HUMAN	PRKN_HUMAN	0.8
KKCC1_HUMAN	CALM1_HUMAN	3.0400000000000005
KKCC1_HUMAN	AAPK1_HUMAN	1
KKCC1_HUMAN	SAFB2_HUMAN	1.6
KKCC1_HUMAN	UBQL2_HUMAN	0.8
KKCC1_HUMAN	ANXA7_HUMAN	0.8
KKCC1_HUMAN	BGAL_HUMAN	1.6
KKCC1_HUMAN	RS10_HUMAN	1.6
KKCC1_HUMAN	CFTR_HUMAN	0.8
KKCC1_HUMAN	CCNE1_HUMAN	0.8
KKCC1_HUMAN	RUVB2_HUMAN	2.4000000000000004
KKCC1_HUMAN	RUVB1_HUMAN	2.4000000000000004
KKCC1_HUMAN	H33_HUMAN	0.8
KKCC1_HUMAN	SBP1_HUMAN	0.8
KKCC1_HUMAN	NEPRO_HUMAN	0.8
KKCC1_HUMAN	PPGB_HUMAN	1.6
KKCC1_HUMAN	BRNP1_HUMAN	0.8
KKCC1_HUMAN	GRRE1_HUMAN	2.4000000000000004
KKCC1_HUMAN	RNZ2_HUMAN	1.6
KKCC1_HUMAN	NTH_HUMAN	1.6
KKCC1_HUMAN	K2013_HUMAN	1.6
KKCC1_HUMAN	FBXL6_HUMAN	1.6
KKCC1_HUMAN	NSA2_HUMAN	1.6
KKCC1_HUMAN	LPIN3_HUMAN	2.4000000000000004
KKCC1_HUMAN	KCC1A_HUMAN	3.0400000000000005
KKCC1_HUMAN	FHL3_HUMAN	1.6
KKCC1_HUMAN	KCC4_HUMAN	1.6
KKCC1_HUMAN	SF3B5_HUMAN	1.6
KKCC1_HUMAN	NOS2_HUMAN	0.8
KKCC1_HUMAN	TRI11_HUMAN	1.6
KKCC1_HUMAN	AKT3_HUMAN	0.64
KKCC1_HUMAN	PADI6_HUMAN	0.8
KKCC1_HUMAN	IRGM_HUMAN	0.8
KKCC1_HUMAN	KCC1D_HUMAN	0.64
